URN,Income,Expenditure,Balance,Academic Year
100000,2254486.7,2274147.52,-19660.82,2018
100008,2683788.69,2626219.33,57569.36,2018
100009,2855552.12,2942066.28,-86514.16,2018
100010,2928658.71,2805854.33,122804.38,2018
100011,2519903.74,2420497.04,99406.7,2018
100012,2718413.58,2695957.87,22455.71,2018
100013,1551787.87,1588276.42,-36488.55,2018
100014,1550665.1,1499530.13,51134.97,2018
100015,1223970.23,1265695.57,-41725.34,2018
100018,3821792.49,3813064.35,8728.14,2018
100019,2603781.03,2490666.66,113114.37,2018
100020,3266687.79,3213121.19,53566.6,2018
100021,3141500.83,3192253.9,-50753.07,2018
100022,2978668.01,3068815.8,-90147.79,2018
100023,3051735.29,2981665.37,70069.92,2018
100025,3099855.51,2984368.49,115487.02,2018
100026,1547795.21,1479154.97,68640.24,2018
100027,1551723.63,1551910.85,-187.22,2018
130342,1623715.52,1602243.89,21471.63,2018
132245,4727900.19,4399501.32,328398.87,2018
100028,1103068.13,1041674.67,61393.46,2018
100029,1482334.4,1523272.78,-40938.38,2018
100030,1570207.08,1601011.83,-30804.75,2018
100031,1401501.83,1391685.42,9816.41,2018
100032,1316487.29,1336300.59,-19813.3,2018
100033,1288859.46,1270213.15,18646.31,2018
100034,2001464.83,1981825.61,19639.22,2018
100035,2112765.51,2072227.24,40538.27,2018
100036,1608415.94,1572042.47,36373.47,2018
100037,2764980.37,2615859.01,149121.36,2018
100039,1923653.71,1917218.31,6435.4,2018
100040,1439539.63,1441451.37,-1911.74,2018
100041,1494713.21,1494307.12,406.09,2018
100042,1631209.74,1547452.29,83757.45,2018
100043,1653555.41,1643087.27,10468.14,2018
100044,1441949.96,1439230.52,2719.44,2018
100045,1609762.79,1509971.71,99791.08,2018
100046,1329539.38,1298696.46,30842.92,2018
100047,1445914.79,1520885.04,-74970.25,2018
100048,1621768.38,1624549.69,-2781.31,2018
100049,10304309.32,10462821.83,-158512.51,2018
100050,8610533.11,8670043.35,-59510.24,2018
100051,8366651.96,8072064.71,294587.25,2018
100052,9757781.57,9809068.69,-51287.12,2018
100053,8191772.06,8008124.05,183648.01,2018
100054,6935570.05,6929272.92,6297.13,2018
100055,5525808.85,5432827.39,92981.46,2018
100056,6221882.62,6417064.7,-195182.08,2018
100059,7571885.83,7600078.3,-28192.47,2018
100060,2078122.54,2062407.38,15715.16,2018
100091,1427178.59,1463306.94,-36128.35,2018
100092,1421102.52,1486042.04,-64939.52,2018
100094,618642,604854.58,13787.42,2018
100096,8315927.91,8198142.92,117784.99,2018
143601,436287.09,471269.52,-34982.43,2018
100113,4964259.1,4991043.23,-26784.13,2018
100114,2556760.06,2865109.67,-308349.61,2018
100115,1609517.16,1529563.87,79953.29,2018
100120,2701919.6,2669102.79,32816.81,2018
100125,2464181.75,2408697.41,55484.34,2018
100126,2458947.32,2503184.48,-44237.16,2018
100127,2229910.79,2156841.81,73068.98,2018
145210,1620706.95,1225247.18,395459.77,2018
100129,2013515.01,1986235.4,27279.61,2018
143597,570575.76,659638.07,-89062.31,2018
100131,2536931.01,2477311.61,59619.4,2018
143598,971360.94,966591.34,4769.6,2018
100134,3131162.95,3219727.59,-88564.64,2018
100136,2937640.76,2874437.71,63203.05,2018
100137,1745257.28,1727616.68,17640.6,2018
100140,4459917.08,4277381.81,182535.27,2018
100141,2395120.23,2451685.47,-56565.24,2018
100142,1361630.97,1334503.76,27127.21,2018
143594,676567.29,658092.95,18474.34,2018
100146,2343539.5,2376544.37,-33004.87,2018
100149,2261178.54,2290841.71,-29663.17,2018
100150,2769807.18,2603739.55,166067.63,2018
143593,235116.51,230560.08,4556.43,2018
100152,3554806.65,3591059.54,-36252.89,2018
100154,2254662.68,2177705.59,76957.09,2018
100155,2936528.74,2922676.44,13852.3,2018
143592,737760.94,661787.84,75973.1,2018
100158,4945003.85,4805521.01,139482.84,2018
100159,2691955.3,2808917.07,-116961.77,2018
145215,854811.09,798179.74,56631.35,2018
100162,1400117,1407906.2,-7789.2,2018
100163,3200340.74,2933150.95,267189.79,2018
100164,2759062.32,2864315.87,-105253.55,2018
130921,2691896.78,2594318.9,97577.88,2018
143596,952539.34,1004654.99,-52115.65,2018
131246,4297363.23,4267459.5,29903.73,2018
131841,3304973.1,3202723.1,102250,2018
143599,672199.18,680398.06,-8198.88,2018
132800,2649349.26,2400718.45,248630.81,2018
