URN,Income,Expenditure,Balance,Academic Year
100197,2962167.7,2912474.34,49693.36,2014
100204,1046146.31,1233042.82,-186896.51,2014
133401,1803014.79,1866550.62,-63535.83,2014
133399,4566705.61,4543758.71,22946.9,2014
100212,682863,771233,-88370,2014
100213,668131,699842,-31711,2014
134635,4589071,4501226,87845,2014
138241,703439,720668,-17229,2014
100218,3109077.96,3046976.7,62101.26,2014
100221,1502289,1558422,-56133,2014
100223,3857628.63,3708639.76,148988.87,2014
100224,2463097,2531379,-68282,2014
100225,3492040.03,3367472.03,124568,2014
100229,2564571,2610037,-45466,2014
100230,2785643,2564799,220844,2014
100231,4230081.69,4417501.79,-187420.1,2014
100232,3085398.47,3255925.14,-170526.67,2014
100233,2823079.65,2809338.75,13740.9,2014
100234,3003630.81,2924700.53,78930.28,2014
100235,2714476.33,2889846.14,-175369.81,2014
100236,2955848.16,2959575.57,-3727.41,2014
100239,2853728,3136935,-283207,2014
130302,2897306,2789318,107988,2014
130303,3715877,3730429,-14552,2014
100240,3097856.71,3234688.79,-136832.08,2014
100242,2706191.9,2667909.56,38282.34,2014
100243,2540903,2664170,-123267,2014
100244,3367523,3415514,-47991,2014
100245,2710555.25,2822989.06,-112433.81,2014
100248,3478818.27,3416665.8,62152.47,2014
100250,1815890,1836638,-20748,2014
100251,2762011,2885315,-123304,2014
100252,1591052,1521671,69381,2014
100253,3142110,3336326,-194216,2014
100254,1578708,1482722,95986,2014
100255,1638379,1602698,35681,2014
100256,1896421,1934603,-38182,2014
100257,1622375.88,1578685.34,43690.54,2014
100258,5670946,5628554,42392,2014
100259,1592870,1616135,-23265,2014
100260,2825964,2590977,234987,2014
100261,2436044.2,2463888.41,-27844.21,2014
130932,2632640,2635311,-2671,2014
131141,2127037,2159262,-32225,2014
131706,2570891.18,2688147.72,-117256.54,2014
133669,2844552,2998993,-154441,2014
132137,1945034,2023522,-78488,2014
100263,1696942,1771455,-74513,2014
100264,1510901,1443498,67403,2014
100266,2188560,2319364,-130804,2014
100267,1739610,1710927,28683,2014
100268,1506150.92,1484467.84,21683.08,2014
100269,1348068,1500805,-152737,2014
100270,1460089.18,1429249.52,30839.66,2014
100271,1436458.87,1397096.31,39362.56,2014
100274,1482337,1576953,-94616,2014
100275,1256768,1291224,-34456,2014
134639,1027312,983131,44181,2014
134961,3408859.23,2871114.08,537745.15,2014
121792,1764938,1730711,34227,2014
138143,998676,1041151,-42475,2014
100277,8373230,8286211,87019,2014
100279,12025560,11737554,288006,2014
133599,2549792.08,2325551.11,224240.97,2014
100282,6211697.53,6312925.14,-101227.61,2014
100284,7281936,7356005,-74069,2014
100285,8847532.01,8189976.7,657555.31,2014
100307,2307044.89,2369058.52,-62013.63,2014
100311,3910368,3727742,182626,2014
100312,2247070,2196874,50196,2014
100315,2004572.66,2106524.11,-101951.45,2014
100316,582081.01,618296.81,-36215.8,2014
100317,530255.54,513781.77,16473.77,2014
100318,634158.29,227097.56,407060.73,2014
100321,2819831.04,2763044.43,56786.61,2014
100322,1345850.41,1265658.38,80192.03,2014
100324,2985504.13,2760334.98,225169.15,2014
100326,1912066.14,1920907.14,-8841,2014
100328,2007950.94,2052723.78,-44772.84,2014
100329,2159939.85,2065393.06,94546.79,2014
100330,1416231.89,1480520.28,-64288.39,2014
100331,1473627.95,1578321.68,-104693.73,2014
100332,2005934.09,2109266.84,-103332.75,2014
100334,2554223.15,2449765.86,104457.29,2014
100335,2371672.33,2298888,72784.33,2014
100337,1785500.27,1813539.81,-28039.54,2014
100338,3013073.13,2930702.11,82371.02,2014
100339,1826640.67,1942006.18,-115365.51,2014
100340,2922700.43,3079651.99,-156951.56,2014
100341,2852230.03,2841317.68,10912.35,2014
100343,1371291.19,1317205.98,54085.21,2014
100344,1219016.3,1187281.23,31735.07,2014
100345,1973317.65,2037373.02,-64055.37,2014
100346,1401289.66,1373495.72,27793.94,2014
100347,1261564.32,1204184.58,57379.74,2014
100349,1684245.23,1824814.68,-140569.45,2014
100350,1306617.68,1278489.57,28128.11,2014
100351,1469510.93,1487563.15,-18052.22,2014
100352,1205855.98,1216288.15,-10432.17,2014
100353,1535819.2,1606661.05,-70841.85,2014
100354,1448529.91,1397381.99,51147.92,2014
100355,1674584.42,1596151.17,78433.25,2014
100357,2067419.04,2017680.91,49738.13,2014
134009,2310354.65,2288491.38,21863.27,2014
134273,2571579.1,2293705.43,277873.67,2014
100359,8725688.53,9123392.53,-397704,2014
100361,4946984.38,3887439.24,1059545.14,2014
133545,6096168.68,5906269.15,189899.53,2014
100378,3954792.45,3418096.51,536695.94,2014
100379,1896350.34,1773895.43,122454.91,2014
100381,2708784.88,2347315.24,361469.64,2014
100382,1801707.34,2023934.76,-222227.42,2014
100384,1349062.52,1246013.99,103048.53,2014
100385,1045223.61,496101.09,549122.52,2014
100386,1196733.99,1225867.41,-29133.42,2014
100391,3191042.76,3217128.09,-26085.33,2014
100397,2352438.24,2390001.52,-37563.28,2014
100401,1856205.49,1917530.98,-61325.49,2014
100402,1917723.79,1822192.72,95531.07,2014
100403,2820593.42,2807993.86,12599.56,2014
100405,1464679.26,1380130.61,84548.65,2014
100406,3078611.13,2981131.78,97479.35,2014
100407,1894669.27,1992041.79,-97372.52,2014
100408,2077660.5,2009773.76,67886.74,2014
100411,3185601.05,3372637.5,-187036.45,2014
100415,1660705.91,1621343.72,39362.19,2014
100418,2232066.56,2228928.73,3137.83,2014
100422,2400767.75,2347256.91,53510.84,2014
100425,2613455.23,2585310.14,28145.09,2014
100426,1433094.74,1383568.97,49525.77,2014
100428,1628687.92,1508680.79,120007.13,2014
100429,2331224.27,2294295.76,36928.51,2014
100430,1801596.44,1778641.05,22955.39,2014
100431,2185455.85,2143286.62,42169.23,2014
100432,2109338.27,2075901.69,33436.58,2014
100434,3798712.52,3932854.34,-134141.82,2014
100435,3411391.83,3398942.31,12449.52,2014
131218,2667557.06,2597555.09,70001.97,2014
131325,2492453.56,2384961.93,107491.63,2014
131773,2607507.62,2617847.27,-10339.65,2014
131842,2746852.79,2537298.82,209553.97,2014
131741,2131878.33,2167996.31,-36117.98,2014
131740,2255694.7,2324231.46,-68536.76,2014
100436,1209235.41,1207945.64,1289.77,2014
100437,2230806.25,2155856.88,74949.37,2014
100438,1741824.18,1722702.98,19121.2,2014
100439,1396686.2,1412256.73,-15570.53,2014
100440,1109693.71,1101051.92,8641.79,2014
100441,2311546.32,2259681.23,51865.09,2014
100442,1366374,1389973.92,-23599.92,2014
100443,1525830.96,1505742.3,20088.66,2014
100444,1315217.53,1246367.98,68849.55,2014
100446,1137995.14,1113689.79,24305.35,2014
100447,1353939.33,1422304.54,-68365.21,2014
100448,1263172.44,1290704.66,-27532.22,2014
100449,2092070.89,2077685.81,14385.08,2014
100450,2401782.14,2506140.28,-104358.14,2014
100451,1380326.67,1342160.33,38166.34,2014
100452,8716197.48,8649607.43,66590.05,2014
100453,6643167.7,6955517.53,-312349.83,2014
100455,5656689.24,5731784.22,-75094.98,2014
100457,7194054.72,6762096.97,431957.75,2014
131690,5733939.15,5508907.01,225032.14,2014
100458,7050512.44,6766119.3,284393.14,2014
100459,7291838.03,6353559.31,938278.72,2014
100460,4402156.57,4220098.91,182057.66,2014
100467,2725199.12,2844512.87,-119313.75,2014
134030,5401302.35,5453043.26,-51740.91,2014
100469,2053527.61,2074689.79,-21162.18,2014
100472,592999.28,329041.65,263957.63,2014
100473,537228.84,674897.4,-137668.56,2014
100474,495694.97,196797.76,298897.21,2014
100475,530630.74,504877.14,25753.6,2014
100476,1244817,1540781.92,-295964.92,2014
100477,1352427.35,1404202.24,-51774.89,2014
100478,2364930.26,2245520.06,119410.2,2014
100479,2080997.1,2078969.02,2028.08,2014
100480,2346248.6,2365583.41,-19334.81,2014
100481,2162138,2236639.05,-74501.05,2014
100482,2514397.42,2575160.54,-60763.12,2014
100483,1903997.39,1905123.59,-1126.2,2014
100485,2764237.56,2698645.16,65592.4,2014
100486,1663922.21,1629036.67,34885.54,2014
100487,2716720.91,2715676.48,1044.43,2014
100488,1581121.97,1524352.2,56769.77,2014
100489,1338578.48,1288762.09,49816.39,2014
100490,1393483.56,1422691.85,-29208.29,2014
100491,1042539.11,955751.5,86787.61,2014
100492,1500503.79,1483872.21,16631.58,2014
100493,1254905.9,1233668.45,21237.45,2014
100494,2036944.78,1816880.19,220064.59,2014
100495,1368307.88,1327514.28,40793.6,2014
100496,1317256.52,1429676.61,-112420.09,2014
100497,1231927.65,1185837.29,46090.36,2014
100498,1363732.7,1374329.53,-10596.83,2014
100499,2347481.56,2163128.95,184352.61,2014
100500,1564644.57,1545407.91,19236.66,2014
100502,5133445.91,4975550.29,157895.62,2014
100503,4472194.91,4557035.87,-84840.96,2014
100504,1244224.99,1277317.42,-33092.43,2014
100505,2047208.63,2037452.49,9756.14,2014
100506,7617996.42,7599082.95,18913.47,2014
100548,4169547.1,3748096.64,421450.46,2014
100549,1607843.35,1608521.23,-677.88,2014
100550,548765.48,206089.3,342676.18,2014
100551,1529032.37,888918.2,640114.17,2014
100552,575241.63,524296.22,50945.41,2014
100553,738487.29,707747.87,30739.42,2014
100554,1092592.45,986848.09,105744.36,2014
129762,4508568.08,4464091.15,44476.93,2014
100556,1585473.29,1588416.07,-2942.78,2014
100560,2985641.69,3023537.32,-37895.63,2014
100564,3010079.01,2965446.29,44632.72,2014
100566,2856971.01,2809342.05,47628.96,2014
100567,4401737.95,4270127.38,131610.57,2014
100572,2731763.84,2445762.31,286001.53,2014
100574,6787052.35,6946030.95,-158978.6,2014
100576,3874682.31,3649448.14,225234.17,2014
100577,1406350.72,1375784.13,30566.59,2014
100578,2896980.66,2532223.59,364757.07,2014
100584,2215218.67,2154355.16,60863.51,2014
100585,3908085.07,3757258.58,150826.49,2014
100586,1980062.32,1771727.63,208334.69,2014
100588,1932625.36,1943326.45,-10701.09,2014
100589,1785727.51,1703269.62,82457.89,2014
100590,2988168.27,2942262.83,45905.44,2014
100591,3701053.04,3664734.46,36318.58,2014
100593,3300948.26,3314203.46,-13255.2,2014
100595,4170167.26,4113518.83,56648.43,2014
100597,2151168.2,1910449.5,240718.7,2014
100598,2895762.55,2751756.44,144006.11,2014
100601,3217511.15,3179734.97,37776.18,2014
100604,1508711.13,1446539.3,62171.83,2014
100608,1542734.27,1558634.35,-15900.08,2014
131247,2718408.61,2547048.2,171360.41,2014
131340,3053535.51,2911980.08,141555.43,2014
131335,4768136.38,4160335.96,607800.42,2014
131824,3706432.49,3829589.09,-123156.6,2014
131874,2518160.87,2438970.07,79190.8,2014
100582,3891754.31,3979910.07,-88155.76,2014
133315,3473524.43,3801859.85,-328335.42,2014
133584,3842387.68,3862524.06,-20136.38,2014
133662,3406844.32,3580039.63,-173195.31,2014
100609,1998192.5,1848695.47,149497.03,2014
100610,1399068.23,1695193.37,-296125.14,2014
100611,1368553.46,1342333.92,26219.54,2014
100612,1314898.79,1258650.9,56247.89,2014
100613,1351206.2,1368280.99,-17074.79,2014
100614,1416825.53,1254611.29,162214.24,2014
100615,1625562.66,1633440.64,-7877.98,2014
100616,1185789.06,1180756.95,5032.11,2014
100617,1411895.46,1356546.54,55348.92,2014
100618,1344617.49,1237637.71,106979.78,2014
100619,1237453.5,1275920.3,-38466.8,2014
100620,1271680.66,1373741.58,-102060.92,2014
100621,1603976.85,1593070.54,10906.31,2014
100622,2310104.62,2254946.61,55158.01,2014
100623,1701156.33,1651982.12,49174.21,2014
134507,1234037.47,1305656.87,-71619.4,2014
135614,1442581.16,1382476.18,60104.98,2014
100624,6727207.77,6867056.18,-139848.41,2014
100625,7286653.63,7098827.3,187826.33,2014
100627,4018332.37,4226869.85,-208537.48,2014
129649,8185320.6,8024213.13,161107.47,2014
100628,1601280.95,1607937.41,-6656.46,2014
100629,2471378.16,2386743.36,84634.8,2014
100631,1416885.52,1454624.48,-37738.96,2014
100632,2467738.28,2429590.8,38147.48,2014
100633,2377070.38,2349229.81,27840.57,2014
100634,1557044.38,1469579.47,87464.91,2014
100636,1937187.56,1914062.45,23125.11,2014
100602,2854235.62,2519356.65,334878.97,2014
100637,6620521.34,6327769.49,292751.85,2014
100638,8133897.5,7828188.06,305709.44,2014
100640,4333166,4228808,104358,2014
100642,5196719.38,5310644.71,-113925.33,2014
100643,2733784.21,2784664.28,-50880.07,2014
100654,2094311.06,2090153.92,4157.14,2014
100659,2143108.13,2024290.86,118817.27,2014
133440,2840415.2,2527979.04,312436.16,2014
133442,1839633.93,1960919.35,-121285.42,2014
100667,1133024.45,1252203.05,-119178.6,2014
100668,823812.41,879451.54,-55639.13,2014
130856,3767473.81,3885353.15,-117879.34,2014
100671,3218751.46,2970097.64,248653.82,2014
100672,3213745.64,2977601.87,236143.77,2014
100673,1664748.75,1691661.33,-26912.58,2014
100674,1998883.26,1973496.53,25386.73,2014
100675,2900842.62,2798478.86,102363.76,2014
100676,3208178.9,3186640.82,21538.08,2014
100677,2309081.7,2364092.47,-55010.77,2014
100678,3974177.55,4104433.93,-130256.38,2014
100679,2836586.99,2552858.53,283728.46,2014
100680,2560285.1,2498431.6,61853.5,2014
100681,2610648.95,2625143.25,-14494.3,2014
100683,3188309.89,3316310.4,-128000.51,2014
100684,3029860.7,2965067.81,64792.89,2014
100685,1910030.68,1862369.58,47661.1,2014
100686,2597244.98,2695823.9,-98578.92,2014
100687,3916197.4,3891907.27,24290.13,2014
100688,3090768.79,2976062.89,114705.9,2014
100689,1758758.66,1715681.46,43077.2,2014
100690,3571944.76,3489803.76,82141,2014
100691,2074026.57,2057492.34,16534.23,2014
100692,2533601.91,2645243.1,-111641.19,2014
100693,2523040.14,2483912.24,39127.9,2014
100695,2273780.56,2070482.74,203297.82,2014
100696,2570695.64,2502475.37,68220.27,2014
100699,2839130.84,2640273.29,198857.55,2014
100700,2801090.32,2759499.68,41590.64,2014
100701,3525253.97,3522580.3,2673.67,2014
100702,1813818.88,1763276.83,50542.05,2014
100703,1818516.57,1778717.18,39799.39,2014
100704,1742673.64,1709571.3,33102.34,2014
100705,1571567.9,734959.39,836608.51,2014
100707,2148992.85,2163028.98,-14036.13,2014
100708,1884958.48,1784985.56,99972.92,2014
100709,2707559.11,2700148.67,7410.44,2014
100710,2895532.7,3027788.1,-132255.4,2014
100711,2695154.15,2635338.01,59816.14,2014
100712,1422811.03,1486219.57,-63408.54,2014
100713,2694592.75,2839192.05,-144599.3,2014
100714,1169974.89,1270720.23,-100745.34,2014
100715,1790837.14,1836159.49,-45322.35,2014
100716,1604087.77,1584717.57,19370.2,2014
100717,1505446.07,1492691.52,12754.55,2014
100718,2550883.22,2604480.32,-53597.1,2014
100719,1153358.97,1184531.93,-31172.96,2014
100720,1175675.07,1215136.12,-39461.05,2014
100721,1483625.16,1538385.17,-54760.01,2014
100722,1559942.14,1449730.95,110211.19,2014
100723,1205105.46,1180091.06,25014.4,2014
100724,1242643.38,1206243.62,36399.76,2014
100725,1252041.47,1220892.63,31148.84,2014
100726,1726341.07,1848759.12,-122418.05,2014
100727,1325200.5,1309472.06,15728.44,2014
100728,1243460.01,1272493.25,-29033.24,2014
100729,1672443.21,553301.07,1119142.14,2014
100730,1560433.92,1519060.47,41373.45,2014
100731,1315753.96,1317571.68,-1817.72,2014
100732,1806273,1696055.55,110217.45,2014
100733,1413691.65,1374650.09,39041.56,2014
100734,1455128.6,1435184.09,19944.51,2014
100735,956013.67,976591.58,-20577.91,2014
100737,1398337.08,1373442.47,24894.61,2014
100738,973615.42,995923.97,-22308.55,2014
100739,1348900.66,1295969.25,52931.41,2014
100740,8617195.2,8589999.42,27195.78,2014
100741,9527307.91,9305851.86,221456.05,2014
100742,7717267.48,8060633.48,-343366,2014
100743,11008768.06,11120558.4,-111790.34,2014
100745,9832890.34,9818520.43,14369.91,2014
100747,7126924.37,6666172.14,460752.23,2014
100748,5193790,5276420.13,-82630.13,2014
100749,4998960.58,4526512.53,472448.05,2014
100750,6179829.28,6522519.74,-342690.46,2014
100752,5684581.84,5761961.03,-77379.19,2014
100753,2957969.8,2677239.37,280730.43,2014
135843,4248463.76,4246797,1666.76,2014
100760,3219434.78,3020533.22,198901.56,2014
100763,2785644.64,2765449.01,20195.63,2014
100765,3169655.43,3000528.32,169127.11,2014
100766,3056292.72,2985166.28,71126.44,2014
136423,5911284.21,5492224.26,419059.95,2014
100767,1416551.05,1448339.13,-31788.08,2014
100768,933317.47,494794.17,438523.3,2014
100769,869721.97,757616.68,112105.29,2014
100770,1094025.34,1049176.36,44848.98,2014
100771,779200.49,392669.07,386531.42,2014
100774,1832600.31,1722855.43,109744.88,2014
100775,1575070.43,1575138.17,-67.74,2014
100780,3133293.79,3560132.25,-426838.46,2014
100781,2445864.6,2475450.87,-29586.27,2014
100782,2527180.11,2312446.23,214733.88,2014
100783,2126970.29,2116768.44,10201.85,2014
100784,1565380.65,1639143.14,-73762.49,2014
100785,2937592.96,2872248.46,65344.5,2014
100786,2765962.79,2887284.12,-121321.33,2014
100789,2687637.47,2612058.67,75578.8,2014
100790,4020785.94,4120609.68,-99823.74,2014
100791,2304613.07,2289727.01,14886.06,2014
100793,2421896,2433360.66,-11464.66,2014
100794,1805430.55,1715546.99,89883.56,2014
100795,2389390.61,2331970.59,57420.02,2014
100796,2829558.01,2805230.36,24327.65,2014
100798,3439224.52,3410452.24,28772.28,2014
100800,2363512.65,2337377.83,26134.82,2014
100801,1681724.81,1631036.5,50688.31,2014
100802,2605538.74,2610737.2,-5198.46,2014
100803,2526086.28,2470185.82,55900.46,2014
100808,2186555.63,1957734.7,228820.93,2014
100809,2226849.85,2088170.53,138679.32,2014
100810,3096154.78,3100157.03,-4002.25,2014
100811,1965104.59,1936142.63,28961.96,2014
100812,2708721.51,2472936.74,235784.77,2014
100813,1447100.3,1498519.57,-51419.27,2014
100814,1694998.71,1702256.31,-7257.6,2014
100815,1571153.24,1430492.4,140660.84,2014
100817,2479066.5,2478524.46,542.04,2014
100818,1598983.98,1578114.05,20869.93,2014
100819,2993250.92,2920030.51,73220.41,2014
100821,3511958.38,3299374.94,212583.44,2014
130918,2699730.95,2614653.54,85077.41,2014
131843,3938034.1,3970816.01,-32781.91,2014
100822,1392474.42,1347156.69,45317.73,2014
100823,1801159.87,1703414.47,97745.4,2014
100824,2758011.69,2559401.46,198610.23,2014
100825,1441256.41,1453425.01,-12168.6,2014
100826,2618634.52,2611869.14,6765.38,2014
100827,1271727.66,1118434.85,153292.81,2014
100828,2098877.36,2205051.4,-106174.04,2014
100829,3463920.62,3725787.09,-261866.47,2014
100830,2508179.43,2589496.45,-81317.02,2014
100831,1387031.64,1370079.07,16952.57,2014
100832,2206269.07,2091363.1,114905.97,2014
100833,1374114.63,1318996.94,55117.69,2014
100834,1356934.58,1395720.9,-38786.32,2014
100835,1178342.77,1100087.33,78255.44,2014
100836,1366657.47,1443748.77,-77091.3,2014
100837,1331922.87,1324495.36,7427.51,2014
100838,1963219.74,1965476.97,-2257.23,2014
