URN,Income,Expenditure,Balance,Academic Year
100000,2108411.23,2229074.8,-120663.57,2015
100006,1091996.3,1091996.3,0,2015
100007,1617901,1413011.94,204889.06,2015
134643,1042569.74,1042569.74,0,2015
100008,2762007.61,2919016.13,-157008.52,2015
100009,2983392.35,2679768.43,303623.92,2015
100010,2732950.27,2747107.79,-14157.52,2015
100011,2465757.34,2549392.35,-83635.01,2015
100012,2933634.99,2927399.15,6235.84,2015
100013,1671126.09,1633130.42,37995.67,2015
100014,1476447.15,1526030.83,-49583.68,2015
100015,943746.69,854427.05,89319.64,2015
100018,3623590.81,3464427.79,159163.02,2015
100019,2468892.09,2512506.41,-43614.32,2015
100020,3190683.09,3207108.4,-16425.31,2015
100021,3169329.27,3105332.9,63996.37,2015
100022,3085693.7,2985311.99,100381.71,2015
100023,1626988.75,1730549.88,-103561.13,2015
100024,1612814.31,1556858.51,55955.8,2015
100025,3016831.35,2949226.88,67604.47,2015
100026,1541615.01,1549691.78,-8076.77,2015
100027,1471061.38,1442124.65,28936.73,2015
130342,1608704.14,1602054.91,6649.23,2015
132245,3705163.02,3555409.23,149753.79,2015
100028,1078193.95,1106734.25,-28540.3,2015
100029,1530814.45,1469966.92,60847.53,2015
100030,1350011.82,1363761.3,-13749.48,2015
100031,1269304.22,1262713,6591.22,2015
100032,1357716.51,1312549.92,45166.59,2015
100033,1304100.18,1214486.58,89613.6,2015
100034,2049547.95,2144870.55,-95322.6,2015
100035,2087695.15,2052880.41,34814.74,2015
100036,1429759.64,1457376.6,-27616.96,2015
100037,1607471.08,1490246.57,117224.51,2015
100038,1424231.91,1338996.11,85235.8,2015
100039,1987216.65,2068949.66,-81733.01,2015
100040,1478398.69,1487947.83,-9549.14,2015
100041,1495212.79,1438235.01,56977.78,2015
100042,1498548.9,1623388.12,-124839.22,2015
100043,1706271.66,1722108.9,-15837.24,2015
100044,1687121.47,1612213.52,74907.95,2015
100045,1591818.99,1590014.05,1804.94,2015
100046,1298259.09,1257065.56,41193.53,2015
100047,1428685.93,1459453.77,-30767.84,2015
100048,1376371.93,1358923.65,17448.28,2015
100049,11083770.46,11093836.2,-10065.74,2015
100050,9714162.98,9900252.46,-186089.48,2015
100051,7658304.14,7885368.53,-227064.39,2015
100052,9979410.24,9885484.56,93925.68,2015
100053,9630440.99,10140752.56,-510311.57,2015
100054,7176309.14,7277550.17,-101241.03,2015
100055,5082384.5,5182591.65,-100207.15,2015
100056,6944709.13,6711674.85,233034.28,2015
100059,7683400.52,7673290.62,10109.9,2015
100060,1837955.33,1683605.66,154349.67,2015
100091,1229750.71,1173433.84,56316.87,2015
100092,1190634.08,1216489.53,-25855.45,2015
100094,520019.97,514166.18,5853.79,2015
100096,8202993.24,8365122.28,-162129.04,2015
100103,2862651.51,2831074.04,31577.47,2015
100111,2550784.31,2391441.39,159342.92,2015
100112,2119149.06,2252487.38,-133338.32,2015
100113,3892597.48,3605501.69,287095.79,2015
100114,2440558.47,2454308.54,-13750.07,2015
100115,1557982.46,1669513.65,-111531.19,2015
100120,2302783.41,2265977.1,36806.31,2015
100125,2252584.55,2222643.01,29941.54,2015
100126,2436737.06,2391014.27,45722.79,2015
100127,2202338.79,2294378.99,-92040.2,2015
100128,2246476.4,2592863.23,-346386.83,2015
100129,1775141.63,1815157.01,-40015.38,2015
100130,1901266.85,2052165.56,-150898.71,2015
100131,1995827.29,1938276.83,57550.46,2015
100132,2424096.33,2186157.11,237939.22,2015
100134,2028459.51,1979409.2,49050.31,2015
100136,2431592.9,2119179.47,312413.43,2015
100137,1687204.05,1657317.85,29886.2,2015
100140,4011184.09,4236324.87,-225140.78,2015
100141,2638911,2490646.06,148264.94,2015
100142,1296353.42,1292833.31,3520.11,2015
100145,3788335.74,3988113.64,-199777.9,2015
100146,2357106.4,2241132.9,115973.5,2015
100148,1300359.27,1402539.9,-102180.63,2015
100149,2246894.25,2294467.13,-47572.88,2015
100150,2574499.63,2569773.07,4726.56,2015
100151,1408655.58,1347935.94,60719.64,2015
100152,3379986.36,3169987.27,209999.09,2015
100154,1682610.69,1644689.2,37921.49,2015
100155,2937849.62,2870309.63,67539.99,2015
100156,4088092.45,4186960.48,-98868.03,2015
100157,3447836.13,3422339.94,25496.19,2015
100158,4877846.59,5140256.15,-262409.56,2015
100159,2727603.05,2963811.46,-236208.41,2015
100160,1460079.31,1452972.16,7107.15,2015
100162,1462334.97,1494277.34,-31942.37,2015
100163,3236466.29,3315585.37,-79119.08,2015
100164,2760809.96,2622572.26,138237.7,2015
130921,2594919.21,2488195.21,106724,2015
130922,2180196.06,2352296.49,-172100.43,2015
131183,3672469.79,3606485.06,65984.73,2015
131246,3257552.42,3223067.22,34485.2,2015
131841,3434559.99,3669826.65,-235266.66,2015
132837,2343610.24,2361322.93,-17712.69,2015
132800,2641469.31,2437723.56,203745.75,2015
132827,3287970.15,2947289.46,340680.69,2015
100165,1328515.26,1366181.96,-37666.7,2015
100166,1015606.69,1042042.06,-26435.37,2015
100167,1566816.28,1568854.12,-2037.84,2015
100168,1087790.05,1069610.04,18180.01,2015
100169,1376540.37,1310857.97,65682.4,2015
100170,1521966.35,1484741.43,37224.92,2015
100171,2565677.27,2506977.95,58699.32,2015
100172,1988522.49,2013729.96,-25207.47,2015
100173,1836604.33,1824346.17,12258.16,2015
100174,1568319.82,1487958.45,80361.37,2015
100175,1168488.46,1199810.74,-31322.28,2015
100176,1091392.61,1184806.98,-93414.37,2015
100177,1803479.48,1919830.08,-116350.6,2015
100178,1228119.38,1228345.64,-226.26,2015
100179,1242689.23,1328250.09,-85560.86,2015
100180,1269632.69,1195453.67,74179.02,2015
100181,1155259.7,1189545.11,-34285.41,2015
