URN,Income,Expenditure,Balance,Academic Year
100000,2043880.59,2079699.37,-35818.78,2017
100005,1441664.08,1399871.51,41792.57,2017
100006,1106145.1,1106145.1,0,2017
100007,1687971.76,1622730.94,65240.82,2017
100008,2864332.95,2777268.19,87064.76,2017
100009,2938507.74,2869607.99,68899.75,2017
100010,2919357.14,2697540.7,221816.44,2017
100011,2561870.63,2593429.58,-31558.95,2017
100012,2791973.97,2935129.7,-143155.73,2017
100013,1582874.56,1570955.38,11919.18,2017
100014,1480739.04,1542628.36,-61889.32,2017
100015,1083255.11,1074743.87,8511.24,2017
100018,3761767.83,3724903.36,36864.47,2017
100019,2442907.47,2491324.08,-48416.61,2017
100020,3272641.59,3170844.35,101797.24,2017
100021,3159388.08,3133225.6,26162.48,2017
100022,2939718.42,3037729.05,-98010.63,2017
100023,3238235.73,3197490.64,40745.09,2017
133719,2687627.99,2764659.95,-77031.96,2017
133725,4788325.22,4775116.22,13209,2017
133770,2064395.08,1761186.62,303208.46,2017
134008,1448966.45,1304957.55,144008.9,2017
100025,2995333.01,2956127.39,39205.62,2017
100026,1522899.31,1505060.06,17839.25,2017
100027,1564904.85,1516600.31,48304.54,2017
100028,1142152.94,1104727.65,37425.29,2017
100029,1555574.06,1473369.95,82204.11,2017
100030,1572064.4,1641941.56,-69877.16,2017
100031,1340270,1351955.59,-11685.59,2017
100032,1346189.29,1287681.56,58507.73,2017
100033,1279678.06,1265959.8,13718.26,2017
100034,2025268.4,2019265.36,6003.04,2017
130856,4354883,4423082,-68199,2017
130899,5280134.05,5066864.53,213269.52,2017
130880,365690.2,410516.34,-44826.14,2017
130980,362863.53,341399.11,21464.42,2017
131067,1197247.35,1311472.05,-114224.7,2017
131066,1374672.89,1406722.71,-32049.82,2017
131099,4309392.17,4523652.48,-214260.31,2017
131134,585543.3,585862.79,-319.49,2017
131182,6732162.07,7043495.22,-311333.15,2017
131221,293831.15,417022.28,-123191.13,2017
131251,1608334.48,1630461.91,-22127.43,2017
131222,614940.15,708382.17,-93442.02,2017
131277,1571461.47,1637677.25,-66215.78,2017
131367,1526549.59,1585505.04,-58955.45,2017
130388,699184.87,680890.04,18294.83,2017
128190,1242029.07,1319806.11,-77777.04,2017
134716,2566815.44,2282822.19,283993.25,2017
134719,2390536.45,2419373.78,-28837.33,2017
134722,2096453.16,2144390.01,-47936.85,2017
134723,1376831.44,1403568.23,-26736.79,2017
134724,3589671,3727590,-137919,2017
134731,2080646.35,1962452.12,118194.23,2017
134728,2559665,2606436,-46771,2017
134732,1652689.92,1676757.24,-24067.32,2017
134734,1614408.01,1588271.2,26136.81,2017
134741,1028217.44,975129.41,53088.03,2017
134742,2766637.44,2681427.35,85210.09,2017
134739,1621278.24,1606452.17,14826.07,2017
134740,1255217.42,1234885.96,20331.46,2017
134774,3004423.56,3093296.65,-88873.09,2017
134777,1088769.95,1129923.42,-41153.47,2017
134780,1848285.8,2035357.55,-187071.75,2017
134894,1749144.97,1716807.4,32337.57,2017
134883,1853056.14,1848951.18,4104.96,2017
134884,3735950.31,3856587.58,-120637.27,2017
134745,2403368.89,2302565.45,100803.44,2017
134758,2394978.93,2306638.57,88340.36,2017
134759,1630288.43,1638668.84,-8380.41,2017
134762,715007.06,748907.08,-33900.02,2017
134765,583867.5,579577.73,4289.77,2017
134768,1067291,998683,68608,2017
134860,2001746.72,1930195.52,71551.2,2017
134840,5036035.56,5157171.33,-121135.77,2017
134841,2262167.66,2200151.16,62016.5,2017
134705,2025651.38,1776814.05,248837.33,2017
134707,1181896.88,1170570.06,11326.82,2017
134865,4583798.46,4356302.66,227495.8,2017
134870,822983.68,822983.68,0,2017
134872,1178461,1222556,-44095,2017
134874,639084.23,677122.36,-38038.13,2017
134885,4003915.4,4286358.72,-282443.32,2017
135030,2534957.23,2623912.8,-88955.57,2017
134842,1344456.5,1425048.66,-80592.16,2017
134846,983608.25,841777.15,141831.1,2017
134813,1129122,1113247.71,15874.29,2017
122453,843264.27,824615.23,18649.04,2017
122456,2272767.87,2342503.6,-69735.73,2017
122458,1156073.96,1145214.06,10859.9,2017
122463,1853080.63,1836939.15,16141.48,2017
122465,1279175.47,1215259.14,63916.33,2017
122468,2062356.21,2029776.38,32579.83,2017
134852,1751057.71,1665219.83,85837.88,2017
134857,1908778.06,1805985.02,102793.04,2017
134867,1367046.2,1400419.25,-33373.05,2017
134880,974192.97,998613.17,-24420.2,2017
134853,2300337.01,2284256.48,16080.53,2017
134859,351653.2,294812.51,56840.69,2017
134861,1659670.39,1546007.6,113662.79,2017
122520,1125627.73,1133076.39,-7448.66,2017
122521,1199129.53,1217692.63,-18563.1,2017
122523,1023842.16,1004096.63,19745.53,2017
122524,928214.77,1010619.19,-82404.42,2017
122525,1433015.39,1481180.93,-48165.54,2017
122528,1775926.46,1780485.31,-4558.85,2017
122529,799081.23,778981.67,20099.56,2017
122530,667325.49,661881.26,5444.23,2017
122531,971724.67,961208.54,10516.13,2017
122532,943788.72,944795.27,-1006.55,2017
122533,937634.2,923891.68,13742.52,2017
122534,988989.9,978594.94,10394.96,2017
122535,853483.54,893770.82,-40287.28,2017
122536,1632405.78,1591604.94,40800.84,2017
122426,1432431.04,1440247.98,-7816.94,2017
122427,2080244.5,2110715.21,-30470.71,2017
143060,481812.51,457195.89,24616.62,2017
122437,2030861.24,1935801.08,95060.16,2017
122440,1135591.57,1046618.81,88972.76,2017
122441,1214213.89,1143544.52,70669.37,2017
122442,2749426.52,2746296.26,3130.26,2017
122444,1394393.35,1413077.61,-18684.26,2017
122452,782889.54,774705.3,8184.24,2017
122584,1429961.97,1470515.66,-40553.69,2017
122585,1222490.79,1223421.09,-930.3,2017
122586,1222893.08,1222452.06,441.02,2017
122587,1619357.42,1587816.27,31541.15,2017
122589,1661775.04,1624282.56,37492.48,2017
122486,1933047.14,1870965.01,62082.13,2017
122488,891659.64,938071.63,-46411.99,2017
122490,1234404.2,1258504.25,-24100.05,2017
122493,2044559.68,2064326.06,-19766.38,2017
122496,1022600.42,1025206.84,-2606.42,2017
122497,684500.98,664454.4,20046.58,2017
122498,671226.05,689347.78,-18121.73,2017
122501,1049382.55,1007810.82,41571.73,2017
122508,1055182.07,1064355.89,-9173.82,2017
122509,1034858.57,1021470.2,13388.37,2017
122511,805893.29,814036.25,-8142.96,2017
122512,1879734.99,1946120.03,-66385.04,2017
122513,971593.75,960103.64,11490.11,2017
122516,818887.4,830794.57,-11907.17,2017
122650,781463.15,724401.37,57061.78,2017
122651,569904.56,557267.71,12636.85,2017
122539,1880615.99,1846584.37,34031.62,2017
122540,806184.65,839006.53,-32821.88,2017
122541,853447.65,877303.88,-23856.23,2017
122543,1233665.87,1221334.99,12330.88,2017
122544,1028228.49,1016493.93,11734.56,2017
122545,1127340.19,1125152.24,2187.95,2017
122546,951590.56,946412.12,5178.44,2017
122547,948627.91,986658.34,-38030.43,2017
122548,1206004.42,1205725.14,279.28,2017
122551,988916.01,1036480.33,-47564.32,2017
122554,974395.6,941389.03,33006.57,2017
122555,1020451.08,1028617.22,-8166.14,2017
122556,631313.21,619698.33,11614.88,2017
122559,1084664.42,1145067.61,-60403.19,2017
122560,1070426.32,1056757.76,13668.56,2017
122561,1340688.28,1345691.91,-5003.63,2017
122562,1034245.4,983060.94,51184.46,2017
122563,1642005.1,1710728.84,-68723.74,2017
122566,896937.47,835709.63,61227.84,2017
122571,869262.87,885571.66,-16308.79,2017
122574,979014.99,962059.96,16955.03,2017
122575,1016802.33,996183.64,20618.69,2017
122577,864710.41,856413.79,8296.62,2017
122578,794501.93,779188.24,15313.69,2017
122579,1366504.2,1397732.15,-31227.95,2017
122580,1043626.84,1030510.36,13116.48,2017
122581,346285.32,358674.58,-12389.26,2017
122603,1864707.56,1924478.67,-59771.11,2017
122604,558724.79,565549,-6824.21,2017
122605,1977301.75,2046469.89,-69168.14,2017
