URN,Income,Expenditure,Balance,Academic Year
100000,2092910.44,1976698.09,116212.35,2016
100005,1398841.96,1391320.26,7521.7,2016
100006,1134757.09,421295.87,713461.22,2016
100007,1672224.37,564175.82,1108048.55,2016
134643,1088655.99,1088655.99,0,2016
100008,2788599.57,2834851.51,-46251.94,2016
100009,2998500.49,2870020.7,128479.79,2016
100010,2790388.27,2600958.4,189429.87,2016
100011,2537859.32,2555348.41,-17489.09,2016
100012,2725652.29,2793648.55,-67996.26,2016
100013,1622478.75,1661088.99,-38610.24,2016
100014,1531566.9,1575472.29,-43905.39,2016
100015,883802.64,922154.37,-38351.73,2016
100018,3555730.8,3489948.75,65782.05,2016
100019,2495817.11,2532446.29,-36629.18,2016
100020,3226981.87,3086984.95,139996.92,2016
100021,3189782.46,3123701.93,66080.53,2016
100022,3000613.2,3073452.36,-72839.16,2016
100023,2544466.24,2519955.14,24511.1,2016
100025,3012042.39,3014638.77,-2596.38,2016
100026,1519413.2,1585746.83,-66333.63,2016
100027,1536218.86,1450065.72,86153.14,2016
130342,1633314,1576563.33,56750.67,2016
132245,4095667.65,3854182.15,241485.5,2016
100028,1173628.99,1146661.38,26967.61,2016
100029,1527621.18,1557293.31,-29672.13,2016
100030,1523761.3,1484423.98,39337.32,2016
100031,1339578.34,1322516.02,17062.32,2016
100032,1364091.52,1345848.88,18242.64,2016
100033,1251948.85,1289010.38,-37061.53,2016
100034,2077584.43,2125581.13,-47996.7,2016
100035,2040827.09,2084062.16,-43235.07,2016
100036,1555018.83,1436558.83,118460,2016
100037,1611962.44,537434.2,1074528.24,2016
100038,1435022.83,1452665.28,-17642.45,2016
100039,1991401.86,1989351.62,2050.24,2016
100040,1490022.79,1419447.47,70575.32,2016
100041,1488383.29,1544714.38,-56331.09,2016
100042,1530464.36,1505585.84,24878.52,2016
100043,1677158.81,1603924.95,73233.86,2016
100044,1673805.11,717980.53,955824.58,2016
100045,1573643.81,1595381.78,-21737.97,2016
100046,1269446.61,491454.5,777992.11,2016
100047,1455674.5,1455006.69,667.81,2016
100048,1391665.75,1400052.57,-8386.82,2016
100049,11100383.86,11145759.12,-45375.26,2016
100050,9098906.27,9000323.34,98582.93,2016
100051,7609678.3,7855277.08,-245598.78,2016
100052,9920818.78,9886180.83,34637.95,2016
100053,9030999.94,9382399.06,-351399.12,2016
100054,7067701.05,6941291.79,126409.26,2016
100055,5135416.59,5141270.28,-5853.69,2016
100056,6694234.68,6607501.77,86732.91,2016
100059,7650433.42,7689177.05,-38743.63,2016
100060,1870188.65,1841416.69,28771.96,2016
100091,1286607.5,1286091.09,516.41,2016
100092,1248725.35,1327193.04,-78467.69,2016
100094,527642,512557.02,15084.98,2016
100096,8691205.51,8550166.27,141039.24,2016
100097,1069247.66,1067487.27,1760.39,2016
100098,1338743.91,1348479.17,-9735.26,2016
100099,738061.95,835463.63,-97401.68,2016
100102,1727304.25,1756067.26,-28763.01,2016
100103,3412701.63,3147710.23,264991.4,2016
100111,2592995.32,2495664.23,97331.09,2016
100112,1950854.7,2352037.37,-401182.67,2016
100113,4373085.72,4406938.81,-33853.09,2016
100114,2475067.81,2373002.94,102064.87,2016
100115,1716326.76,1613158.92,103167.84,2016
100120,2424140.82,2445095.14,-20954.32,2016
100125,2566927.62,2431844.09,135083.53,2016
100126,2489421.02,2476517.06,12903.96,2016
100127,2170591.52,2234325.88,-63734.36,2016
100128,2369731.46,2580915.56,-211184.1,2016
100129,1953418.99,1961320.47,-7901.48,2016
100130,2116442.45,2110082.02,6360.43,2016
100131,2133092,2262227.6,-129135.6,2016
100132,2594316.66,2376442.31,217874.35,2016
100134,2377697.05,2449125.14,-71428.09,2016
100136,2613174.82,2920140.99,-306966.17,2016
100137,1729717.66,1793671.73,-63954.07,2016
100140,4449072.89,4515165.49,-66092.6,2016
100141,2491907.09,2534346.19,-42439.1,2016
100142,1377975.59,1388730.16,-10754.57,2016
100145,3763714.35,3629310.94,134403.41,2016
100146,2377662.42,2352355.63,25306.79,2016
100148,1274301.41,1377030.39,-102728.98,2016
100149,2286232.86,2265080.45,21152.41,2016
100150,2684155.79,2773429.72,-89273.93,2016
100151,1399748.62,1433908.44,-34159.82,2016
100152,3295025.29,3317061.45,-22036.16,2016
100154,1672884.89,1631893.58,40991.31,2016
100155,2984467.19,3138073.37,-153606.18,2016
100156,4178462.45,4153956.26,24506.19,2016
100157,3561836.46,3573183.35,-11346.89,2016
100158,4990968.75,4870685.3,120283.45,2016
100159,2853940.81,2674966.8,178974.01,2016
100160,1518540.54,1510636.21,7904.33,2016
100162,1445666.96,1396102.86,49564.1,2016
100163,3375491.8,3302119.67,73372.13,2016
100164,2843586.74,2802935.9,40650.84,2016
130921,2635372.07,2875931.93,-240559.86,2016
130922,2356778.01,2290659.73,66118.28,2016
131183,3753192.39,4089655.46,-336463.07,2016
131246,3590790.14,3730378.54,-139588.4,2016
131841,3511929.33,3374974.57,136954.76,2016
132837,2478520.59,2360826.34,117694.25,2016
132800,2773529.57,3130075.46,-356545.89,2016
132827,3139598.85,3490552.62,-350953.77,2016
100165,1501225.97,1579830.04,-78604.07,2016
100166,1094911.44,1073902.49,21008.95,2016
100167,1625597.5,1610457.27,15140.23,2016
100168,1132402.01,1157703.66,-25301.65,2016
100169,1431033.49,1430105.52,927.97,2016
100170,1525692.9,1502723.86,22969.04,2016
100171,2870849.24,3025827.62,-154978.38,2016
100172,2039503.69,1988526.6,50977.09,2016
100173,1881879.08,1892843.04,-10963.96,2016
100174,1616542.46,1590275.66,26266.8,2016
100175,1226774.35,1161940.54,64833.81,2016
100176,1120379.09,1150899.51,-30520.42,2016
100177,1996598.64,1826681.37,169917.27,2016
100178,1330974.92,1311686.52,19288.4,2016
100179,1280819.22,1299969.09,-19149.87,2016
100180,1301612,1251675.01,49936.99,2016
100181,1208715.64,1153472.5,55243.14,2016
131109,3371576.85,3464589.37,-93012.52,2016
100182,6601279.99,6524554.23,76725.76,2016
100183,10592886.63,11066720.81,-473834.18,2016
100190,13010460.69,13164819.86,-154359.17,2016
100192,10018455.07,9643242.73,375212.34,2016
100193,3945804.16,3886987.93,58816.23,2016
100197,3609845.01,3562506.01,47339,2016
100204,1142792.84,373773.06,769019.78,2016
133401,1800103.68,1751730.52,48373.16,2016
133399,5824447.59,5786633.17,37814.42,2016
100212,710300.45,783209.91,-72909.46,2016
100213,692412,709837,-17425,2016
134635,3832807.29,3460261.99,372545.3,2016
138241,923585.88,815345.19,108240.69,2016
100218,3309617.16,3443917.98,-134300.82,2016
100221,1713185.42,1709726.57,3458.85,2016
100223,4482442.23,4238417.11,244025.12,2016
100224,2815278.17,2916057.31,-100779.14,2016
100225,3987954.51,3984585.25,3369.26,2016
100229,3158263.81,3069996.49,88267.32,2016
100230,3117565.31,2880274.36,237290.95,2016
100231,4508610.54,4401827.54,106783,2016
100232,3143705.44,3079692.48,64012.96,2016
100234,6412422.8,6331381.16,81041.64,2016
100235,3361289.52,3395931.06,-34641.54,2016
100236,3137268.8,3284310.08,-147041.28,2016
100239,2962914.25,3049005.57,-86091.32,2016
130302,3205945.11,3215393.4,-9448.29,2016
130303,4034359.35,3841206.5,193152.85,2016
100240,3463062.8,3344338.79,118724.01,2016
100242,682.54,68011.75,-67329.21,2016
100243,3120868.22,2938426.44,182441.78,2016
100244,3251569,3259059.49,-7490.49,2016
100245,3169193.34,3196825.92,-27632.58,2016
100248,3954172.86,3906417.24,47755.62,2016
100250,2264607.44,2313500.58,-48893.14,2016
100251,2986793.15,2959620.73,27172.42,2016
100252,1628371.55,1722921.64,-94550.09,2016
100253,3216172.71,3065954.84,150217.87,2016
100254,1711882.79,1721251.65,-9368.86,2016
100255,1665920.04,1679512.74,-13592.7,2016
100256,2697235.89,2738602.2,-41366.31,2016
100257,1718636.95,1680469.74,38167.21,2016
100258,6262831.94,6225552.52,37279.42,2016
100259,1792226.18,1854393.32,-62167.14,2016
100260,2861817.64,3162036.28,-300218.64,2016
100261,2729035.62,2714294.62,14741,2016
130932,2794557.81,2689458.7,105099.11,2016
131141,2131898.03,2214989.85,-83091.82,2016
131706,2637694.29,2593406.39,44287.9,2016
133669,3106128.01,3077204.13,28923.88,2016
132137,2096864.29,2447537.19,-350672.9,2016
100263,2419196.86,2442697.18,-23500.32,2016
100264,1626027,1661517,-35490,2016
100266,2357892.49,2298047.41,59845.08,2016
100267,1918298.82,1960964.41,-42665.59,2016
100268,1722614.44,1748130.8,-25516.36,2016
100269,1516114.28,1578471.47,-62357.19,2016
100270,1657366.89,1699640.58,-42273.69,2016
