URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
100000,28,16,12,2.7,106,93%,18%,,,2.2,106,96%,18%,,,3,106,100%,18%,,,89%,7%,2016
100028,21,16,5,2.6,106,86%,48%,,,4,108,90%,43%,,,3.5,108,90%,43%,,,81%,24%,2016
100029,28,17,11,2.3,102,61%,14%,,,1.4,103,64%,25%,,,0.3,101,50%,14%,,,43%,4%,2016
130342,28,16,12,3.4,106,93%,25%,,,2.2,108,93%,39%,,,2.3,106,86%,21%,,,79%,7%,2016
100013,29,9,20,2,102,72%,17%,,,1.4,106,76%,34%,,,6,107,90%,31%,,,62%,7%,2016
100027,30,15,15,3.5,108,93%,30%,,,0.4,107,93%,30%,,,2.7,108,93%,33%,,,87%,10%,2016
100030,14,8,6,-0.4,105,64%,36%,,,-3.3,106,79%,43%,,,1.4,107,86%,21%,,,57%,0%,2016
139837,,,,,,,,,,,,,,,,,,,,,,,,2016
100026,27,14,13,-0.3,106,74%,30%,,,-4.7,108,78%,33%,,,0,107,74%,37%,,,52%,7%,2016
100014,30,17,13,2,107,80%,40%,,,-3.8,103,67%,20%,,,-0.2,104,77%,27%,,,57%,10%,2016
100008,60,27,33,-4,98,48%,7%,,,-0.4,105,78%,28%,,,0.8,103,78%,13%,,,43%,2%,2016
100025,59,30,29,4.4,104,73%,31%,,,1.3,104,80%,25%,,,2.3,103,69%,20%,,,54%,10%,2016
100031,29,13,16,4.2,110,97%,62%,,,0.9,111,97%,66%,,,4.2,111,97%,52%,,,93%,28%,2016
100015,,,,,,,,,,,,,,,,,,,,,,,,2016
100033,27,16,11,7.6,111,96%,48%,,,2.2,106,89%,33%,,,3.6,106,81%,37%,,,74%,19%,2016
100032,27,10,17,5.1,106,70%,33%,,,0.2,107,70%,41%,,,2.1,103,56%,26%,,,44%,15%,2016
100034,29,14,15,7.7,109,90%,34%,,,3.9,109,86%,52%,,,5,107,90%,31%,,,76%,21%,2016
140686,,,,,,,,,,,,,,,,,,,,,,,,2016
132245,59,33,26,2.3,105,92%,20%,,,6.6,108,92%,39%,,,3.6,107,93%,42%,,,86%,14%,2016
100018,58,34,24,-1.3,99,47%,7%,,,0.3,104,76%,16%,,,1.1,103,69%,16%,,,36%,0%,2016
100019,54,25,29,3.4,107,78%,37%,,,-0.3,107,85%,41%,,,3.3,107,87%,41%,,,74%,7%,2016
100048,30,13,17,-1.3,102,53%,7%,,,-0.5,105,83%,33%,,,0.1,103,70%,17%,,,43%,3%,2016
100009,59,29,30,0.6,102,66%,22%,,,1.9,103,64%,22%,,,0.6,102,61%,14%,,,49%,7%,2016
100020,87,44,43,2.8,104,75%,20%,,,1.3,105,76%,29%,,,1.5,103,72%,14%,,,59%,2%,2016
100021,55,25,30,-0.4,102,60%,9%,,,-0.4,105,80%,20%,,,0.7,104,76%,16%,,,49%,4%,2016
100022,60,33,27,8,106,85%,22%,,,4.3,105,73%,25%,,,7.6,106,83%,27%,,,73%,2%,2016
100035,43,19,24,3.4,104,70%,19%,,,2.6,105,81%,21%,,,3.9,105,77%,23%,,,56%,9%,2016
100036,30,16,14,0.9,102,67%,17%,,,-0.8,106,80%,20%,,,1.2,103,87%,13%,,,60%,3%,2016
100037,57,27,30,-1.1,101,60%,9%,,,1.1,105,79%,18%,,,1.3,104,79%,16%,,,51%,2%,2016
100039,28,17,11,3.2,103,64%,11%,,,4.3,106,82%,25%,,,3.5,105,82%,14%,,,61%,0%,2016
100047,30,16,14,0,103,70%,13%,,,0.3,107,93%,37%,,,3.8,106,87%,20%,,,67%,0%,2016
100040,30,15,15,5.7,108,93%,40%,,,-1.2,113,100%,77%,,,5.9,109,100%,40%,,,73%,3%,2016
100041,27,10,17,1.4,107,70%,41%,,,0.6,106,74%,37%,,,0,105,74%,26%,,,67%,19%,2016
136807,,,,,,,,,,,,,,,,,,,,,,,,2016
100043,26,13,13,1.4,102,77%,19%,,,3.6,103,85%,15%,,,2.6,104,88%,19%,,,69%,15%,2016
100042,25,12,13,0.6,101,64%,4%,,,-0.1,104,72%,28%,,,5.1,106,88%,28%,,,64%,0%,2016
100044,29,15,14,0.8,102,76%,10%,,,-1.8,105,76%,17%,,,1.5,104,76%,17%,,,59%,0%,2016
100045,27,9,18,4.2,105,70%,30%,,,0.9,108,89%,37%,,,7.3,108,93%,33%,,,59%,11%,2016
100046,30,14,16,4.7,109,97%,50%,,,-1.7,107,87%,33%,,,1.3,106,80%,30%,,,67%,17%,2016
100023,60,26,34,2.3,106,87%,25%,,,1.5,109,92%,60%,,,3.2,107,97%,37%,,,80%,15%,2016
100010,38,19,19,0.6,103,74%,11%,,,0.1,104,74%,18%,,,3.2,108,82%,29%,,,63%,3%,2016
100011,56,31,25,3.7,106,77%,39%,,,-0.8,105,75%,30%,,,1,104,79%,18%,,,66%,11%,2016
100012,49,17,32,-1.6,100,55%,8%,,,0,104,76%,29%,,,1.2,104,73%,14%,,,51%,8%,2016
100091,5,,,,,,,,,,,,,,,,,,,,,,,2016
100096,19,13,6,-7.1,,0%,0%,,,-7.1,,0%,0%,,,-6.9,,0%,0%,,,0%,0%,2016
100164,60,25,35,-0.4,104,75%,23%,,,-0.3,101,63%,12%,,,-0.9,104,72%,20%,,,62%,7%,2016
100115,29,17,12,0.1,103,76%,21%,,,2.6,104,62%,31%,,,2.1,105,90%,34%,,,66%,14%,2016
100165,27,10,17,1.7,102,59%,7%,,,1.9,102,56%,11%,,,1.8,103,85%,7%,,,48%,0%,2016
100166,30,18,12,4.7,110,90%,60%,,,1.9,109,93%,53%,,,2.2,108,97%,33%,,,83%,20%,2016
132800,53,29,24,-2.9,99,47%,11%,,,4,104,74%,26%,,,3.3,106,87%,32%,,,47%,8%,2016
100152,56,29,27,-2.7,100,50%,16%,,,1.8,101,68%,13%,,,-1.9,101,57%,11%,,,38%,11%,2016
132837,51,20,31,-1,104,67%,25%,,,2.7,103,67%,16%,,,-3,102,63%,16%,,,51%,10%,2016
131109,56,35,21,-0.8,103,63%,16%,,,1.6,109,89%,46%,,,5.1,109,86%,43%,,,63%,11%,2016
100120,35,20,15,1,101,57%,9%,,,4.5,101,57%,14%,,,0.4,101,66%,0%,,,43%,0%,2016
132827,58,29,29,1,102,71%,9%,,,4.7,108,88%,48%,,,4.4,106,88%,28%,,,66%,5%,2016
100167,43,20,23,2.4,108,95%,37%,,,1,110,95%,60%,,,1.7,108,93%,35%,,,91%,12%,2016
100125,53,27,26,-1.6,100,53%,4%,,,-0.5,101,57%,8%,,,-2.3,100,58%,4%,,,40%,0%,2016
100156,81,34,47,2.3,102,68%,14%,,,3.6,103,70%,17%,,,0.5,102,59%,12%,,,49%,6%,2016
100126,57,34,23,-0.1,102,61%,12%,,,2.5,103,63%,21%,,,-1.9,101,56%,11%,,,51%,5%,2016
100127,55,27,28,1.1,105,78%,35%,,,-0.2,105,75%,25%,,,1.4,105,85%,25%,,,65%,13%,2016
100128,29,17,12,1.3,104,79%,3%,,,4.5,107,86%,28%,,,1.7,105,86%,14%,,,76%,0%,2016
100162,27,19,8,0.8,104,74%,19%,,,3,108,93%,41%,,,2.8,107,93%,41%,,,70%,19%,2016
100129,36,17,19,2.4,103,81%,14%,,,3.3,102,69%,14%,,,-0.7,101,72%,8%,,,61%,6%,2016
100130,44,25,19,0.2,108,93%,41%,,,-0.6,107,89%,32%,,,-0.6,107,86%,32%,,,77%,14%,2016
100197,60,32,28,1.4,107,83%,35%,,,4.9,107,80%,33%,,,2.7,108,82%,45%,,,77%,25%,2016
100131,41,26,15,1.1,106,85%,29%,,,3.2,106,88%,22%,,,4.3,109,98%,37%,,,83%,12%,2016
100158,89,41,48,1.3,104,80%,19%,,,0.5,106,88%,31%,,,-0.6,103,70%,18%,,,62%,3%,2016
100178,30,15,15,-0.6,104,73%,23%,,,-0.9,104,77%,20%,,,-1.7,102,60%,10%,,,50%,10%,2016
100132,32,18,14,0.2,103,75%,19%,,,1.2,105,78%,22%,,,0.4,104,78%,16%,,,69%,6%,2016
100134,26,14,12,-1.3,102,58%,23%,,,-0.1,102,62%,23%,,,-0.8,103,62%,27%,,,50%,12%,2016
131246,57,29,28,3.9,106,86%,32%,,,4.6,108,86%,39%,,,3.2,106,88%,16%,,,84%,9%,2016
100136,49,18,31,-0.6,102,65%,10%,,,3.5,102,67%,20%,,,1.9,104,78%,24%,,,55%,8%,2016
100159,59,32,27,0.3,101,59%,17%,,,4.6,105,73%,29%,,,0.9,102,69%,20%,,,53%,8%,2016
100113,73,36,37,8,110,99%,44%,,,4.8,106,90%,22%,,,5,107,95%,33%,,,84%,14%,2016
100137,29,21,8,5.4,107,93%,24%,,,3,106,90%,28%,,,3.4,106,93%,17%,,,79%,7%,2016
130921,49,22,27,5,105,80%,24%,,,3.6,103,73%,14%,,,3.6,105,78%,22%,,,73%,12%,2016
100111,50,28,22,5.8,109,90%,46%,,,6.8,109,90%,36%,,,6.8,111,92%,52%,,,90%,36%,2016
100149,60,37,23,0,102,67%,22%,,,2.7,104,70%,27%,,,0.1,102,62%,15%,,,50%,8%,2016
100114,40,22,18,1.4,103,68%,15%,,,6.1,105,85%,25%,,,1.9,103,83%,20%,,,63%,5%,2016
