URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
139405,72,24.43,D+,2017
130567,1094,,,2017
140867,242,33.49,C+,2017
130571,458,33.25,C+,2017
130908,319,31.07,C,2017
130570,4054,26.13,C-,2017
134223,158,35.63,B-,2017
142382,210,27.08,C-,2017
136139,17,,,2017
141013,57,28.71,C,2017
138845,174,35.78,B-,2017
142777,1732,33.33,C+,2017
130573,535,,,2017
139318,242,30.7,C,2017
143063,339,33.1,C+,2017
140949,,,,2017
130576,1509,28.95,C,2017
111768,51,36.24,B-,2017
111769,259,39.82,B,2017
141109,47,,,2017
114336,152,32.22,C+,2017
130657,617,,,2017
137638,114,31.69,C+,2017
130658,610,,,2017
114330,68,39.56,B,2017
114312,358,40.92,B,2017
114331,150,37.01,B-,2017
114310,1248,33.59,C+,2017
131859,1401,24.48,D+,2017
137696,155,31.96,C+,2017
136770,139,33.06,C+,2017
130659,2454,25.33,C-,2017
136745,113,23.04,D+,2017
136971,283,27.9,C-,2017
114327,88,29.01,C,2017
138172,239,30.51,C,2017
137702,224,30,C,2017
114326,251,36.05,B-,2017
144496,87,29.93,C,2017
136683,197,25.97,C-,2017
142894,50,,,2017
114300,82,24.69,D+,2017
114297,86,27.73,C-,2017
138717,,,,2017
137622,276,34.69,C+,2017
130656,1408,,,2017
142174,48,24.04,D+,2017
130662,1965,32.78,C+,2017
135598,133,23.04,D+,2017
130579,2978,16.98,D-,2017
118131,201,42.2,B+,2017
144766,,,,2017
135945,121,28.6,C,2017
118117,508,33.47,C+,2017
130580,1324,25.44,C-,2017
130581,1945,30.1,C,2017
136995,105,32.26,C+,2017
118072,94,31.41,C,2017
130584,1671,,,2017
118111,90,32.83,C+,2017
136921,126,31.04,C,2017
118078,203,26.17,C-,2017
143854,,,,2017
130582,1024,21.33,D,2017
134589,15,37.05,B-,2017
137316,62,,,2017
118085,98,32.91,C+,2017
137306,171,33.55,C+,2017
118082,143,31.4,C,2017
118126,85,31.68,C+,2017
118073,144,24.6,D+,2017
118132,180,36.92,B-,2017
118080,161,26.1,C-,2017
136667,455,31.25,C,2017
118075,90,25.79,C-,2017
118081,184,32.05,C+,2017
118083,230,29.87,C,2017
134821,199,31.87,C+,2017
130586,1620,25.94,C-,2017
130585,2763,,,2017
135294,51,20.61,D,2017
135176,21,,,2017
118124,17,13.53,E+,2017
136268,220,34.07,C+,2017
118109,44,29.26,C,2017
142130,32,5.38,E-,2017
130588,1613,31.35,C,2017
130587,1708,14.68,E+,2017
118112,62,31.2,C,2017
137742,44,26.43,C-,2017
137453,79,29.21,C,2017
121735,257,39.63,B,2017
121758,170,34.84,C+,2017
121699,75,25.71,C-,2017
121667,262,27.96,C-,2017
130591,1278,23.99,D+,2017
144976,,,,2017
121664,156,28.69,C,2017
121716,239,39.92,B,2017
121733,46,31.37,C,2017
121740,136,34.86,C+,2017
136497,579,34.71,C+,2017
138190,118,23.13,D+,2017
121741,104,39.91,B,2017
121687,223,29.73,C,2017
121671,162,27.23,C-,2017
121681,154,31.19,C,2017
121678,200,29.97,C,2017
136728,136,26.79,C-,2017
137412,40,23.91,D+,2017
121743,278,46.35,A-,2017
121749,124,39.6,B,2017
121748,27,30.64,C,2017
121680,269,34.07,C+,2017
121694,286,42.47,B+,2017
136896,229,29.71,C,2017
121730,72,,,2017
130593,1047,31.79,C+,2017
142884,22,,,2017
130592,1229,27.48,C-,2017
121689,82,29.57,C,2017
121695,118,33.95,C+,2017
136664,228,39.57,B,2017
136736,365,26.61,C-,2017
137139,660,32.87,C+,2017
121717,366,32.87,C+,2017
141930,186,33.61,C+,2017
121693,210,33.09,C+,2017
131124,377,36.9,B-,2017
121679,40,26.58,C-,2017
121666,144,25.35,C-,2017
132913,1026,32.87,C+,2017
121720,459,33.88,C+,2017
134727,63,,,2017
136617,267,35.6,B-,2017
130595,2101,5.45,E-,2017
121722,193,39.63,B,2017
141555,29,28.13,C-,2017
121684,286,33.23,C+,2017
