URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
100003,131,131,,,,,36.5,36.5,,0%,0%,,,,0%,,,2017
100001,89,1,88,,,,33.6,,,0%,0%,,,,0%,,,2017
100062,12,,12,,,,75.6,,75.6,92%,83%,,,,75%,,,2017
100055,78,0,78,0.24,,0.24,45.8,,45.8,40%,58%,,,,31%,,,2017
100051,110,69,41,-0.16,-0.26,0.01,39.4,38.2,41.5,34%,32%,,,,7%,,,2017
100056,117,117,,-0.25,-0.25,,47.6,47.6,,56%,63%,,,,34%,,,2017
100084,23,10,13,,,,34.8,30.5,38.2,35%,0%,,,,0%,,,2017
100092,8,6,2,-2.75,,,0.8,,,0%,0%,,,,0%,,,2017
100096,20,12,8,,,,,,,,,,,,,,,2017
100074,55,39,16,,,,63.1,62.1,65.6,89%,49%,,,,45%,,,2017
100065,147,114,33,,,,28.5,36.8,0,0%,0%,,,,0%,,,2017
100052,201,109,92,-0.08,-0.24,0.11,45.1,43.7,46.6,44%,56%,,,,25%,,,2017
100049,199,113,86,-0.65,-0.74,-0.52,38.4,35.9,41.6,31%,8%,,,,4%,,,2017
100054,110,,110,0.65,,0.65,63.5,,63.5,80%,68%,,,,57%,,,2017
100050,172,,172,0.42,,0.42,55.2,,55.2,53%,55%,,,,41%,,,2017
100076,107,,107,,,,55.5,,55.5,1%,0%,,,,0%,,,2017
100059,176,,176,0.46,,0.46,54.1,,54.1,48%,49%,,,,26%,,,2017
137181,161,91,70,0.24,0.16,0.34,53.6,53.5,53.6,60%,58%,,,,33%,,,2017
100053,160,117,43,0.23,0.21,0.31,51.2,52.7,47.1,54%,49%,,,,34%,,,2017
137333,3,,,,,,,,,,,,,,,,,2017
100182,144,,144,-0.13,,-0.13,44.8,,44.8,30%,45%,,,,17%,,,2017
141315,6,5,1,,,,5.5,,,0%,0%,,,,0%,,,2017
100200,37,31,6,,,,14.4,16.8,1.9,0%,0%,,,,0%,,,2017
100202,80,52,28,,,,37.9,37.7,38.4,0%,0%,,,,0%,,,2017
137473,135,74,61,-0.38,-0.63,-0.12,38.9,34.3,44.5,23%,27%,,,,9%,,,2017
100193,114,,114,0.81,,0.81,60.2,,60.2,68%,83%,,,,54%,,,2017
100756,58,,58,,,,53.4,,53.4,0%,0%,,,,0%,,,2017
138547,26,22,4,-1.37,,,0.8,,,0%,0%,,,,0%,,,2017
100192,196,122,74,-0.91,-1.15,-0.53,37.2,33.5,43.3,34%,58%,,,,18%,,,2017
132777,12,4,8,,,,7.6,,,0%,0%,,,,0%,,,2017
142608,,,,,,,,,,,,,,,,,,2017
136100,4,,,,,,,,,,,,,,,,,2017
134402,19,10,9,,,,3.8,3.6,3.9,0%,0%,,,,0%,,,2017
143927,10,10,0,0.39,0.39,,51.2,51.2,,50%,50%,,,,50%,,,2017
105135,225,133,92,0.14,0.05,0.27,48.2,48,48.5,48%,52%,,,,17%,,,2017
140226,4,,,,,,,,,,,,,,,,,2017
100190,257,150,107,-0.26,-0.41,-0.03,46.3,45.2,47.9,34%,33%,,,,17%,,,2017
138245,93,64,29,0.15,0.19,0.06,50.9,51.5,49.5,67%,39%,,,,24%,,,2017
141716,116,62,54,1.01,0.76,1.29,59.4,55.3,64.1,64%,38%,,,,29%,,,2017
134827,6,3,3,,,,3.4,,,0%,0%,,,,0%,,,2017
141163,225,225,,-0.2,-0.2,,46.9,46.9,,53%,49%,,,,31%,,,2017
141309,262,162,100,-0.33,-0.55,0.03,43.9,41.3,48.3,34%,48%,,,,13%,,,2017
100171,,,,,,,,,,,,,,,,,,2017
136092,15,12,3,,,,8.8,,,0%,0%,,,,0%,,,2017
