URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
100204,10,10,,-2.4,-2.4,,5.9,5.9,,0%,0%,,,,0%,,,2017
100183,209,,209,0.12,,0.12,45.3,,45.3,37%,38%,,,,21%,,,2017
138449,142,100,42,0.53,0.46,0.68,49.9,48.4,53.5,42%,78%,,,,32%,,,2017
137808,10,9,1,,,,,,,,,,,,,,,2017
141516,24,23,1,,,,8.6,,,0%,0%,,,,0%,,,2017
143756,,,,,,,,,,,,,,,,,,2017
131342,13,,13,,,,21.4,,21.4,23%,0%,,,,0%,,,2017
140210,,,,,,,,,,,,,,,,,,2017
100284,134,77,57,0.17,0.12,0.24,43.2,42.3,44.4,25%,38%,,,,21%,,,2017
100301,1,,,,,,,,,,,,,,,,,2017
136137,170,92,78,0.02,-0.11,0.17,46.7,45.4,48.2,43%,30%,,,,22%,,,2017
100287,15,15,0,,,,5,5,,0%,0%,,,,0%,,,2017
100282,121,,121,0.49,,0.49,51.1,,51.1,49%,60%,,,,31%,,,2017
141029,4,,,,,,,,,,,,,,,,,2017
131609,173,92,81,0.53,0.41,0.66,52,49.6,54.6,39%,34%,,,,18%,,,2017
132736,20,20,,,,,45.1,45.1,,50%,80%,,,,10%,,,2017
102171,42,,42,,,,47.1,,47.1,64%,17%,,,,17%,,,2017
131062,168,102,66,0.04,-0.03,0.16,45.6,43.9,48.2,44%,83%,,,,36%,,,2017
100311,9,6,3,,,,,,,,,,,,,,,2017
100307,18,13,5,-2.22,,,2.2,,,0%,0%,,,,0%,,,2017
100279,253,146,107,0.06,-0.23,0.46,50.2,46.8,54.8,45%,55%,,,,31%,,,2017
100285,158,90,68,0.62,0.52,0.76,48.4,46.6,50.7,32%,28%,,,,11%,,,2017
100300,10,,10,,,,63.6,,63.6,80%,70%,,,,60%,,,2017
139595,,,,,,,,,,,,,,,,,,2017
134693,196,101,95,1.06,0.98,1.16,56.7,56,57.4,60%,84%,,,,52%,,,2017
133439,2,,,,,,,,,,,,,,,,,2017
133599,56,,56,0.74,,0.74,56.9,,56.9,68%,0%,,,,0%,,,2017
100293,76,0,76,,,,29.3,,29.3,55%,0%,,,,0%,,,2017
100295,30,,30,,,,45.9,,45.9,53%,0%,,,,0%,,,2017
137442,175,,175,0.49,,0.49,54.1,,54.1,62%,52%,,,,34%,,,2017
100277,177,96,81,-0.06,-0.19,0.12,45,44.9,45.1,36%,31%,,,,16%,,,2017
100312,8,7,1,,,,,,,,,,,,,,,2017
135835,175,95,80,1.06,0.81,1.32,55.7,51.7,60.4,52%,85%,,,,46%,,,2017
138143,11,,11,0.14,,0.14,45.3,,45.3,55%,82%,,,,55%,,,2017
136750,119,66,53,0.02,0.15,-0.16,53.8,52.1,55.9,58%,76%,,,,37%,,,2017
100379,23,19,4,-1.57,,,9.5,,,0%,0%,,,,0%,,,2017
100369,116,,116,,,,14,,14,0%,0%,,,,0%,,,2017
136172,115,82,33,-0.04,0.01,-0.16,49,50.5,45.5,45%,85%,,,,39%,,,2017
137935,158,,158,0.97,,0.97,66.4,,66.4,82%,89%,,,,72%,,,2017
134735,29,18,11,,,,21.4,24.4,16.3,14%,0%,,,,0%,,,2017
100366,106,,106,,,,45.2,,45.2,0%,0%,,,,0%,,,2017
100381,6,2,4,,,,,,,,,,,,,,,2017
100378,9,7,2,,,,,,,,,,,,,,,2017
131675,20,18,2,,,,19.6,,,5%,0%,,,,0%,,,2017
137157,177,177,,0.53,0.53,,62.7,62.7,,77%,80%,,,,60%,,,2017
100370,163,84,79,,,,20.7,21.6,19.8,0%,0%,,,,0%,,,2017
135729,10,1,9,,,,50.3,,,60%,0%,,,,0%,,,2017
139365,114,,114,0.84,,0.84,54,,54,55%,41%,,,,31%,,,2017
141135,,,,,,,,,,,,,,,,,,2017
100527,46,,46,,,,47.1,,47.1,0%,0%,,,,0%,,,2017
143129,160,98,62,-0.98,-1.07,-0.83,33.7,31.6,37.1,23%,8%,,,,3%,,,2017
131752,156,94,62,-0.04,-0.26,0.29,46.9,44.6,50.4,33%,85%,,,,26%,,,2017
135175,4,,,,,,,,,,,,,,,,,2017
139364,72,65,7,0.18,0.34,-0.97,45.1,46.4,33,36%,18%,,,,7%,,,2017
138607,116,,116,0.5,,0.5,61.7,,61.7,74%,80%,,,,59%,,,2017
100382,18,11,7,-1.49,-1.35,-1.63,1.5,1.9,0.8,0%,0%,,,,0%,,,2017
141617,71,54,17,0.53,0.46,0.81,51.4,49.9,56.1,61%,23%,,,,14%,,,2017
100453,151,96,55,-0.32,-0.46,-0.07,38.4,36.8,41.3,20%,24%,,,,5%,,,2017
100461,15,4,11,,,,44.2,,,20%,0%,,,,0%,,,2017
143659,,,,,,,,,,,,,,,,,,2017
100452,189,112,77,-0.46,-0.74,-0.09,40.9,37.1,46.4,40%,59%,,,,22%,,,2017
100459,159,159,,-0.12,-0.12,,45,45,,41%,82%,,,,35%,,,2017
141250,40,27,13,,,,54.9,56,52.6,68%,50%,,,,40%,,,2017
100455,120,,120,0.47,,0.47,49.1,,49.1,44%,38%,,,,29%,,,2017
143702,,,,,,,,,,,,,,,,,,2017
139418,4,,,,,,,,,,,,,,,,,2017
134314,163,91,72,0.45,0.2,0.76,50.6,48.9,52.7,55%,43%,,,,33%,,,2017
100458,135,135,,0.77,0.77,,56.3,56.3,,71%,40%,,,,33%,,,2017
131690,102,62,40,-0.09,-0.23,0.11,42.1,41,43.9,39%,34%,,,,26%,,,2017
100460,81,,81,0.28,,0.28,43.6,,43.6,33%,31%,,,,16%,,,2017
100469,13,7,6,-1.39,-1.38,-1.41,0.5,0.6,0.5,0%,0%,,,,0%,,,2017
141605,1,,,,,,,,,,,,,,,,,2017
100457,161,,161,0.54,,0.54,51.2,,51.2,55%,77%,,,,31%,,,2017
134030,6,6,0,,,,,,,,,,,,,,,2017
135587,88,43,45,0.5,0.25,0.74,47.2,43.3,50.9,45%,82%,,,,36%,,,2017
100467,5,,,,,,,,,,,,,,,,,2017
100537,18,14,4,,,,41.7,,,56%,22%,,,,6%,,,2017
141957,11,8,3,,,,,,,,,,,,,,,2017
140212,,,,,,,,,,,,,,,,,,2017
140603,1,,,,,,,,,,,,,,,,,2017
131778,3,,,,,,,,,,,,,,,,,2017
100526,7,4,3,,,,7.2,,,0%,0%,,,,0%,,,2017
100503,93,,93,0.11,,0.11,47,,47,41%,22%,,,,14%,,,2017
100539,26,15,11,,,,6.6,7.4,5.4,0%,0%,,,,0%,,,2017
135531,174,102,72,0.53,0.39,0.72,54.3,54.4,54.1,56%,28%,,,,20%,,,2017
100511,64,,64,,,,23.3,,23.3,0%,0%,,,,0%,,,2017
100540,36,21,15,,,,8.2,6.6,10.4,0%,0%,,,,0%,,,2017
140225,11,7,4,,,,,,,,,,,,,,,2017
141931,121,121,,0.28,0.28,,59.9,59.9,,67%,38%,,,,28%,,,2017
140134,233,133,100,0.82,0.52,1.19,60.4,57.6,64,66%,81%,,,,56%,,,2017
100521,32,,32,,,,43,,43,0%,0%,,,,0%,,,2017
100547,326,172,154,,,,10.4,11.3,9.4,15%,0%,,,,0%,,,2017
100502,109,71,38,0.13,0.11,0.18,50.6,50.6,50.6,50%,40%,,,,15%,,,2017
139659,1,,,,,,,,,,,,,,,,,2017
138803,1,,,,,,,,,,,,,,,,,2017
137966,133,,133,-0.22,,-0.22,44.1,,44.1,33%,53%,,,,20%,,,2017
100529,40,24,16,,,,19.9,21.3,17.9,0%,0%,,,,0%,,,2017
137093,204,117,87,-0.07,-0.36,0.32,49.1,45.8,53.5,50%,68%,,,,33%,,,2017
136450,178,97,81,0.44,0.37,0.51,49.6,49.2,50.2,48%,80%,,,,28%,,,2017
100640,83,83,0,-1.09,-1.09,,34.9,34.9,,18%,24%,,,,5%,,,2017
100648,73,,73,,,,35.5,,35.5,0%,0%,,,,0%,,,2017
100643,9,8,1,,,,,,,,,,,,,,,2017
136288,32,19,13,-1.45,-1.59,-1.25,34.4,31.8,38.3,31%,91%,,,,13%,,,2017
100654,29,23,6,-1.64,-1.62,-1.69,1.9,1.5,3.3,0%,0%,,,,0%,,,2017
140356,4,,,,,,,,,,,,,,,,,2017
100627,93,43,50,-0.58,-0.61,-0.55,38.8,38.3,39.2,29%,41%,,,,12%,,,2017
100590,,,,,,,,,,,,,,,,,,2017
137954,,,,,,,,,,,,,,,,,,2017
100659,17,15,2,-1.96,,,2.7,,,0%,0%,,,,0%,,,2017
142905,,,,,,,,,,,,,,,,,,2017
140966,,,,,,,,,,,,,,,,,,2017
100625,118,54,64,0.45,0.58,0.35,49.4,50,48.8,51%,43%,,,,25%,,,2017
100642,95,95,,-0.69,-0.69,,40.8,40.8,,28%,13%,,,,7%,,,2017
133442,9,6,3,,,,,,,,,,,,,,,2017
100637,144,,144,0.65,,0.65,53.5,,53.5,61%,60%,,,,44%,,,2017
100638,165,88,77,0.48,0.16,0.85,54.7,53.1,56.6,61%,49%,,,,39%,,,2017
134815,169,88,81,-0.14,-0.3,0.05,44.4,41.6,47.6,41%,32%,,,,14%,,,2017
129649,163,98,65,-0.55,-0.64,-0.4,41.2,39.3,44,26%,61%,,,,17%,,,2017
100624,134,83,51,0.25,0.19,0.36,46.7,45.2,49.3,31%,36%,,,,14%,,,2017
135389,174,99,75,-0.38,-0.53,-0.17,40.1,36.9,44.2,32%,41%,,,,22%,,,2017
100741,191,,191,0.31,,0.31,51.7,,51.7,49%,57%,,,,36%,,,2017
100749,107,66,41,-0.43,-0.39,-0.48,46.3,48.5,42.8,44%,30%,,,,19%,,,2017
100757,62,,62,,,,26,,26,0%,0%,,,,0%,,,2017
100743,161,84,77,-1.05,-1.26,-0.79,35.5,32.2,39.2,24%,25%,,,,6%,,,2017
100752,141,79,62,0.38,0.29,0.52,51.9,51.5,52.6,52%,31%,,,,20%,,,2017
100754,85,47,38,,,,36.6,33.9,39.9,0%,0%,,,,0%,,,2017
100745,223,223,,-0.76,-0.76,,42.4,42.4,,34%,39%,,,,16%,,,2017
100747,159,81,78,-0.78,-0.85,-0.71,39.5,37.9,41.3,26%,49%,,,,18%,,,2017
135843,110,69,41,-0.13,-0.16,-0.08,47.2,46.8,47.9,47%,74%,,,,35%,,,2017
135073,202,92,110,0.13,-0.01,0.26,52.7,50,55,50%,47%,,,,29%,,,2017
100760,20,16,4,-1.16,,,6.1,,,0%,0%,,,,0%,,,2017
135070,170,99,71,-0.48,-0.53,-0.41,42.6,42.3,43,25%,46%,,,,12%,,,2017
135901,12,12,,,,,10.1,10.1,,0%,0%,,,,0%,,,2017
136423,12,10,2,,,,,,,,,,,,,,,2017
100765,19,10,9,,,,,,,,,,,,,,,2017
100748,119,58,61,-0.66,-0.67,-0.64,39.9,38.9,40.9,32%,21%,,,,10%,,,2017
100750,115,,115,0.41,,0.41,56.6,,56.6,56%,66%,,,,35%,,,2017
135264,142,83,59,0.22,0.04,0.49,48.8,47.8,50.2,50%,37%,,,,23%,,,2017
100740,187,105,82,-0.34,-0.28,-0.42,40.4,39.7,41.2,31%,28%,,,,14%,,,2017
100742,169,90,79,-0.38,-0.62,-0.09,40.2,36.8,44.1,33%,33%,,,,6%,,,2017
136309,260,132,128,0.02,-0.1,0.16,55.9,54.8,57,62%,68%,,,,40%,,,2017
139718,,,,,,,,,,,,,,,,,,2017
100859,115,,115,0.05,,0.05,43.6,,43.6,35%,58%,,,,22%,,,2017
100873,11,8,3,,,,,,,,,,,,,,,2017
135315,166,106,60,0.17,0.19,0.14,46.8,47.5,45.5,40%,54%,,,,30%,,,2017
139587,,,,,,,,,,,,,,,,,,2017
138960,132,76,56,1.07,0.92,1.27,56.1,53.9,59,60%,65%,,,,45%,,,2017
140221,,,,,,,,,,,,,,,,,,2017
100861,214,214,0,,,,39.3,39.3,,0%,0%,,,,0%,,,2017
100849,125,,125,0.27,,0.27,53.2,,53.2,57%,47%,,,,36%,,,2017
140138,5,,,,,,,,,,,,,,,,,2017
134222,190,91,99,0.31,0.18,0.43,56.5,53.4,59.3,55%,64%,,,,34%,,,2017
135584,147,98,49,0.39,0.35,0.47,47.8,47.2,49,46%,63%,,,,31%,,,2017
135401,163,84,79,-0.26,-0.53,0.03,46.9,46.1,47.7,42%,61%,,,,25%,,,2017
132711,129,,129,0.85,,0.85,52.6,,52.6,52%,84%,,,,40%,,,2017
135816,131,131,,0.73,0.73,,52.5,52.5,,41%,66%,,,,21%,,,2017
100864,142,67,75,,,,44.2,43,45.3,0%,0%,,,,0%,,,2017
142178,,,,,,,,,,,,,,,,,,2017
134225,157,90,67,-0.18,-0.25,-0.09,37.9,35,41.7,16%,36%,,,,10%,,,2017
141562,10,3,7,,,,3.4,,,0%,0%,,,,0%,,,2017
131237,9,8,1,,,,4.3,,,0%,0%,,,,0%,,,2017
136298,178,92,86,0.42,0.18,0.7,57.4,51.6,63.6,61%,59%,,,,43%,,,2017
131747,160,,160,0.24,,0.24,49.7,,49.7,47%,93%,,,,42%,,,2017
141031,7,3,4,,,,9.7,,,0%,0%,,,,0%,,,2017
100880,8,4,4,,,,,,,,,,,,,,,2017
138961,119,61,58,0.43,0.13,0.76,53,51.9,54.1,55%,73%,,,,34%,,,2017
100857,129,129,,0.91,0.91,,52,52,,48%,66%,,,,41%,,,2017
100872,16,9,7,,,,,,,,,,,,,,,2017
100863,118,,118,,,,46.5,,46.5,0%,0%,,,,0%,,,2017
130418,70,31,39,,,,6.4,6.1,6.7,4%,0%,,,,0%,,,2017
100986,4,,,,,,,,,,,,,,,,,2017
100989,5,,,,,,,,,,,,,,,,,2017
131598,7,7,0,-3.32,-3.32,,1,1,,0%,0%,,,,0%,,,2017
133307,21,21,,,,,39.1,39.1,,38%,95%,,,,10%,,,2017
100978,128,,128,0.36,,0.36,50.5,,50.5,49%,35%,,,,21%,,,2017
144756,,,,,,,,,,,,,,,,,,2017
100969,164,164,,0.18,0.18,,51.5,51.5,,57%,93%,,,,35%,,,2017
133289,110,110,,-0.31,-0.31,,45.4,45.4,,50%,17%,,,,11%,,,2017
134810,26,26,,,,,55.2,55.2,,65%,85%,,,,35%,,,2017
142879,,,,,,,,,,,,,,,,,,2017
143379,227,120,107,0.6,0.32,0.92,48.7,45.3,52.5,46%,71%,,,,34%,,,2017
141133,,,,,,,,,,,,,,,,,,2017
100972,112,55,57,0.75,0.47,1.04,50.4,46.9,53.7,46%,34%,,,,21%,,,2017
100968,205,,205,0.65,,0.65,55.1,,55.1,54%,85%,,,,49%,,,2017
139601,46,28,18,,,,10.9,11,10.8,7%,0%,,,,0%,,,2017
131388,27,27,,,,,62.4,62.4,,93%,100%,,,,44%,,,2017
100303,1,,,,,,,,,,,,,,,,,2017
137789,176,103,73,0.32,0.04,0.74,48.6,46.2,51.9,44%,78%,,,,30%,,,2017
100966,161,83,78,-0.09,-0.28,0.11,44.6,42.6,46.7,42%,24%,,,,15%,,,2017
100979,93,46,47,-0.46,-0.47,-0.45,39.8,39,40.6,30%,44%,,,,23%,,,2017
138202,37,26,11,-0.21,-0.45,0.38,46.6,45.1,50.3,65%,78%,,,,32%,,,2017
100987,15,8,7,,,,,,,,,,,,,,,2017
100965,94,94,0,-0.08,-0.08,,43.3,43.3,,27%,56%,,,,23%,,,2017
100967,226,123,103,0.21,-0.01,0.47,49,47.8,50.4,46%,40%,,,,24%,,,2017
131745,22,22,,,,,59.7,59.7,,59%,100%,,,,45%,,,2017
100973,196,132,64,0.41,0.2,0.91,47.8,45.7,52.1,44%,41%,,,,26%,,,2017
100982,41,,41,,,,52.8,,52.8,63%,63%,,,,41%,,,2017
132797,25,25,,,,,43.6,43.6,,48%,0%,,,,0%,,,2017
138980,9,9,,,,,31.5,31.5,,22%,0%,,,,0%,,,2017
136129,23,15,8,,,,28.1,36.4,12.5,26%,48%,,,,4%,,,2017
100977,195,115,80,0.25,0.01,0.61,50.2,47.1,54.7,49%,72%,,,,41%,,,2017
100975,239,,239,0.81,,0.81,53.8,,53.8,47%,43%,,,,28%,,,2017
100974,156,76,80,0.24,-0.15,0.62,45.2,40.5,49.7,40%,37%,,,,21%,,,2017
101090,36,19,17,,,,61.6,62.2,61,89%,94%,,,,64%,,,2017
101102,6,4,2,,,,,,,,,,,,,,,2017
139842,272,,272,-0.08,,-0.08,46.5,,46.5,46%,94%,,,,36%,,,2017
138267,115,71,44,0.07,-0.03,0.25,50.9,48.7,54.6,60%,56%,,,,38%,,,2017
137005,242,138,104,0.35,0.22,0.5,58.5,57.6,59.7,70%,66%,,,,48%,,,2017
132237,30,18,12,,,,51.1,45.7,59.2,57%,17%,,,,17%,,,2017
101071,124,60,64,,,,52,51.2,52.8,0%,0%,,,,0%,,,2017
101086,49,36,13,,,,49.7,47.2,56.6,63%,16%,,,,14%,,,2017
101094,13,8,5,-1.38,,,1.7,,,0%,0%,,,,0%,,,2017
136883,141,77,64,0.08,-0.07,0.24,50,48.1,52.2,48%,37%,,,,22%,,,2017
138681,48,35,13,0.35,0.37,0.29,46.4,47,44.9,33%,42%,,,,17%,,,2017
138682,117,73,44,0.42,0.35,0.53,44.6,43.7,46.2,32%,22%,,,,9%,,,2017
141808,143,93,50,0.18,0.04,0.42,53.8,52,57.2,56%,57%,,,,36%,,,2017
140985,109,57,52,1.47,1.29,1.66,59.8,56.7,63.2,65%,82%,,,,49%,,,2017
101053,167,167,,-0.05,-0.05,,45.8,45.8,,40%,54%,,,,26%,,,2017
135762,77,48,29,-0.01,-0.3,0.42,43.9,41.1,48.7,26%,42%,,,,13%,,,2017
101103,28,17,11,-1.72,-1.77,-1.65,1.7,1.6,1.8,0%,0%,,,,0%,,,2017
101095,3,,,,,,,,,,,,,,,,,2017
101175,1,,,,,,,,,,,,,,,,,2017
101072,102,,102,,,,46.2,,46.2,0%,0%,,,,0%,,,2017
101064,92,49,43,,,,20.7,18.9,22.6,0%,0%,,,,0%,,,2017
101093,10,6,4,,,,,,,,,,,,,,,2017
135316,199,124,75,0.78,0.6,1.12,57.1,55.1,60.4,67%,92%,,,,57%,,,2017
136110,15,9,6,,,,6.7,4.5,10.1,0%,0%,,,,0%,,,2017
143175,8,8,,-2.33,-2.33,,9.2,9.2,,0%,0%,,,,0%,,,2017
144819,,,,,,,,,,,,,,,,,,2017
138312,124,124,,-0.03,-0.03,,48.2,48.2,,48%,25%,,,,12%,,,2017
130912,184,89,95,0.74,0.46,1.01,52.4,49.9,54.7,64%,29%,,,,24%,,,2017
131262,172,100,72,0.8,0.55,1.17,53.2,49.6,58.2,55%,51%,,,,32%,,,2017
135676,198,112,86,0.29,-0.01,0.69,50.2,46.9,54.6,48%,63%,,,,36%,,,2017
139239,1,,,,,,,,,,,,,,,,,2017
143530,59,23,36,,,,,,,,,,,,,,,2017
101161,59,,59,,,,15.3,,15.3,0%,0%,,,,0%,,,2017
101173,7,3,4,,,,10.8,,,0%,0%,,,,0%,,,2017
100544,27,18,9,,,,1.4,0,4.2,0%,0%,,,,0%,,,2017
145126,,,,,,,,,,,,,,,,,,2017
101172,49,21,28,,,,51.9,50,53.4,51%,8%,,,,8%,,,2017
140884,,,,,,,,,,,,,,,,,,2017
137353,149,,149,0.61,,0.61,61.3,,61.3,64%,56%,,,,40%,,,2017
100541,63,44,19,,,,43.8,43.4,44.7,43%,19%,,,,6%,,,2017
139369,142,80,62,0.35,0.16,0.61,52.7,51.5,54.2,56%,23%,,,,21%,,,2017
137646,196,98,98,-0.01,-0.23,0.21,45.4,42.8,48,42%,24%,,,,12%,,,2017
101162,117,117,0,,,,64,64,,97%,0%,,,,0%,,,2017
101154,151,82,69,0.64,0.22,1.12,50.8,47.2,55.1,54%,54%,,,,26%,,,2017
101182,13,10,3,,,,,,,,,,,,,,,2017
101157,59,,59,,,,39.3,,39.3,0%,0%,,,,0%,,,2017
101158,80,1,79,,,,44.9,,,0%,0%,,,,0%,,,2017
138313,149,,149,0.79,,0.79,64.3,,64.3,72%,81%,,,,61%,,,2017
100536,19,10,9,,,,17.9,17.2,18.7,0%,0%,,,,0%,,,2017
101181,18,11,7,,,,4.7,0.9,10.7,0%,0%,,,,0%,,,2017
101184,3,,,,,,,,,,,,,,,,,2017
135242,58,34,24,1.05,0.8,1.41,55.4,54.4,56.9,62%,86%,,,,55%,,,2017
139791,111,43,68,0.67,0.51,0.78,52.9,49.9,54.8,53%,78%,,,,52%,,,2017
134388,1,,,,,,,,,,,,,,,,,2017
101241,272,148,124,0.29,0.05,0.58,50.6,47.6,54.1,49%,20%,,,,12%,,,2017
101244,285,135,150,0.15,-0.04,0.33,45.6,43.3,47.7,48%,16%,,,,10%,,,2017
140945,47,41,6,-1.01,-0.94,-1.39,29.8,29.5,31.9,11%,0%,,,,0%,,,2017
136028,208,114,94,0.18,0.05,0.32,43,41.6,44.7,36%,24%,,,,16%,,,2017
101243,135,66,69,-0.08,-0.03,-0.13,41.2,35.9,46.2,38%,24%,,,,13%,,,2017
142908,,,,,,,,,,,,,,,,,,2017
133561,216,114,102,0.45,0.2,0.72,46.5,43.5,49.9,35%,13%,,,,9%,,,2017
141178,185,104,81,0.17,-0.01,0.42,46.5,44.1,49.4,45%,23%,,,,14%,,,2017
136746,11,,11,,,,49.5,,49.5,45%,0%,,,,0%,,,2017
101247,179,97,82,0.42,0.27,0.6,52.7,50.3,55.5,58%,17%,,,,11%,,,2017
140962,,,,,,,,,,,,,,,,,,2017
101245,267,124,143,0.11,-0.22,0.39,47.4,43.7,50.7,44%,49%,,,,32%,,,2017
141683,263,145,118,0.32,0.1,0.58,47.5,44.9,50.7,39%,75%,,,,35%,,,2017
131102,17,13,4,,,,,,,,,,,,,,,2017
136308,223,103,120,0.8,0.7,0.89,58.9,56.6,60.8,77%,88%,,,,65%,,,2017
144502,,,,,,,,,,,,,,,,,,2017
101345,152,88,64,-0.42,-0.59,-0.16,39.7,37.4,42.9,32%,35%,,,,15%,,,2017
131288,7,6,1,,,,15.3,,,14%,14%,,,,14%,,,2017
137361,143,69,74,0.04,-0.33,0.42,39.7,33.7,45.3,39%,17%,,,,9%,,,2017
101362,147,147,,0.12,0.12,,54,54,,63%,56%,,,,43%,,,2017
101388,45,,45,,,,59,,59,78%,7%,,,,7%,,,2017
101397,11,9,2,,,,,,,,,,,,,,,2017
131830,13,6,7,,,,20.7,28.9,13.6,15%,0%,,,,0%,,,2017
137386,244,131,113,0.42,0.25,0.61,57.1,53.6,61.2,66%,84%,,,,56%,,,2017
131403,29,,29,,,,16.5,,16.5,3%,0%,,,,0%,,,2017
140492,19,19,,,,,15.8,15.8,,5%,0%,,,,0%,,,2017
131261,14,0,14,,,,46.3,,46.3,7%,50%,,,,7%,,,2017
101369,50,25,25,,,,28,27.5,28.5,0%,0%,,,,0%,,,2017
134798,193,117,76,0.39,0.12,0.77,43.6,41.4,46.9,39%,34%,,,,17%,,,2017
137388,144,144,,0.19,0.19,,49,49,,60%,42%,,,,26%,,,2017
101386,3,,,,,,,,,,,,,,,,,2017
101364,177,94,83,0.21,-0.01,0.45,50.5,47.8,53.5,45%,51%,,,,25%,,,2017
101391,28,10,18,,,,,,,,,,,,,,,2017
142627,35,,35,1.25,,1.25,67.5,,67.5,86%,77%,,,,74%,,,2017
135507,177,89,88,0.92,0.69,1.16,59.4,57.5,61.2,77%,55%,,,,44%,,,2017
101385,22,22,,,,,15,15,,0%,0%,,,,0%,,,2017
101387,35,35,,,,,45.9,45.9,,49%,37%,,,,34%,,,2017
101393,17,9,8,,,,3.4,1.4,5.6,0%,0%,,,,0%,,,2017
101361,95,,95,0.84,,0.84,77.8,,77.8,100%,95%,,,,92%,,,2017
136658,208,126,82,-0.12,-0.2,0,49.3,48.8,50.1,48%,81%,,,,33%,,,2017
