URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
137473,178,83,95,-0.35,-0.35,-0.34,44.7,42.9,46.2,51%,22%,,,,8%,,,2016
100182,143,,143,0.07,,0.07,51.8,,51.8,59%,38%,,,,22%,,,2016
140226,13,10,3,,,,7.8,,,8%,0%,,,,0%,,,2016
138245,,,,,,,,,,,,,,,,,,2016
138449,152,96,56,0.36,0.34,0.38,52.7,53.1,52,58%,59%,,,,34%,,,2016
142608,,,,,,,,,,,,,,,,,,2016
100192,205,117,88,-0.7,-0.8,-0.56,43.2,41.9,44.8,31%,68%,,,,15%,,,2016
100183,235,,235,0.03,,0.03,48.9,,48.9,59%,46%,,,,29%,,,2016
141315,3,,,,,,,,,,,,,,,,,2016
134402,19,13,6,,,,0.3,0.4,0,0%,0%,,,,0%,,,2016
100200,20,15,5,,,,24,,,10%,5%,,,,0%,,,2016
100171,,,,,,,,,,,,,,,,,,2016
105135,230,143,87,0,-0.11,0.19,50.1,48.5,52.8,73%,41%,,,,23%,,,2016
141716,121,65,56,0.74,0.7,0.79,60.6,59.8,61.6,73%,53%,,,,40%,,,2016
100193,117,,117,0.43,,0.43,59.3,,59.3,85%,79%,,,,62%,,,2016
132777,12,7,5,,,,6.5,,,0%,0%,,,,0%,,,2016
141309,263,154,109,-0.08,-0.22,0.13,50.5,48.1,54,70%,54%,,,,27%,,,2016
136100,6,4,2,,,,3.4,,,0%,0%,,,,0%,,,2016
100190,232,131,101,-0.05,-0.19,0.13,49.9,47.6,53,59%,38%,,,,26%,,,2016
139786,59,45,14,-0.11,-0.09,-0.19,50.7,49.5,54.4,61%,10%,,,,3%,,,2016
141163,219,219,,0.46,0.46,,52.5,52.5,,73%,57%,,,,37%,,,2016
138547,33,24,9,-1.41,-1.44,-1.32,1.9,2.1,1.3,0%,0%,,,,0%,,,2016
100204,10,10,,-2.97,-2.97,,6.7,6.7,,10%,0%,,,,0%,,,2016
136092,18,13,5,,,,9.3,,,0%,0%,,,,0%,,,2016
102171,44,,44,,,,46.7,,46.7,61%,0%,,,,0%,,,2016
100295,35,,35,,,,46,,46,54%,0%,,,,0%,,,2016
100293,59,0,59,,,,32.9,,32.9,83%,0%,,,,0%,,,2016
131342,18,,18,,,,24.5,,24.5,78%,0%,,,,0%,,,2016
141516,24,22,2,,,,9,,,0%,0%,,,,0%,,,2016
131609,178,84,94,0.24,0.22,0.26,51.8,50,53.3,67%,40%,,,,29%,,,2016
100285,168,95,73,0.03,0.06,-0.01,48.9,48.8,49,59%,30%,,,,15%,,,2016
135835,169,99,70,1.02,0.92,1.15,59.1,57.9,60.9,82%,81%,,,,44%,,,2016
137442,175,,175,0.25,,0.25,53.2,,53.2,73%,51%,,,,34%,,,2016
141737,1,,,,,,,,,,,,,,,,,2016
139595,,,,,,,,,,,,,,,,,,2016
100277,182,88,94,0.33,0.23,0.43,52.6,51.3,53.8,69%,26%,,,,15%,,,2016
138143,22,,22,-0.18,,-0.18,56,,56,73%,73%,,,,59%,,,2016
134693,211,106,105,0.78,0.73,0.82,59.5,58,61,88%,87%,,,,64%,,,2016
140210,,,,,,,,,,,,,,,,,,2016
100282,115,,115,0.47,,0.47,53.6,,53.6,67%,63%,,,,43%,,,2016
100301,1,,,,,,,,,,,,,,,,,2016
131062,181,120,61,0.28,0.11,0.59,51.3,48,57.7,69%,50%,,,,33%,,,2016
136137,168,88,80,0.39,0.33,0.44,50.5,48.5,52.7,70%,58%,,,,30%,,,2016
100279,236,130,106,0.3,0.02,0.64,54.4,50.1,59.7,72%,59%,,,,39%,,,2016
132736,21,21,,,,,53.6,53.6,,76%,95%,,,,19%,,,2016
100300,13,,13,,,,62.2,,62.2,85%,85%,,,,38%,,,2016
100284,123,81,42,-0.14,-0.23,0.07,44.2,43,46.3,46%,59%,,,,22%,,,2016
100287,17,17,0,,,,16.6,16.6,,0%,0%,,,,0%,,,2016
133599,76,,76,0.46,,0.46,59.4,,59.4,86%,0%,,,,0%,,,2016
100311,11,8,3,,,,,,,,,,,,,,,2016
100312,4,,,,,,,,,,,,,,,,,2016
141029,3,,,,,,,,,,,,,,,,,2016
137808,10,10,0,,,,1.8,1.8,,0%,0%,,,,0%,,,2016
100307,20,15,5,-1.65,,,6,,,0%,0%,,,,0%,,,2016
131752,169,105,64,0.23,0.07,0.5,52.7,49.8,57.5,63%,79%,,,,31%,,,2016
134735,45,21,24,,,,15.9,14.2,17.5,22%,0%,,,,0%,,,2016
141135,,,,,,,,,,,,,,,,,,2016
139364,71,60,11,-0.19,-0.23,-0.03,44.5,44.8,43.2,46%,18%,,,,10%,,,2016
139365,123,,123,0.71,,0.71,56.9,,56.9,76%,54%,,,,46%,,,2016
100369,111,,111,,,,22.7,,22.7,0%,0%,,,,0%,,,2016
136172,111,69,42,-0.05,-0.04,-0.07,52.7,53.2,52,67%,88%,,,,36%,,,2016
141617,79,47,32,0.14,0.19,0.01,49.4,50.1,48.4,71%,52%,,,,14%,,,2016
138607,119,,119,0.17,,0.17,61.5,,61.5,88%,71%,,,,61%,,,2016
100370,167,82,85,,,,24.1,24.4,23.9,0%,0%,,,,0%,,,2016
137157,182,182,,0.47,0.47,,65,65,,88%,83%,,,,69%,,,2016
143129,,,,,,,,,,,,,,,,,,2016
100359,161,83,78,-0.41,-0.61,-0.2,43.6,41.4,46,51%,39%,,,,8%,,,2016
137935,164,,164,0.4,,0.4,64.7,,64.7,87%,80%,,,,71%,,,2016
100527,41,,41,,,,49.1,,49.1,0%,0%,,,,0%,,,2016
100366,102,,102,,,,48.7,,48.7,0%,0%,,,,0%,,,2016
136504,2,,,,,,,,,,,,,,,,,2016
136750,119,67,52,0.19,-0.01,0.43,58.7,56.2,62,77%,75%,,,,46%,,,2016
135729,9,2,7,,,,46.6,,,67%,0%,,,,0%,,,2016
100382,12,8,4,-1.94,,,0.8,,,0%,0%,,,,0%,,,2016
100381,7,5,2,,,,,,,,,,,,,,,2016
131675,30,24,6,,,,24.2,24.5,23,17%,0%,,,,0%,,,2016
135175,9,8,1,-1.68,,,0.2,,,0%,0%,,,,0%,,,2016
100378,9,7,2,,,,,,,,,,,,,,,2016
100379,21,13,8,-1.2,-0.93,-1.78,14.6,17,10.6,5%,0%,,,,0%,,,2016
131690,128,78,50,0.3,0.22,0.43,47.8,44.4,53.2,59%,17%,,,,14%,,,2016
100458,137,137,,0.65,0.65,,58.2,58.2,,85%,42%,,,,31%,,,2016
135587,107,61,46,0.8,0.71,0.92,54.4,52.8,56.5,68%,46%,,,,31%,,,2016
100457,131,,131,0.41,,0.41,53.9,,53.9,74%,76%,,,,41%,,,2016
100455,133,,133,0.4,,0.4,53,,53,70%,36%,,,,29%,,,2016
100452,201,125,76,-0.35,-0.44,-0.19,45.5,42.8,49.8,45%,52%,,,,24%,,,2016
100453,145,109,36,-0.14,-0.13,-0.17,46,45.4,47.8,37%,24%,,,,10%,,,2016
100461,19,4,15,,,,50.2,,,53%,0%,,,,0%,,,2016
100460,88,,88,0.2,,0.2,48.2,,48.2,61%,24%,,,,18%,,,2016
100459,163,163,,0.21,0.21,,53.9,53.9,,76%,71%,,,,39%,,,2016
134314,147,80,67,0.06,-0.13,0.27,53,50.6,55.9,82%,47%,,,,34%,,,2016
134030,5,,,,,,,,,,,,,,,,,2016
100467,5,,,,,,,,,,,,,,,,,2016
100469,10,5,5,-1.44,,,4.5,,,0%,0%,,,,0%,,,2016
100537,21,14,7,,,,54.1,53.6,55,76%,24%,,,,24%,,,2016
141931,119,119,,0.43,0.43,,63,63,,88%,61%,,,,55%,,,2016
135531,170,114,56,0.38,0.3,0.54,55,53.5,58,72%,36%,,,,21%,,,2016
100539,25,18,7,,,,15.6,17.7,10.3,0%,0%,,,,0%,,,2016
100544,28,18,10,,,,7.8,6.9,9.5,4%,0%,,,,0%,,,2016
100526,10,4,6,,,,9.4,,,0%,0%,,,,0%,,,2016
140225,6,4,2,,,,,,,,,,,,,,,2016
140134,224,120,104,0.56,0.46,0.68,61.4,59.1,64.1,82%,79%,,,,62%,,,2016
140212,,,,,,,,,,,,,,,,,,2016
100547,186,94,92,,,,21.2,25.2,17.1,28%,0%,,,,0%,,,2016
100540,47,27,20,,,,9.7,5.2,15.8,0%,0%,,,,0%,,,2016
100521,31,,31,,,,44.9,,44.9,0%,0%,,,,0%,,,2016
100511,53,,53,,,,48.7,,48.7,34%,0%,,,,0%,,,2016
100502,119,69,50,0.11,-0.05,0.32,52.5,50.2,55.8,66%,34%,,,,14%,,,2016
100503,97,,97,0.1,,0.1,51.6,,51.6,72%,38%,,,,26%,,,2016
131778,4,,,,,,,,,,,,,,,,,2016
140603,1,,,,,,,,,,,,,,,,,2016
141957,11,8,3,,,,,,,,,,,,,,,2016
100640,104,104,0,-0.37,-0.37,,46,46,,61%,45%,,,,12%,,,2016
135389,175,95,80,0.01,-0.18,0.21,46.8,43.1,51.1,48%,50%,,,,26%,,,2016
100638,179,106,73,0.67,0.63,0.73,60.2,58.7,62.3,86%,39%,,,,36%,,,2016
137954,,,,,,,,,,,,,,,,,,2016
100529,37,24,13,,,,17.5,14.9,22.3,16%,0%,,,,0%,,,2016
137093,177,102,75,-0.12,-0.32,0.16,51.4,48.6,55.1,68%,72%,,,,19%,,,2016
136288,,,,,,,,,,,,,,,,,,2016
129649,162,100,62,-0.2,-0.3,-0.05,47,46.3,48.2,47%,46%,,,,17%,,,2016
100637,148,,148,0.39,,0.39,55.1,,55.1,72%,67%,,,,39%,,,2016
134815,165,90,75,0.1,0.08,0.13,48.4,47.5,49.6,59%,27%,,,,15%,,,2016
100625,110,62,48,0.51,0.51,0.51,51,49.9,52.3,61%,44%,,,,28%,,,2016
100642,101,101,,-0.33,-0.33,,51,51,,70%,42%,,,,22%,,,2016
100624,128,65,63,-0.01,-0.07,0.06,48.5,45.3,51.8,62%,55%,,,,40%,,,2016
139659,1,,,,,,,,,,,,,,,,,2016
136450,184,103,81,0.55,0.36,0.78,54.6,52.8,56.9,73%,81%,,,,29%,,,2016
100627,57,0,57,0.26,,0.26,46.8,,46.8,70%,37%,,,,21%,,,2016
137966,148,,148,-0.23,,-0.23,49.6,,49.6,57%,49%,,,,24%,,,2016
142905,,,,,,,,,,,,,,,,,,2016
100648,54,,54,,,,45,,45,0%,0%,,,,0%,,,2016
140966,,,,,,,,,,,,,,,,,,2016
100590,,,,,,,,,,,,,,,,,,2016
100659,16,14,2,-2.17,,,5.5,,,0%,0%,,,,0%,,,2016
100654,18,14,4,-1.79,,,3.7,,,0%,0%,,,,0%,,,2016
133442,4,,,,,,,,,,,,,,,,,2016
100643,16,11,5,-1.5,,,0.6,,,0%,0%,,,,0%,,,2016
100748,118,61,57,-0.48,-0.89,-0.02,45.5,38.6,52.8,59%,8%,,,,5%,,,2016
100752,148,97,51,0.4,0.36,0.48,53.6,53.5,53.9,71%,34%,,,,24%,,,2016
100742,159,91,68,-0.37,-0.41,-0.3,45.3,44.5,46.4,51%,56%,,,,17%,,,2016
100740,183,111,72,0,-0.12,0.21,47.5,45.7,50.3,66%,29%,,,,26%,,,2016
100745,221,221,,-0.4,-0.4,,46.6,46.6,,43%,39%,,,,24%,,,2016
135073,196,102,94,0.15,-0.05,0.38,54.1,51.6,56.7,70%,48%,,,,34%,,,2016
135070,170,107,63,-0.43,-0.6,-0.15,45.7,43.3,50,51%,47%,,,,19%,,,2016
141018,14,13,1,,,,0.9,,,0%,0%,,,,0%,,,2016
135901,14,14,,,,,19.6,19.6,,0%,0%,,,,0%,,,2016
100747,160,69,91,-0.25,-0.44,-0.1,43.2,40.3,45.4,43%,36%,,,,18%,,,2016
100750,117,,117,0.25,,0.25,56.1,,56.1,68%,54%,,,,35%,,,2016
135843,103,59,44,0.25,0.12,0.43,50.6,49.9,51.6,59%,88%,,,,32%,,,2016
100754,83,47,36,,,,58.6,59,58.2,90%,0%,,,,0%,,,2016
135264,151,95,56,0.21,0.09,0.38,48.5,47,51.1,60%,22%,,,,9%,,,2016
100743,237,128,109,-0.69,-0.96,-0.4,41.3,38,45.1,42%,43%,,,,10%,,,2016
100757,70,,70,,,,61.9,,61.9,96%,0%,,,,0%,,,2016
100741,213,,213,0.33,,0.33,54.6,,54.6,72%,59%,,,,45%,,,2016
100749,110,56,54,-0.27,-0.39,-0.14,49.3,47,51.7,58%,48%,,,,25%,,,2016
100760,19,15,4,-1.59,,,5.9,,,0%,0%,,,,0%,,,2016
136423,19,15,4,-1.72,,,1,,,0%,0%,,,,0%,,,2016
100765,11,8,3,,,,,,,,,,,,,,,2016
100864,144,68,76,,,,60.4,59.2,61.5,0%,0%,,,,0%,,,2016
139718,,,,,,,,,,,,,,,,,,2016
135584,178,115,63,0.06,-0.11,0.36,45.6,43.7,49.1,61%,24%,,,,19%,,,2016
135315,165,97,68,-0.01,-0.17,0.22,48.3,46.4,51,57%,53%,,,,26%,,,2016
135401,176,92,84,-0.48,-0.53,-0.41,48.8,46.8,51.1,56%,56%,,,,20%,,,2016
141562,2,,,,,,,,,,,,,,,,,2016
136298,173,92,81,0.32,0.16,0.49,57,55.4,58.7,77%,50%,,,,43%,,,2016
134222,177,97,80,0.15,0.12,0.19,57.4,56.5,58.5,79%,40%,,,,27%,,,2016
139587,,,,,,,,,,,,,,,,,,2016
100861,210,210,0,,,,31,31,,0%,0%,,,,0%,,,2016
134573,1,,,,,,,,,,,,,,,,,2016
131747,167,,167,0.19,,0.19,51.1,,51.1,61%,69%,,,,38%,,,2016
133448,39,,39,,,,66.9,,66.9,90%,69%,,,,69%,,,2016
140862,,,,,,,,,,,,,,,,,,2016
101564,119,119,,-0.05,-0.05,,43.8,43.8,,54%,24%,,,,10%,,,2016
139319,246,137,109,0.1,-0.15,0.4,50.6,47.8,54.2,58%,62%,,,,31%,,,2016
138609,213,118,95,0.29,0.13,0.5,52.7,50.2,55.8,73%,23%,,,,18%,,,2016
101563,173,96,77,0.45,0.27,0.67,56.4,54.9,58.2,82%,85%,,,,53%,,,2016
101578,37,19,18,,,,60.9,59.6,62.2,97%,0%,,,,0%,,,2016
138457,207,110,97,0.67,0.62,0.73,59.6,58.5,60.8,66%,88%,,,,51%,,,2016
135373,13,9,4,,,,19.9,,,38%,0%,,,,0%,,,2016
101583,17,12,5,,,,,,,,,,,,,,,2016
140796,17,12,5,-1.51,,,0.2,,,0%,0%,,,,0%,,,2016
101680,15,0,15,,,,55.9,,55.9,87%,53%,,,,47%,,,2016
101683,37,27,10,,,,59.2,58.3,61.6,78%,54%,,,,46%,,,2016
136466,171,85,86,0.14,0.09,0.2,53.6,54.1,53.1,73%,51%,,,,39%,,,2016
101692,96,,96,,,,46.1,,46.1,0%,0%,,,,0%,,,2016
136709,216,,216,0.28,,0.28,58,,58,83%,79%,,,,64%,,,2016
136545,206,95,111,0.14,0.01,0.25,49.9,46.9,52.5,66%,41%,,,,20%,,,2016
136467,214,,214,-0.16,,-0.16,50,,50,68%,35%,,,,29%,,,2016
136464,210,127,83,-0.25,-0.32,-0.14,49.2,49.2,49.1,64%,30%,,,,18%,,,2016
136355,262,114,148,0.35,0.13,0.51,57.3,54.5,59.4,82%,86%,,,,48%,,,2016
101695,15,15,,,,,59.7,59.7,,80%,100%,,,,80%,,,2016
101693,88,88,,,,,31.4,31.4,,0%,0%,,,,0%,,,2016
101685,60,26,34,,,,35.5,35.6,35.4,0%,0%,,,,0%,,,2016
103522,186,105,81,-0.15,-0.23,-0.04,45.6,44.3,47.2,48%,52%,,,,12%,,,2016
141242,1,,,,,,,,,,,,,,,,,2016
137043,106,106,,0.25,0.25,,69.6,69.6,,99%,72%,,,,69%,,,2016
137045,93,93,,0.58,0.58,,77.4,77.4,,100%,94%,,,,94%,,,2016
137044,119,,119,0.37,,0.37,74.9,,74.9,100%,99%,,,,98%,,,2016
137046,156,115,41,0.38,0.36,0.44,73.6,72.8,75.7,100%,99%,,,,87%,,,2016
137047,128,,128,0.31,,0.31,71.8,,71.8,100%,94%,,,,93%,,,2016
103585,77,,77,,,,41.9,,41.9,0%,0%,,,,0%,,,2016
136152,187,91,96,0.31,0.14,0.47,49.9,49.5,50.2,60%,62%,,,,37%,,,2016
103584,123,123,,,,,37.4,37.4,,19%,0%,,,,0%,,,2016
141943,,,,,,,,,,,,,,,,,,2016
103486,88,88,,0.07,0.07,,48.9,48.9,,61%,22%,,,,11%,,,2016
103562,117,117,,0.09,0.09,,52.3,52.3,,68%,48%,,,,36%,,,2016
136590,146,,146,0.43,,0.43,59.5,,59.5,83%,65%,,,,45%,,,2016
103526,169,91,78,-0.3,-0.5,-0.04,42.7,40.7,44.9,43%,27%,,,,11%,,,2016
139157,97,97,,-0.6,-0.6,,38.9,38.9,,35%,23%,,,,4%,,,2016
136592,127,,127,0.54,,0.54,53.9,,53.9,68%,56%,,,,43%,,,2016
103587,9,6,3,,,,44.1,,,33%,0%,,,,0%,,,2016
103519,213,129,84,0.09,0.04,0.19,45.9,44.5,48.1,44%,42%,,,,15%,,,2016
136406,260,146,114,-0.14,-0.23,-0.01,48.7,46.4,51.7,57%,59%,,,,22%,,,2016
138586,,,,,,,,,,,,,,,,,,2016
136032,164,83,81,-0.26,-0.53,-0.01,42.8,38.8,46.8,41%,34%,,,,16%,,,2016
142115,14,11,3,,,,0.9,,,0%,0%,,,,0%,,,2016
138200,,,,,,,,,,,,,,,,,,2016
139797,,,,,,,,,,,,,,,,,,2016
141805,19,15,4,,,,,,,,,,,,,,,2016
105623,19,19,0,-1.34,-1.34,,17.6,17.6,,0%,0%,,,,0%,,,2016
136432,238,118,120,-0.15,-0.28,-0.01,46.9,45.1,48.8,58%,26%,,,,17%,,,2016
137133,220,100,120,0.33,0.12,0.5,58.2,56,59.9,81%,61%,,,,48%,,,2016
139970,,,,,,,,,,,,,,,,,,2016
137294,202,96,106,-0.07,-0.3,0.14,56.6,54,59,77%,32%,,,,26%,,,2016
138568,10,10,,,,,43.5,43.5,,40%,50%,,,,10%,,,2016
105735,289,147,142,-0.72,-0.8,-0.64,45.2,43.8,46.6,52%,21%,,,,8%,,,2016
140542,46,44,2,-2.51,,,20.1,,,0%,0%,,,,0%,,,2016
137039,213,92,121,0.27,0.14,0.36,49,49.5,48.5,60%,36%,,,,24%,,,2016
141248,255,121,134,-0.15,-0.22,-0.09,49.5,47.8,51,69%,10%,,,,8%,,,2016
136027,213,115,98,-1.21,-1.45,-0.92,34.7,31.5,38.3,40%,19%,,,,3%,,,2016
136115,156,71,85,0.33,0.25,0.4,45.7,44.8,46.5,46%,18%,,,,7%,,,2016
105745,82,50,32,,,,51.6,50.8,52.8,0%,0%,,,,0%,,,2016
105738,296,163,133,-0.18,-0.33,0.01,46,44.9,47.2,56%,9%,,,,6%,,,2016
105734,227,125,102,-0.53,-0.78,-0.21,44.2,41.2,47.9,49%,14%,,,,8%,,,2016
105736,264,136,128,-0.04,-0.29,0.23,52.6,48.9,56.5,69%,51%,,,,34%,,,2016
136148,238,115,123,-0.78,-0.93,-0.63,40.3,40,40.7,47%,16%,,,,10%,,,2016
137822,13,,13,,,,61.2,,61.2,100%,69%,,,,69%,,,2016
105748,2,,,,,,,,,,,,,,,,,2016
131751,2,,,,,,,,,,,,,,,,,2016
138697,49,37,12,-1.89,-2.03,-1.5,0.4,0.6,0,0%,0%,,,,0%,,,2016
133368,10,10,0,-3.26,-3.26,,6.6,6.6,,0%,0%,,,,0%,,,2016
137472,145,70,75,-0.12,-0.36,0.1,47.4,43.3,51.3,58%,28%,,,,17%,,,2016
137842,280,132,148,-0.03,-0.07,0.01,47.3,46.1,48.3,58%,10%,,,,6%,,,2016
136672,178,90,88,0.02,-0.21,0.27,52.4,48.7,56.1,70%,66%,,,,34%,,,2016
106812,69,41,28,,,,62.5,61.8,63.6,93%,62%,,,,59%,,,2016
137899,224,118,106,0.36,0.18,0.56,54.5,50.7,58.8,81%,21%,,,,15%,,,2016
140865,269,134,135,-0.07,-0.25,0.1,51.5,49.6,53.5,57%,52%,,,,37%,,,2016
141354,150,76,74,-1.15,-1.49,-0.8,36.2,32,40.6,47%,23%,,,,10%,,,2016
135963,176,99,77,0.18,0.07,0.32,48.2,47.7,48.8,63%,26%,,,,17%,,,2016
137603,229,108,121,-0.18,-0.35,-0.03,53.2,50.3,55.8,76%,16%,,,,12%,,,2016
136675,121,65,56,0.39,0.32,0.48,51.5,51.2,51.8,64%,36%,,,,30%,,,2016
139301,163,78,85,-0.68,-0.82,-0.56,44.7,43,46.3,48%,34%,,,,15%,,,2016
135007,207,109,98,-0.23,-0.29,-0.15,48.6,47.4,49.9,68%,38%,,,,19%,,,2016
140964,,,,,,,,,,,,,,,,,,2016
135546,3,,,,,,,,,,,,,,,,,2016
106817,4,,,,,,,,,,,,,,,,,2016
135544,4,,,,,,,,,,,,,,,,,2016
140816,26,23,3,,,,,,,,,,,,,,,2016
135548,10,6,4,,,,,,,,,,,,,,,2016
135545,14,10,4,,,,,,,,,,,,,,,2016
135547,18,13,5,,,,,,,,,,,,,,,2016
106814,6,6,0,,,,,,,,,,,,,,,2016
136718,267,117,150,0.04,-0.08,0.13,52.9,49.1,55.8,71%,66%,,,,32%,,,2016
136301,243,121,122,-0.14,-0.18,-0.11,48.1,45.5,50.7,58%,40%,,,,31%,,,2016
139669,99,86,13,-0.28,-0.3,-0.13,48.9,48.1,54.3,67%,0%,,,,0%,,,2016
139348,260,142,118,-0.02,-0.16,0.16,52,48.8,55.8,67%,63%,,,,43%,,,2016
109324,105,54,51,-0.15,-0.14,-0.16,49.1,49.3,48.9,62%,22%,,,,16%,,,2016
142079,,,,,,,,,,,,,,,,,,2016
139345,175,93,82,-0.39,-0.56,-0.19,45.1,42.9,47.7,54%,47%,,,,24%,,,2016
109322,78,42,36,-0.39,-0.67,-0.06,46.7,44.4,49.4,65%,10%,,,,5%,,,2016
141042,148,84,64,-0.74,-0.72,-0.75,41.4,40.9,42.1,49%,9%,,,,3%,,,2016
135295,161,89,72,0.08,-0.01,0.18,50.2,48.2,52.7,73%,21%,,,,12%,,,2016
137106,91,42,49,-0.39,-0.62,-0.21,45.9,40.3,50.7,47%,12%,,,,8%,,,2016
142008,234,131,103,-0.17,-0.22,-0.1,48.9,48.4,49.5,61%,36%,,,,20%,,,2016
141341,150,75,75,-0.43,-0.49,-0.36,48.6,49.2,48.1,59%,43%,,,,24%,,,2016
140288,105,50,55,-0.07,0.02,-0.15,45.8,46.8,44.9,58%,34%,,,,6%,,,2016
135944,301,142,159,-0.07,-0.12,-0.03,54.6,53.8,55.4,77%,48%,,,,25%,,,2016
135943,104,57,47,-0.3,-0.34,-0.24,41.9,40.6,43.4,47%,15%,,,,11%,,,2016
141665,200,93,107,-0.59,-0.47,-0.69,45.4,47.6,43.4,48%,19%,,,,8%,,,2016
131808,26,14,12,-2.02,-1.94,-2.12,0.6,0.9,0.3,0%,0%,,,,0%,,,2016
138563,2,,,,,,,,,,,,,,,,,2016
135827,8,8,0,-1.02,-1.02,,16.5,16.5,,13%,0%,,,,0%,,,2016
109404,7,4,3,,,,,,,,,,,,,,,2016
109353,2,,,,,,,,,,,,,,,,,2016
109403,10,8,2,,,,,,,,,,,,,,,2016
139405,192,89,103,0.03,0.02,0.04,48.5,47.1,49.6,43%,82%,,,,17%,,,2016
140867,262,125,137,-0.22,-0.33,-0.12,51.5,49.5,53.2,64%,28%,,,,13%,,,2016
113854,187,102,85,-0.1,-0.07,-0.13,48.4,48.4,48.5,69%,30%,,,,16%,,,2016
113882,271,142,129,-0.04,-0.11,0.04,51.8,50.1,53.7,69%,74%,,,,36%,,,2016
141378,140,83,57,-0.39,-0.54,-0.16,43.6,41.9,46,56%,11%,,,,9%,,,2016
138471,246,117,129,0.09,0.07,0.11,54.5,53.3,55.6,71%,55%,,,,34%,,,2016
141138,4,,,,,,,,,,,,,,,,,2016
136763,218,112,106,-0.08,-0.31,0.17,53.1,51.2,55.1,68%,42%,,,,22%,,,2016
138388,109,51,58,-0.88,-0.78,-0.96,39.8,41.4,38.4,37%,36%,,,,10%,,,2016
113920,24,,24,,,,54.2,,54.2,75%,54%,,,,29%,,,2016
113863,229,129,100,0.01,0.01,0,51.2,49.5,53.3,66%,31%,,,,21%,,,2016
113932,39,30,9,,,,43.4,42.8,45.3,46%,26%,,,,8%,,,2016
113855,158,65,93,0.25,0.11,0.34,50.1,48.5,51.1,62%,27%,,,,12%,,,2016
141526,362,172,190,-0.02,-0.26,0.19,49.7,47.1,52.1,61%,47%,,,,23%,,,2016
113943,27,12,15,,,,5.3,6.8,4.1,0%,0%,,,,0%,,,2016
126515,45,,45,,,,54.2,,54.2,91%,0%,,,,0%,,,2016
140898,166,87,79,0.06,0.13,-0.03,50.7,50.5,50.9,63%,12%,,,,10%,,,2016
113948,73,45,28,,,,29.2,28.7,30,23%,0%,,,,0%,,,2016
113918,116,116,,,,,37.6,37.6,,0%,0%,,,,0%,,,2016
113919,77,,77,,,,43.5,,43.5,19%,0%,,,,0%,,,2016
141735,133,68,65,-0.1,-0.41,0.23,50.4,46.9,54.1,60%,80%,,,,24%,,,2016
113875,112,54,58,-0.35,-0.51,-0.2,47,44.7,49.3,56%,31%,,,,20%,,,2016
139376,34,13,21,0.44,0.33,0.51,50.5,45.9,53.4,62%,59%,,,,21%,,,2016
137163,464,236,228,0.37,0.24,0.5,55.7,53.7,57.9,77%,63%,,,,34%,,,2016
