URN,KS4 Pupils,KS4 Boys,KS4 Girls,Progress 8,Progress 8 Boys,Progress 8 Girls,Attainment 8,Attainment 8 Boys,Attainment 8 Girls,Eng Maths Grade 5,Entering EBacc,EBacc Avg Score,EBacc Avg Boys,EBacc Avg Girls,EBacc Grade 5,Progress 8 Band,P8 Desc,Academic Year
100003,139,139,,,,,42.1,42.1,,0%,0%,,,,0%,,,2016
100001,90,,90,,,,32.2,,32.2,0%,0%,,,,0%,,,2016
100053,172,109,63,-0.26,-0.33,-0.13,50.1,49.9,50.5,60%,43%,,,,30%,,,2016
100054,111,,111,0.31,,0.31,60.1,,60.1,78%,70%,,,,60%,,,2016
137333,11,9,2,,,,3.4,,,0%,0%,,,,0%,,,2016
100084,12,5,7,,,,49.4,,,58%,0%,,,,0%,,,2016
100052,206,133,73,0.09,-0.09,0.44,50,46.7,56,59%,67%,,,,33%,,,2016
100049,207,136,71,-0.11,-0.25,0.15,47,45.5,49.8,57%,12%,,,,9%,,,2016
100059,172,,172,0.41,,0.41,57.6,,57.6,77%,45%,,,,28%,,,2016
100055,92,0,92,0.16,,0.16,50.1,,50.1,65%,48%,,,,27%,,,2016
100074,61,47,14,,,,62.2,61.5,64.9,97%,72%,,,,66%,,,2016
100050,175,,175,0.18,,0.18,55.6,,55.6,67%,55%,,,,37%,,,2016
100051,137,84,53,-0.15,-0.29,0.05,43.8,42.7,45.7,53%,31%,,,,12%,,,2016
100062,13,,13,,,,69.6,,69.6,100%,100%,,,,92%,,,2016
100076,88,,88,,,,54.5,,54.5,33%,0%,,,,0%,,,2016
137181,,,,,,,,,,,,,,,,,,2016
100065,118,118,,,,,36.9,36.9,,0%,0%,,,,0%,,,2016
100056,123,123,,-0.37,-0.37,,50.6,50.6,,67%,63%,,,,37%,,,2016
100092,4,,,,,,,,,,,,,,,,,2016
100096,24,17,7,,,,,,,,,,,,,,,2016
134827,10,6,4,,,,3.3,,,0%,0%,,,,0%,,,2016
100756,57,,57,,,,58,,58,93%,0%,,,,0%,,,2016
100202,84,58,26,,,,49.1,48.6,50.3,24%,0%,,,,0%,,,2016
