URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
141392,25,,,2018
132905,47,,,2018
143260,404,26.77,C-,2018
105594,107,35.47,B-,2018
137309,209,37.78,B-,2018
105591,355,47.01,A-,2018
137801,119,22.37,D+,2018
141264,218,31.61,C,2018
135296,166,27.11,C-,2018
105595,150,50.11,A,2018
130504,2304,31.29,C,2018
141248,170,26.66,C-,2018
105745,119,34.31,C+,2018
145002,2119,29.38,C,2018
137133,393,33.57,C+,2018
137294,233,29.69,C,2018
130505,2279,,,2018
137822,2,,,2018
105844,127,34.15,C+,2018
130507,2750,,,2018
144463,1527,34.99,C+,2018
135313,58,26.19,C-,2018
105992,49,28.98,C,2018
130509,4353,25.03,C-,2018
105989,150,21.27,D,2018
142010,161,21.82,D+,2018
130514,2306,33.12,C+,2018
130515,1420,27.47,C-,2018
137843,259,40.42,B,2018
106157,259,42.32,B+,2018
134493,22,20.73,D,2018
137923,105,35.65,B-,2018
142524,31,,,2018
106156,193,43.74,B+,2018
130518,2060,32.68,C+,2018
136273,116,26.27,C-,2018
135508,0,21.74,D+,2018
130516,2427,24.49,D+,2018
138614,108,26.54,C-,2018
136458,326,44.23,B+,2018
137289,327,47.32,A-,2018
138123,148,33.91,C+,2018
106376,151,34.94,C+,2018
138464,270,39.54,B,2018
143104,1,,,2018
138134,209,37.68,B-,2018
136498,360,39.56,B,2018
106368,148,29.98,C,2018
136297,274,36.68,B-,2018
136377,190,32.04,C+,2018
130523,1417,30.2,C,2018
106538,318,29.47,C,2018
106534,146,29.57,C,2018
130521,2800,26.38,C-,2018
138229,51,16,D-,2018
130522,1961,35.39,B-,2018
135479,72,,,2018
104693,300,26.41,C-,2018
104717,248,27.24,C-,2018
104705,154,32.07,C+,2018
138878,1,,,2018
138183,137,27.18,C-,2018
104696,228,,,2018
104713,162,27.88,C-,2018
104698,208,28.98,C,2018
104714,166,27.69,C-,2018
138787,134,15.66,D-,2018
104692,68,14.38,E+,2018
104700,110,30.77,C,2018
104688,79,29.57,C,2018
104703,157,35.14,B-,2018
142891,355,,,2018
139686,234,35.71,B-,2018
139588,295,29.6,C,2018
131065,137,22.73,D+,2018
104706,90,27.75,C-,2018
136735,270,33.68,C+,2018
138463,219,21.24,D,2018
104721,161,28.09,C-,2018
104715,94,23.71,D+,2018
104712,129,23.32,D+,2018
138850,228,27.96,C-,2018
135174,267,35.64,B-,2018
137916,332,42.05,B+,2018
130487,3358,24.04,D+,2018
136409,1,3.57,U,2018
142128,57,3.53,U,2018
139589,142,27.88,C-,2018
138696,129,26.98,C-,2018
130489,1777,34.37,C+,2018
104829,305,25.13,C-,2018
136421,115,22.83,D+,2018
144327,223,32.08,C+,2018
144326,225,31.37,C,2018
130488,2697,22.25,D+,2018
136141,112,18.9,D,2018
137514,190,25.61,C-,2018
104964,212,29.18,C,2018
137533,236,30.11,C,2018
