URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
139847,8,5,3,0.6,101,50%,13%,,,0.3,103,63%,25%,,,-2.3,98,38%,13%,,,25%,0%,2017
117093,30,10,20,3.8,111,100%,57%,,,0.6,112,97%,70%,,,3.3,110,97%,63%,,,93%,30%,2017
105324,35,15,20,1.3,107,83%,37%,,,-2.9,107,86%,43%,,,0.3,106,83%,31%,,,71%,3%,2017
108614,25,12,13,5,107,96%,24%,,,2.7,104,72%,16%,,,0.1,103,72%,8%,,,64%,4%,2017
105950,30,18,12,-2.9,102,70%,17%,,,0.2,102,67%,13%,,,-2.6,102,57%,17%,,,43%,13%,2017
115976,109,48,61,1.2,107,78%,42%,,,2.3,106,80%,31%,,,-0.1,106,77%,28%,,,72%,17%,2017
105152,55,23,32,0.9,102,62%,16%,,,2.7,105,73%,29%,,,-0.5,101,64%,9%,,,49%,5%,2017
125108,58,30,28,0.7,106,79%,24%,,,-4.3,104,67%,19%,,,-1.1,104,71%,21%,,,50%,7%,2017
119335,30,17,13,-1.8,103,57%,20%,,,-4.5,104,73%,23%,,,,,,,,,,,2017
139274,,,,,,,,,,,,,,,,,,,,,,,,2017
138708,59,34,25,1.9,108,83%,42%,,,-0.6,107,80%,39%,,,-0.5,105,78%,31%,,,69%,20%,2017
110665,30,18,12,5.6,108,77%,37%,,,0.5,110,80%,47%,,,4.3,107,80%,33%,,,67%,0%,2017
132047,58,26,32,0.7,106,78%,29%,,,-3.2,106,81%,24%,,,-0.5,104,79%,19%,,,53%,7%,2017
139719,50,31,19,-0.8,105,78%,22%,,,0.5,107,88%,30%,,,-1.1,104,74%,18%,,,70%,12%,2017
117875,28,19,9,1.3,104,82%,21%,,,3.6,107,89%,43%,,,-0.8,102,68%,18%,,,64%,7%,2017
119299,44,20,24,-4.4,101,66%,7%,,,-0.5,105,82%,16%,,,-1,105,80%,14%,,,64%,2%,2017
114140,13,9,4,-1.5,106,69%,8%,,,-2.5,109,69%,31%,,,-1.7,106,77%,15%,,,69%,0%,2017
125986,15,6,9,2.4,107,93%,27%,,,-2.2,107,80%,27%,,,1.9,106,100%,33%,,,73%,0%,2017
114399,95,43,52,-3.9,101,55%,11%,,,-2.7,103,63%,18%,,,-4.9,100,56%,7%,,,45%,1%,2017
145140,,,,,,,,,,,,,,,,,,,,,,,,2017
111119,63,32,31,2.2,107,89%,33%,,,0.7,109,92%,44%,,,1.6,106,84%,37%,,,81%,13%,2017
117131,30,16,14,3.5,112,100%,63%,,,-0.7,112,100%,67%,,,3,111,97%,70%,,,90%,30%,2017
119452,20,14,6,-0.5,100,45%,5%,,,4.2,103,50%,15%,,,1.6,102,50%,25%,,,45%,5%,2017
110445,23,10,13,5.7,107,83%,39%,,,0.9,104,70%,30%,,,-0.2,101,70%,13%,,,65%,4%,2017
109506,,,,,,,,,,,,,,,,,,,,,,,,2017
108610,17,10,7,-3.8,97,35%,12%,,,-1.3,101,47%,12%,,,-2.4,99,47%,12%,,,29%,6%,2017
137022,45,29,16,2.2,108,82%,49%,,,2.2,109,87%,44%,,,2.6,108,89%,44%,,,80%,29%,2017
131955,60,35,25,0.2,108,85%,35%,,,-0.5,108,87%,38%,,,-1.3,107,82%,30%,,,77%,20%,2017
105038,29,13,16,1.8,106,79%,28%,,,0.3,107,93%,28%,,,1.8,106,97%,21%,,,72%,7%,2017
118718,14,9,5,-3.9,102,64%,21%,,,-1.5,103,71%,21%,,,-5.9,100,57%,7%,,,43%,7%,2017
106288,89,44,45,1.3,106,83%,31%,,,-0.9,107,82%,36%,,,0.7,106,79%,30%,,,65%,15%,2017
118666,14,5,9,3.4,108,86%,29%,,,-0.2,108,86%,50%,,,0.6,105,86%,29%,,,79%,7%,2017
116395,34,18,16,4.4,111,91%,65%,,,-0.3,113,97%,74%,,,3.5,110,94%,50%,,,82%,18%,2017
103946,61,28,33,-1.7,102,67%,15%,,,-1.5,105,80%,28%,,,-2.4,102,69%,10%,,,59%,3%,2017
103833,40,16,24,-5.1,100,45%,10%,,,1.3,105,70%,20%,,,-2.7,102,70%,13%,,,40%,5%,2017
117352,59,31,28,-0.8,102,69%,15%,,,0.5,105,80%,27%,,,-1.9,102,69%,8%,,,59%,2%,2017
141870,59,31,28,-2.9,100,56%,12%,,,0.3,102,64%,12%,,,-4,100,53%,8%,,,39%,3%,2017
106179,22,14,8,1.5,104,59%,32%,,,3.3,108,68%,45%,,,5,107,77%,36%,,,59%,18%,2017
132142,59,31,28,-0.8,106,78%,39%,,,-1.3,106,83%,34%,,,0.3,107,86%,41%,,,73%,14%,2017
126329,24,14,10,1.8,106,75%,33%,,,2.6,106,79%,29%,,,2.8,106,75%,38%,,,54%,21%,2017
142189,15,8,7,3.1,109,93%,40%,,,1.7,111,100%,47%,,,7.6,113,100%,80%,,,93%,27%,2017
119611,18,10,8,-4,101,44%,17%,,,-2.9,104,78%,6%,,,-5.4,98,39%,6%,,,39%,6%,2017
127416,63,29,34,1.2,109,95%,32%,,,0.8,112,92%,63%,,,0.6,108,90%,32%,,,86%,16%,2017
119517,30,13,17,-1.7,105,70%,27%,,,-3,105,77%,37%,,,-1.8,104,80%,33%,,,67%,0%,2017
138109,30,14,16,3.9,109,87%,50%,,,1.6,108,90%,37%,,,2.2,107,80%,43%,,,77%,20%,2017
137411,27,11,16,1.3,108,85%,48%,,,2.7,109,93%,59%,,,1.7,108,96%,37%,,,85%,26%,2017
144985,,,,,,,,,,,,,,,,,,,,,,,,2017
140967,,,,,,,,,,,,,,,,,,,,,,,,2017
140953,,,,,,,,,,,,,,,,,,,,,,,,2017
126911,94,44,50,-0.1,104,73%,22%,,,-1.2,104,72%,23%,,,-1.5,102,67%,11%,,,55%,3%,2017
100032,27,10,17,2.5,104,81%,11%,,,2.6,107,78%,26%,,,4,106,96%,19%,,,81%,7%,2017
132184,27,12,15,-0.8,96,37%,0%,,,3.9,99,52%,7%,,,0.6,98,48%,0%,,,33%,0%,2017
107505,31,13,18,-0.6,105,77%,32%,,,-0.7,105,71%,32%,,,0.1,106,84%,35%,,,65%,16%,2017
122254,36,16,20,2.2,104,78%,19%,,,2.5,107,78%,44%,,,2.7,104,78%,22%,,,72%,0%,2017
102491,90,51,39,-1.1,102,68%,14%,,,0.4,107,77%,37%,,,0.3,104,66%,22%,,,56%,9%,2017
107951,43,23,20,-3,99,51%,7%,,,2.7,106,77%,33%,,,-2.2,100,56%,5%,,,37%,5%,2017
131157,37,18,19,-2.1,99,43%,8%,,,1.5,103,65%,16%,,,0.9,103,73%,8%,,,38%,3%,2017
139058,13,5,8,-2.5,100,69%,8%,,,-0.5,102,62%,15%,,,-4.2,99,54%,0%,,,38%,0%,2017
110813,5,,,,,,,,,,,,,,,,,,,,,,,2017
105768,60,35,25,-0.4,97,43%,3%,,,5.3,103,67%,20%,,,1.9,100,58%,17%,,,43%,3%,2017
144605,,,,,,,,,,,,,,,,,,,,,,,,2017
121496,2,,,,,,,,,,,,,,,,,,,,,,,2017
118273,26,16,10,0.2,105,73%,31%,,,0.1,105,77%,27%,,,0,105,69%,31%,,,54%,12%,2017
116678,90,49,41,-0.6,105,80%,33%,,,0.7,106,80%,29%,,,-0.8,104,70%,33%,,,67%,14%,2017
143314,78,37,41,-2.4,103,62%,18%,,,-2.2,106,72%,35%,,,-1.9,103,67%,19%,,,55%,5%,2017
114395,20,9,11,1.9,107,80%,35%,,,-2.6,107,90%,40%,,,-1.6,104,80%,20%,,,70%,0%,2017
100408,17,10,7,2.6,106,88%,18%,,,0.1,106,88%,18%,,,1.2,105,82%,18%,,,65%,0%,2017
134049,56,29,27,0.1,103,73%,9%,,,2,106,86%,32%,,,1.7,104,75%,18%,,,59%,7%,2017
140395,,,,,,,,,,,,,,,,,,,,,,,,2017
136472,87,36,51,-1.1,105,80%,26%,,,-0.4,105,80%,26%,,,-3.3,103,70%,15%,,,60%,9%,2017
112823,3,,,,,,,,,,,,,,,,,,,,,,,2017
144481,44,25,19,-3.3,97,41%,11%,,,1.6,100,50%,14%,,,-0.3,101,61%,14%,,,34%,7%,2017
116482,137,66,71,0.4,105,74%,28%,,,1.7,106,78%,30%,,,0.5,105,80%,27%,,,61%,12%,2017
101900,51,31,20,0.3,100,49%,10%,,,-0.5,105,73%,27%,,,3.8,105,82%,25%,,,41%,4%,2017
140858,30,13,17,2.3,107,90%,37%,,,2,110,93%,67%,,,2.6,107,87%,33%,,,73%,23%,2017
114392,59,31,28,0.6,105,83%,22%,,,0.5,106,73%,31%,,,-0.8,104,78%,19%,,,73%,5%,2017
142113,,,,,,,,,,,,,,,,,,,,,,,,2017
122275,,,,,,,,,,,,,,,,,,,,,,,,2017
119566,34,13,21,-1,104,68%,26%,,,2.6,107,88%,29%,,,-1.2,103,76%,3%,,,68%,3%,2017
136191,57,30,27,-0.9,103,77%,16%,,,-1.1,108,82%,46%,,,1.8,106,88%,25%,,,72%,0%,2017
105156,58,34,24,1,103,71%,21%,,,-0.3,106,84%,31%,,,1.6,104,74%,21%,,,59%,7%,2017
108340,21,14,7,1.1,107,86%,43%,,,-0.9,105,71%,33%,,,-2,103,71%,19%,,,71%,10%,2017
143827,,,,,,,,,,,,,,,,,,,,,,,,2017
121828,88,42,46,-3.6,102,67%,17%,,,0.4,104,75%,25%,,,-0.7,105,83%,23%,,,61%,10%,2017
135700,39,21,18,-1.2,100,56%,15%,,,2.4,105,77%,18%,,,0.9,103,72%,13%,,,46%,5%,2017
138462,28,17,11,-0.6,105,79%,21%,,,0.4,105,79%,25%,,,-1.4,104,79%,36%,,,68%,18%,2017
138749,14,9,5,2.4,104,86%,14%,,,2.6,104,79%,14%,,,2.5,104,79%,7%,,,71%,7%,2017
119120,41,23,18,-2.4,105,71%,22%,,,0.3,107,80%,32%,,,-0.1,107,88%,32%,,,66%,15%,2017
138890,56,30,26,-3.2,99,55%,5%,,,0.4,101,66%,7%,,,-2.6,100,55%,2%,,,43%,0%,2017
139753,60,25,35,0.3,106,82%,38%,,,-0.9,106,82%,30%,,,-1.7,104,78%,15%,,,73%,8%,2017
122611,5,,,,,,,,,,,,,,,,,,,,,,,2017
122458,29,15,14,-0.1,105,72%,34%,,,3.7,110,93%,45%,,,2.4,107,93%,38%,,,72%,21%,2017
115600,55,31,24,-2.3,102,67%,16%,,,0.9,107,84%,36%,,,1.2,106,89%,22%,,,62%,5%,2017
122529,41,20,21,3,105,78%,22%,,,3.6,105,78%,24%,,,0.6,102,68%,15%,,,56%,10%,2017
105031,53,29,24,0.5,108,92%,36%,,,-0.9,110,94%,47%,,,2.4,109,94%,47%,,,79%,13%,2017
141237,47,32,15,-1.5,103,70%,19%,,,-2.5,104,55%,21%,,,0.9,104,68%,34%,,,53%,9%,2017
101535,56,28,28,4.4,110,91%,61%,,,-0.7,110,96%,43%,,,2.5,108,91%,43%,,,84%,14%,2017
136439,60,27,33,1.5,105,85%,32%,,,0.4,108,83%,42%,,,0.8,105,70%,28%,,,63%,17%,2017
102672,42,15,27,-1.6,102,62%,12%,,,0.4,107,86%,31%,,,-0.5,103,71%,17%,,,48%,7%,2017
131212,31,18,13,1.4,99,55%,10%,,,4.5,104,74%,23%,,,4.9,103,77%,13%,,,52%,0%,2017
122671,10,6,4,7.3,106,60%,40%,,,4.5,103,50%,30%,,,6,105,60%,30%,,,40%,30%,2017
114099,4,,,,,,,,,,,,,,,,,,,,,,,2017
140573,39,16,23,2.1,105,79%,21%,,,-0.4,107,85%,21%,,,1.9,105,82%,26%,,,72%,8%,2017
109011,31,15,16,-1,105,87%,19%,,,-3.2,108,87%,42%,,,-0.9,105,87%,23%,,,74%,0%,2017
139952,58,38,20,-2.2,101,60%,12%,,,-1.8,106,81%,28%,,,-0.3,103,74%,16%,,,52%,0%,2017
119131,26,12,14,-1.1,97,42%,0%,,,-2.7,98,38%,0%,,,0.6,99,65%,0%,,,23%,0%,2017
103805,29,12,17,-0.1,107,90%,41%,,,-2.1,109,97%,41%,,,-0.2,107,93%,34%,,,72%,10%,2017
142321,6,2,4,,98,50%,17%,,,,104,83%,0%,,,,99,33%,0%,,,17%,0%,2017
111640,30,11,19,-1,102,63%,10%,,,1.2,106,87%,20%,,,2.8,106,93%,20%,,,60%,7%,2017
115943,98,46,52,0.7,106,82%,32%,,,-0.2,109,90%,45%,,,1.1,106,85%,34%,,,77%,10%,2017
131072,27,14,13,1.9,105,70%,26%,,,3.2,103,67%,19%,,,-0.5,103,70%,11%,,,63%,7%,2017
134945,21,6,15,2.8,107,76%,52%,,,-1.4,107,76%,48%,,,2.1,106,76%,43%,,,67%,19%,2017
137168,56,24,32,-1.2,100,66%,13%,,,0.3,105,77%,27%,,,0.9,103,73%,20%,,,57%,0%,2017
106076,63,36,27,-1.7,104,71%,30%,,,-3.5,105,73%,29%,,,-5.1,100,56%,13%,,,49%,3%,2017
135143,59,36,23,-1,99,54%,3%,,,1.4,101,63%,8%,,,0.7,102,71%,8%,,,53%,0%,2017
103980,56,26,30,-2.3,98,45%,11%,,,-5.4,100,48%,20%,,,-3.2,97,45%,11%,,,34%,7%,2017
143101,75,44,31,-2.3,104,73%,23%,,,-2.5,107,84%,31%,,,-0.9,105,83%,27%,,,65%,9%,2017
103803,23,13,10,-4.8,98,30%,4%,,,-3.1,103,57%,17%,,,-2,100,57%,0%,,,26%,0%,2017
116847,17,7,10,-4,102,65%,18%,,,-3.3,104,71%,24%,,,-2.6,103,76%,18%,,,59%,12%,2017
106206,57,34,23,0.6,105,67%,26%,,,-0.9,107,82%,42%,,,1.7,106,75%,35%,,,58%,11%,2017
117365,30,14,16,0.2,105,70%,23%,,,2.1,108,83%,40%,,,1.8,107,83%,33%,,,67%,20%,2017
123204,27,15,12,0.6,108,85%,48%,,,0.4,108,89%,33%,,,0.3,108,89%,41%,,,81%,26%,2017
119632,29,15,14,2.3,105,76%,38%,,,4.1,109,90%,52%,,,4.2,107,90%,38%,,,76%,21%,2017
103477,31,21,10,-0.7,100,52%,26%,,,0,105,74%,35%,,,3.6,105,81%,35%,,,48%,0%,2017
105243,53,23,30,-0.6,107,92%,34%,,,1,111,96%,55%,,,2.1,110,96%,45%,,,91%,21%,2017
114007,39,18,21,-5.4,101,56%,18%,,,-5.4,102,64%,15%,,,-5.5,101,59%,10%,,,44%,5%,2017
122307,,,,,,,,,,,,,,,,,,,,,,,,2017
104467,22,10,12,0.5,102,77%,5%,,,-1.1,103,73%,18%,,,0.2,102,73%,9%,,,59%,0%,2017
109181,6,4,2,1.9,108,83%,67%,,,-1.7,104,67%,17%,,,-0.8,105,83%,33%,,,50%,33%,2017
117407,29,16,13,4.1,108,93%,31%,,,0.1,106,79%,41%,,,1.9,106,90%,31%,,,66%,7%,2017
105507,58,21,37,1.7,107,76%,28%,,,0.3,109,79%,53%,,,3.1,108,83%,36%,,,71%,12%,2017
115156,58,27,31,-0.6,104,79%,29%,,,3.6,108,84%,47%,,,-2.3,103,78%,16%,,,74%,14%,2017
104374,39,19,20,3.5,105,74%,28%,,,3.5,108,85%,41%,,,3.1,105,74%,23%,,,69%,15%,2017
140825,54,26,28,-0.6,100,52%,19%,,,1.4,100,54%,9%,,,-1.8,99,46%,2%,,,30%,0%,2017
114750,51,27,24,-2.2,103,63%,24%,,,-1.7,104,73%,12%,,,-1.9,103,76%,20%,,,57%,6%,2017
143179,8,5,3,2.5,109,100%,38%,,,3,106,100%,13%,,,2.8,109,100%,38%,,,100%,0%,2017
116833,29,17,12,-0.6,105,72%,21%,,,-1.4,106,79%,34%,,,-0.4,105,76%,28%,,,62%,7%,2017
124543,24,10,14,2.3,108,83%,50%,,,2,107,79%,42%,,,-1,105,88%,25%,,,79%,17%,2017
125922,,,,,,,,,,,,,,,,,,,,,,,,2017
140215,,,,,,,,,,,,,,,,,,,,,,,,2017
104775,60,29,31,-3.3,101,57%,18%,,,1.5,107,78%,30%,,,-1.2,103,65%,15%,,,52%,7%,2017
112845,8,5,3,4.1,109,100%,38%,,,-1.7,110,100%,50%,,,0,105,88%,13%,,,75%,13%,2017
142377,58,30,28,-0.7,106,76%,38%,,,-2.1,107,84%,34%,,,-1.7,104,84%,17%,,,69%,10%,2017
122661,11,4,7,5.1,111,91%,55%,,,2.6,114,91%,73%,,,6.2,112,91%,64%,,,91%,18%,2017
117861,8,5,3,0.5,104,88%,25%,,,5.4,106,88%,13%,,,2,105,75%,13%,,,75%,13%,2017
120784,14,9,5,-1.3,106,86%,36%,,,0.7,103,64%,29%,,,-4.1,103,71%,7%,,,71%,7%,2017
101296,29,20,9,1,106,90%,31%,,,-0.3,111,97%,59%,,,3,108,90%,41%,,,86%,10%,2017
115670,11,3,8,-2.3,105,73%,27%,,,-1.6,104,73%,18%,,,-5.9,101,73%,0%,,,45%,0%,2017
125019,58,31,27,-0.6,108,79%,34%,,,-0.4,109,86%,41%,,,-0.8,107,86%,31%,,,74%,19%,2017
103165,30,17,13,-1.8,103,73%,10%,,,-4.1,107,83%,33%,,,-0.1,104,77%,20%,,,60%,3%,2017
140041,56,26,30,-1.8,102,68%,13%,,,-1.9,103,68%,18%,,,1.5,105,86%,27%,,,61%,4%,2017
142866,,,,,,,,,,,,,,,,,,,,,,,,2017
136380,46,22,24,0.2,105,72%,33%,,,1.3,107,87%,35%,,,1.2,106,87%,24%,,,70%,11%,2017
119697,23,14,9,1,104,70%,17%,,,0.7,104,78%,17%,,,-0.8,103,74%,9%,,,65%,4%,2017
104670,25,12,13,2,102,60%,28%,,,1.1,102,60%,28%,,,2,102,60%,24%,,,52%,8%,2017
139622,28,13,15,-3.3,100,61%,14%,,,1.7,105,79%,21%,,,-2.2,101,61%,7%,,,54%,4%,2017
126044,45,17,28,0.4,104,76%,18%,,,-0.2,108,93%,40%,,,2.8,106,98%,13%,,,67%,2%,2017
141871,51,28,23,-1.1,99,55%,4%,,,0,102,59%,14%,,,-0.3,100,61%,8%,,,45%,0%,2017
134249,15,6,9,-1,99,53%,7%,,,-1.7,99,53%,7%,,,-3.2,97,40%,0%,,,33%,0%,2017
139472,78,40,38,-0.6,101,63%,15%,,,3.2,106,74%,33%,,,1.3,103,77%,18%,,,62%,3%,2017
114021,10,7,3,0,103,70%,10%,,,-0.8,104,70%,10%,,,0.3,104,70%,10%,,,50%,0%,2017
139860,29,12,17,0.2,105,86%,21%,,,-1,107,86%,38%,,,-0.1,104,86%,24%,,,76%,3%,2017
106409,31,16,15,6.3,110,97%,45%,,,2.9,108,94%,42%,,,1.7,106,87%,26%,,,84%,13%,2017
106203,30,15,15,-0.3,104,80%,17%,,,0.1,106,83%,20%,,,1.3,106,87%,20%,,,70%,3%,2017
105025,34,22,12,-1.9,102,65%,24%,,,1.3,105,76%,29%,,,-1.2,103,68%,21%,,,53%,15%,2017
135437,10,5,5,-0.7,101,60%,20%,,,-1.9,101,50%,10%,,,-3.6,99,40%,10%,,,40%,10%,2017
109615,,,,,,,,,,,,,,,,,,,,,,,,2017
102634,26,15,11,1.3,104,69%,27%,,,2,106,77%,31%,,,2.3,105,77%,19%,,,65%,12%,2017
141334,52,21,31,0.2,97,44%,4%,,,1,100,52%,10%,,,-1.3,97,38%,10%,,,25%,0%,2017
103788,40,19,21,-1.9,102,53%,10%,,,-0.6,103,63%,13%,,,-1.6,103,65%,13%,,,48%,8%,2017
118701,11,5,6,-0.5,106,82%,27%,,,-3.6,107,82%,27%,,,-2.6,104,73%,18%,,,73%,0%,2017
124085,8,6,2,-2.6,104,75%,13%,,,0.1,106,75%,25%,,,-1.8,104,100%,13%,,,75%,0%,2017
101009,57,22,35,1.4,107,79%,35%,,,-1.5,108,86%,40%,,,0.3,106,82%,33%,,,72%,12%,2017
132093,54,30,24,-1.4,103,67%,19%,,,0.1,105,76%,19%,,,-1.9,102,65%,11%,,,46%,7%,2017
137879,43,17,26,-1.4,103,72%,14%,,,2.8,105,72%,30%,,,0.8,105,86%,16%,,,63%,9%,2017
138744,62,30,32,-0.3,106,76%,37%,,,1.5,104,74%,26%,,,-0.6,104,74%,23%,,,68%,16%,2017
102805,59,28,31,2.6,107,80%,42%,,,0.7,109,83%,51%,,,2.1,106,80%,44%,,,69%,17%,2017
