URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
110705,24,12,12,-4.8,99,54%,4%,,,0,101,63%,4%,,,-4.1,100,67%,8%,,,50%,4%,2017
117736,9,3,6,-0.2,104,67%,22%,,,-8.2,106,78%,33%,,,-3.6,101,67%,0%,,,33%,0%,2017
122638,21,10,11,1.4,106,86%,19%,,,1.7,110,90%,62%,,,0.1,104,71%,14%,,,67%,5%,2017
141550,8,1,7,4.6,111,88%,63%,,,-2.7,105,75%,38%,,,-2.5,103,88%,0%,,,88%,0%,2017
142999,94,58,36,-1.6,106,73%,32%,,,-2.1,106,73%,35%,,,-1.5,106,78%,34%,,,64%,9%,2017
106190,30,13,17,-1.5,102,63%,17%,,,2.8,107,87%,37%,,,-0.7,103,67%,13%,,,57%,10%,2017
120819,16,9,7,-0.7,104,75%,25%,,,1.5,99,56%,6%,,,-3.1,102,75%,19%,,,63%,6%,2017
120602,11,5,6,-2.1,102,73%,27%,,,-5,100,55%,9%,,,-1.8,102,73%,9%,,,36%,0%,2017
135197,46,25,21,3.8,105,87%,20%,,,5,105,87%,26%,,,3.3,105,91%,13%,,,78%,7%,2017
105667,20,11,9,0.9,106,75%,25%,,,-0.1,108,85%,50%,,,-1.1,105,85%,20%,,,75%,5%,2017
118160,43,24,19,-0.1,105,77%,30%,,,-0.9,105,79%,19%,,,-2.6,103,74%,14%,,,63%,5%,2017
136365,34,16,18,1.1,107,94%,32%,,,0.8,105,91%,21%,,,0.4,106,97%,18%,,,88%,15%,2017
109024,28,13,15,-0.3,107,86%,43%,,,2,110,96%,50%,,,2.1,109,96%,50%,,,79%,21%,2017
134306,90,52,38,-4.4,100,57%,13%,,,-4.1,104,71%,28%,,,-4,101,56%,13%,,,41%,3%,2017
124313,60,37,23,-2.2,100,50%,12%,,,-2.4,101,47%,10%,,,-2.6,99,47%,10%,,,35%,0%,2017
125636,34,9,25,1.2,108,91%,38%,,,0.5,109,91%,50%,,,-2,105,85%,26%,,,82%,15%,2017
133255,59,30,29,6.4,110,95%,44%,,,3.1,114,95%,73%,,,5.2,109,95%,42%,,,88%,17%,2017
102381,64,28,36,-0.8,103,63%,17%,,,0.3,105,78%,31%,,,1.6,105,80%,23%,,,52%,6%,2017
139905,50,24,26,0.4,104,74%,22%,,,1.8,107,88%,40%,,,1.5,105,90%,30%,,,72%,10%,2017
143198,140,66,74,-2.4,101,59%,9%,,,-0.6,105,73%,20%,,,-0.5,103,76%,14%,,,58%,2%,2017
144648,,,,,,,,,,,,,,,,,,,,,,,,2017
120816,24,15,9,0.7,105,88%,13%,,,-2.5,106,83%,33%,,,1.7,106,88%,21%,,,63%,0%,2017
130968,29,13,16,2.7,107,90%,31%,,,1.8,107,86%,31%,,,2.6,106,90%,24%,,,83%,10%,2017
139116,40,24,16,0.4,104,78%,15%,,,1.5,105,70%,33%,,,-0.4,103,83%,15%,,,70%,3%,2017
140135,25,16,9,-0.8,102,64%,16%,,,-0.3,104,72%,24%,,,-1.1,102,72%,16%,,,44%,4%,2017
109788,59,32,27,0.1,107,83%,42%,,,-0.1,108,85%,47%,,,-0.2,106,90%,37%,,,76%,20%,2017
106441,31,18,13,0.1,102,71%,10%,,,1.4,106,77%,29%,,,0.8,103,87%,16%,,,65%,6%,2017
118361,9,4,5,-2,104,89%,22%,,,-1.3,106,67%,44%,,,-4.5,102,78%,11%,,,67%,11%,2017
101286,83,43,40,0.9,104,69%,30%,,,-3.5,104,70%,24%,,,-0.1,104,66%,24%,,,55%,6%,2017
137731,52,24,28,4.2,108,94%,35%,,,3.6,112,98%,69%,,,6.4,110,94%,62%,,,90%,23%,2017
112409,25,12,13,-3,99,44%,8%,,,0,104,60%,24%,,,-0.2,102,64%,8%,,,36%,0%,2017
141681,,,,,,,,,,,,,,,,,,,,,,,,2017
121602,3,,,,,,,,,,,,,,,,,,,,,,,2017
117481,30,16,14,0.8,106,83%,33%,,,-6.8,107,80%,30%,,,-0.4,105,73%,33%,,,50%,13%,2017
142004,24,11,13,2.7,108,92%,29%,,,0.8,108,92%,38%,,,1.5,106,88%,29%,,,83%,13%,2017
108037,30,16,14,-0.7,100,63%,10%,,,-0.7,105,80%,30%,,,1.8,103,77%,13%,,,53%,7%,2017
110018,30,17,13,3.4,110,97%,50%,,,-0.6,110,87%,50%,,,0.9,107,87%,33%,,,77%,13%,2017
103927,29,19,10,-0.2,103,69%,17%,,,-3.9,102,62%,10%,,,-1.5,101,69%,17%,,,59%,0%,2017
118549,29,16,13,-2.7,104,69%,17%,,,0.1,104,69%,17%,,,-1.7,104,69%,24%,,,55%,7%,2017
124702,16,9,7,-4,105,75%,31%,,,-5.1,104,69%,19%,,,-4.9,101,56%,25%,,,44%,13%,2017
107712,68,35,33,-2.7,105,81%,21%,,,-1.7,108,87%,46%,,,-1.6,106,82%,28%,,,76%,7%,2017
105679,30,13,17,-4.5,94,20%,0%,,,0.2,101,50%,0%,,,-2.1,97,37%,0%,,,13%,0%,2017
143054,30,11,19,-0.3,105,70%,30%,,,-0.5,107,80%,33%,,,-2.6,103,73%,17%,,,53%,3%,2017
141583,46,22,24,-0.1,100,54%,17%,,,10.8,103,63%,9%,,,2.8,103,83%,13%,,,54%,9%,2017
107671,42,19,23,-0.2,104,79%,19%,,,-3,109,88%,38%,,,2.7,107,86%,38%,,,67%,5%,2017
141973,19,12,7,-1.6,98,37%,5%,,,-0.8,101,58%,11%,,,-1.8,98,58%,5%,,,32%,5%,2017
112697,27,17,10,-3.7,104,74%,22%,,,-2.6,106,74%,41%,,,-2.2,106,85%,26%,,,74%,7%,2017
140482,,,,,,,,,,,,,,,,,,,,,,,,2017
131465,59,26,33,-0.4,103,76%,20%,,,1.9,108,88%,53%,,,2.2,105,88%,27%,,,73%,10%,2017
105291,35,15,20,3.1,107,83%,31%,,,2.3,110,94%,37%,,,3.6,108,94%,34%,,,80%,17%,2017
141638,35,17,18,1.6,107,80%,37%,,,0.2,109,83%,43%,,,0.9,107,77%,34%,,,63%,14%,2017
139935,25,13,12,0.6,105,72%,36%,,,1,107,84%,32%,,,-0.1,105,76%,24%,,,64%,16%,2017
118739,14,12,2,-6.6,94,29%,7%,,,-5.8,94,29%,0%,,,-3,95,43%,0%,,,21%,0%,2017
133326,30,18,12,0.3,106,83%,27%,,,-1,107,83%,37%,,,1,105,80%,27%,,,80%,7%,2017
134278,45,15,30,-3.8,105,62%,16%,,,-4.2,104,58%,16%,,,-1.8,106,80%,16%,,,53%,2%,2017
104074,29,15,14,-4.5,105,72%,28%,,,-3.4,108,76%,34%,,,-2.3,106,83%,31%,,,59%,10%,2017
141869,34,19,15,-0.7,107,91%,38%,,,0.5,110,85%,56%,,,0.7,108,91%,47%,,,82%,18%,2017
118155,9,3,6,5.1,111,89%,67%,,,-1.6,106,78%,44%,,,-1.7,104,67%,22%,,,67%,11%,2017
141655,58,37,21,1.1,105,72%,28%,,,2,105,74%,19%,,,0.8,105,81%,24%,,,67%,10%,2017
