URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
140427,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
113156,22,11,11,7.9,109,91%,55%,1,Well Above Average,3.3,105,82%,27%,1,Well Above Average,5.7,107,95%,36%,1,Well Above Average,86%,0%,2018
119118,44,23,21,-0.5,101,59%,5%,3,Average,1,105,75%,25%,3,Average,1.5,102,73%,5%,3,Average,50%,2%,2018
133273,28,14,14,-1.8,102,68%,14%,3,Average,0.5,106,75%,32%,3,Average,-1.8,101,64%,11%,3,Average,61%,7%,2018
144371,44,20,24,3.4,104,70%,18%,1,Well Above Average,3.5,103,61%,18%,1,Well Above Average,2.7,102,68%,16%,2,Above Average,57%,5%,2018
106996,59,33,26,1.5,107,83%,41%,3,Average,0.7,109,88%,54%,3,Average,-0.6,104,76%,20%,3,Average,66%,14%,2018
106729,33,10,23,3,104,88%,6%,2,Above Average,5.2,108,88%,39%,1,Well Above Average,3.2,104,82%,12%,1,Well Above Average,76%,3%,2018
100134,57,27,30,0.9,106,82%,33%,3,Average,0.9,108,77%,42%,3,Average,-0.4,104,77%,23%,3,Average,74%,12%,2018
138952,85,46,39,-0.5,104,75%,28%,3,Average,-0.5,105,78%,29%,3,Average,-1.1,104,75%,28%,3,Average,62%,9%,2018
138212,54,26,28,-4,96,30%,0%,5,Well Below Average,5.1,99,44%,2%,1,Well Above Average,1,99,46%,7%,3,Average,28%,0%,2018
113203,32,18,14,-2.4,106,84%,31%,4,Below Average,-2,104,81%,13%,3,Average,-2.2,105,88%,25%,4,Below Average,81%,9%,2018
139020,162,81,81,-0.5,104,78%,25%,,NOT AVAIL,0.2,104,73%,23%,,NOT AVAIL,0.3,104,80%,15%,,NOT AVAIL,68%,4%,2018
140111,75,40,35,-4.2,104,84%,12%,5,Well Below Average,-0.2,108,93%,44%,3,Average,-4.3,103,76%,12%,5,Well Below Average,67%,3%,2018
135614,28,12,16,5,110,100%,50%,1,Well Above Average,2.5,110,93%,54%,2,Above Average,5.4,109,93%,39%,1,Well Above Average,93%,18%,2018
135099,86,38,48,-0.6,106,85%,36%,3,Average,1.3,110,92%,56%,2,Above Average,1.4,107,92%,34%,2,Above Average,84%,23%,2018
105025,29,15,14,1.1,107,86%,38%,3,Average,-1.9,108,93%,34%,3,Average,1,107,90%,31%,3,Average,79%,7%,2018
133601,53,28,25,-0.5,104,79%,19%,3,Average,1.1,102,68%,11%,3,Average,-1.7,102,64%,9%,4,Below Average,62%,6%,2018
112251,3,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
107896,54,33,21,2.2,105,76%,28%,2,Above Average,0.6,105,76%,31%,3,Average,1.5,104,76%,17%,3,Average,65%,9%,2018
112415,10,3,7,1.1,105,70%,20%,3,Average,3.9,103,90%,10%,1,Well Above Average,-2.3,100,60%,0%,3,Average,30%,0%,2018
105452,84,43,41,-4,104,67%,23%,5,Well Below Average,-2.8,108,80%,37%,5,Well Below Average,-2.7,104,73%,18%,4,Below Average,55%,10%,2018
105939,30,19,11,1.8,106,83%,20%,3,Average,0.7,109,90%,47%,3,Average,3.3,107,83%,40%,1,Well Above Average,70%,10%,2018
105898,50,26,24,0.4,104,78%,26%,3,Average,-0.1,105,80%,32%,3,Average,0.8,104,78%,24%,3,Average,70%,12%,2018
109162,8,6,2,2.1,105,88%,13%,3,Average,-1.6,102,88%,0%,3,Average,-4.3,100,50%,0%,5,Well Below Average,50%,0%,2018
112495,13,9,4,-3.3,101,54%,8%,3,Average,-0.9,103,54%,31%,3,Average,-2.9,100,46%,15%,3,Average,31%,8%,2018
144607,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
112113,11,7,4,1.8,105,73%,18%,3,Average,2.4,102,73%,9%,3,Average,4,107,100%,18%,1,Well Above Average,73%,9%,2018
141910,116,59,57,-2.8,103,66%,20%,4,Below Average,-3.6,102,62%,16%,5,Well Below Average,-2.4,103,68%,17%,4,Below Average,53%,5%,2018
141100,49,21,28,-2,101,59%,16%,4,Below Average,0.2,102,61%,20%,3,Average,0,103,61%,22%,3,Average,55%,10%,2018
141530,64,35,29,-5.3,98,47%,6%,5,Well Below Average,-2,102,63%,16%,4,Below Average,-1.8,101,66%,6%,4,Below Average,41%,0%,2018
135437,13,6,7,-0.6,104,85%,23%,3,Average,0.1,104,77%,31%,3,Average,-0.4,103,77%,15%,3,Average,69%,8%,2018
105078,32,18,14,0.6,108,94%,44%,3,Average,-0.7,108,94%,38%,3,Average,-1.4,106,84%,19%,3,Average,75%,13%,2018
142562,30,21,9,-3.5,102,70%,20%,5,Well Below Average,-1.1,106,80%,37%,3,Average,-0.7,104,77%,20%,3,Average,60%,10%,2018
121063,16,4,12,1.5,106,75%,38%,3,Average,-0.7,103,75%,13%,3,Average,-0.9,103,81%,13%,3,Average,63%,0%,2018
112166,9,3,6,-1.8,104,67%,11%,3,Average,-7.8,104,56%,11%,5,Well Below Average,-6,99,44%,0%,5,Well Below Average,22%,0%,2018
119993,28,17,11,-1.8,104,75%,32%,3,Average,0.3,104,75%,21%,3,Average,-3.5,102,68%,14%,5,Well Below Average,64%,11%,2018
123505,25,13,12,2.5,110,88%,52%,3,Average,-0.2,111,92%,60%,3,Average,-0.9,106,92%,32%,3,Average,84%,16%,2018
115545,14,5,9,3.6,111,100%,71%,1,Well Above Average,1.9,111,100%,71%,3,Average,-0.8,106,93%,29%,3,Average,86%,29%,2018
142192,21,10,11,1.3,107,86%,19%,3,Average,2.4,108,81%,33%,3,Average,1.8,107,95%,14%,3,Average,86%,10%,2018
114524,20,10,10,-0.2,104,80%,35%,3,Average,-0.9,104,70%,20%,3,Average,-1.7,102,60%,25%,3,Average,50%,10%,2018
141362,9,3,6,,115,100%,89%,,NOT AVAIL,,116,100%,100%,,NOT AVAIL,,115,100%,100%,,NOT AVAIL,100%,33%,2018
135107,58,28,30,-0.9,106,81%,22%,3,Average,-1.6,105,78%,22%,4,Below Average,-2.4,103,72%,12%,4,Below Average,59%,9%,2018
106725,27,13,14,0.7,106,85%,30%,3,Average,1.3,107,93%,30%,3,Average,0.3,105,78%,37%,3,Average,70%,19%,2018
106777,25,13,12,2.5,109,84%,44%,2,Above Average,2.4,108,80%,40%,2,Above Average,-0.4,105,80%,24%,3,Average,76%,8%,2018
117995,30,19,11,1,106,87%,17%,3,Average,1.1,108,90%,50%,3,Average,1.4,105,83%,27%,3,Average,73%,13%,2018
104065,32,9,23,3.6,110,94%,53%,1,Well Above Average,-2.2,108,88%,44%,4,Below Average,0.2,106,84%,28%,3,Average,81%,6%,2018
143184,28,11,17,-1.7,103,71%,18%,3,Average,-0.3,103,68%,21%,3,Average,-1,103,75%,25%,3,Average,57%,11%,2018
137441,57,28,29,3.4,106,79%,35%,1,Well Above Average,2.9,111,89%,63%,1,Well Above Average,6.1,108,86%,56%,1,Well Above Average,75%,23%,2018
122031,5,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
138232,30,17,13,-3.2,102,63%,13%,5,Well Below Average,-1.2,101,43%,10%,3,Average,-4.1,101,43%,7%,5,Well Below Average,33%,3%,2018
140832,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
111660,32,16,16,0.6,105,69%,22%,3,Average,-3.9,105,75%,22%,5,Well Below Average,2.5,106,81%,25%,2,Above Average,53%,0%,2018
125079,79,33,46,-0.1,108,86%,44%,3,Average,-0.2,108,86%,42%,3,Average,0.5,108,87%,44%,3,Average,80%,22%,2018
124196,56,25,31,-1.2,102,68%,16%,3,Average,1,102,63%,20%,3,Average,-1.6,101,61%,11%,4,Below Average,48%,5%,2018
141845,13,5,8,-2.7,100,54%,15%,3,Average,-5.5,100,62%,15%,5,Well Below Average,-1.8,100,54%,8%,3,Average,31%,0%,2018
137425,32,10,22,6.3,113,97%,69%,1,Well Above Average,1,114,94%,72%,3,Average,4.6,110,88%,66%,1,Well Above Average,84%,41%,2018
120884,4,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
144983,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
123506,3,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
111284,16,8,8,4.8,113,100%,69%,1,Well Above Average,1.4,113,100%,75%,3,Average,1.5,109,100%,25%,3,Average,94%,25%,2018
143209,52,30,22,1,107,81%,37%,3,Average,1.5,109,98%,48%,3,Average,3.3,109,96%,40%,1,Well Above Average,73%,19%,2018
138104,79,38,41,2.1,106,86%,19%,2,Above Average,-1.5,106,87%,30%,4,Below Average,0.7,104,77%,19%,3,Average,62%,1%,2018
139768,30,20,10,-0.4,105,73%,27%,3,Average,1.1,109,87%,43%,3,Average,-0.5,104,77%,17%,3,Average,70%,7%,2018
114113,62,35,27,-4.4,101,58%,6%,5,Well Below Average,-1.4,105,71%,35%,3,Average,-2.8,102,77%,6%,4,Below Average,53%,2%,2018
142749,70,36,34,1.4,106,80%,33%,3,Average,-1,107,81%,39%,3,Average,0.4,103,79%,24%,3,Average,74%,9%,2018
113157,2,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
100034,29,18,11,2.5,107,86%,34%,2,Above Average,2.5,108,90%,38%,2,Above Average,1.7,106,83%,28%,3,Average,76%,21%,2018
141400,43,17,26,2.9,104,70%,19%,2,Above Average,4,108,88%,42%,1,Well Above Average,5,106,88%,28%,1,Well Above Average,67%,0%,2018
143267,31,20,11,-0.6,102,74%,16%,3,Average,-0.3,102,71%,13%,3,Average,-0.3,101,74%,0%,3,Average,58%,0%,2018
113204,11,5,6,5,112,91%,73%,1,Well Above Average,4.9,111,91%,64%,1,Well Above Average,0.9,107,91%,55%,3,Average,91%,45%,2018
140125,13,5,8,2,109,77%,31%,3,Average,0.3,108,85%,31%,3,Average,1.3,107,85%,38%,3,Average,77%,15%,2018
137631,90,53,37,0.8,107,86%,29%,3,Average,3.2,107,83%,37%,1,Well Above Average,2.2,107,87%,37%,2,Above Average,74%,19%,2018
145063,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
140348,56,22,34,-2.7,102,63%,11%,4,Below Average,-0.8,103,70%,18%,3,Average,-2.2,102,63%,14%,4,Below Average,43%,5%,2018
121620,11,7,4,2,107,73%,36%,3,Average,-1.9,105,73%,45%,3,Average,-1.3,103,64%,27%,3,Average,55%,18%,2018
106582,27,12,15,0.7,106,85%,19%,3,Average,1.3,110,89%,48%,3,Average,2.5,107,93%,33%,2,Above Average,78%,11%,2018
143780,43,23,20,0.1,105,79%,28%,3,Average,-1.2,107,79%,47%,3,Average,-0.9,103,81%,12%,3,Average,63%,2%,2018
141743,28,10,18,-2.9,102,61%,29%,5,Well Below Average,-6,104,64%,32%,5,Well Below Average,-2.9,101,61%,18%,4,Below Average,54%,0%,2018
107910,60,32,28,0.2,106,75%,38%,3,Average,0.3,107,82%,42%,3,Average,-1.7,103,72%,17%,4,Below Average,63%,10%,2018
124705,9,6,3,3.6,110,100%,56%,3,Average,-3.9,107,100%,22%,3,Average,-5,101,78%,11%,5,Well Below Average,67%,0%,2018
141172,32,11,21,-0.3,104,78%,28%,3,Average,-2,102,69%,22%,3,Average,-3.1,101,59%,3%,4,Below Average,47%,0%,2018
140729,28,11,17,1.7,106,82%,43%,3,Average,1.9,107,89%,39%,3,Average,2,106,82%,43%,3,Average,75%,21%,2018
134254,59,27,32,1.6,106,76%,31%,3,Average,1.8,107,85%,41%,2,Above Average,0.9,105,80%,27%,3,Average,66%,12%,2018
120103,58,35,23,0.7,105,78%,29%,3,Average,0.2,107,81%,47%,3,Average,2.9,106,76%,38%,2,Above Average,69%,9%,2018
135966,59,27,32,-2.7,101,63%,15%,4,Below Average,-2.4,102,64%,19%,4,Below Average,-4.3,99,58%,10%,5,Well Below Average,49%,5%,2018
144393,88,40,48,-1.3,102,66%,16%,3,Average,0.9,103,65%,24%,3,Average,-0.4,103,66%,19%,3,Average,56%,8%,2018
110771,15,6,9,1.1,105,80%,20%,3,Average,0.9,103,80%,0%,3,Average,-0.9,104,80%,20%,3,Average,73%,0%,2018
111459,8,5,3,-2.9,109,100%,25%,3,Average,-6.5,111,100%,63%,5,Well Below Average,-1.9,109,100%,38%,3,Average,88%,13%,2018
121391,6,0,6,,116,100%,83%,,NOT AVAIL,,113,100%,83%,,NOT AVAIL,,109,100%,33%,,NOT AVAIL,100%,33%,2018
121406,4,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
141453,25,14,11,-0.8,103,60%,28%,3,Average,1,106,76%,40%,3,Average,-0.1,104,72%,20%,3,Average,52%,20%,2018
133343,25,12,13,0.1,107,88%,24%,3,Average,2.1,110,88%,48%,3,Average,1.7,107,88%,44%,3,Average,84%,16%,2018
142489,30,18,12,1.6,108,83%,33%,3,Average,2.7,112,97%,57%,1,Well Above Average,3.1,108,80%,50%,2,Above Average,77%,23%,2018
104867,60,26,34,1.5,106,90%,25%,3,Average,1.6,107,87%,37%,2,Above Average,0.2,104,87%,12%,3,Average,83%,5%,2018
109092,11,5,6,2.7,108,91%,45%,3,Average,0.6,105,82%,18%,3,Average,1.1,106,82%,36%,3,Average,82%,27%,2018
143556,27,14,13,-0.1,105,85%,22%,3,Average,2.6,109,96%,48%,2,Above Average,2.5,107,89%,37%,2,Above Average,81%,11%,2018
140730,28,12,16,-1.4,102,54%,14%,3,Average,2.9,103,79%,7%,1,Well Above Average,0.6,103,79%,14%,3,Average,54%,7%,2018
143679,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
134741,22,11,11,-2.3,105,68%,32%,3,Average,-0.9,106,86%,23%,3,Average,-2.3,104,77%,18%,3,Average,55%,14%,2018
113341,51,27,24,-1.5,103,71%,18%,3,Average,0.6,102,63%,16%,3,Average,-0.9,103,69%,18%,3,Average,55%,4%,2018
132234,27,14,13,-4.6,100,56%,7%,5,Well Below Average,-0.5,101,59%,7%,3,Average,-3.7,100,56%,7%,5,Well Below Average,41%,0%,2018
117108,30,12,18,1.2,110,87%,60%,3,Average,0,107,83%,40%,3,Average,-2.4,105,77%,33%,4,Below Average,77%,23%,2018
102523,31,19,12,3.7,110,94%,48%,1,Well Above Average,2.3,111,100%,55%,2,Above Average,1.8,107,97%,35%,3,Average,90%,26%,2018
142393,73,33,40,-0.4,105,77%,29%,3,Average,-2.5,104,77%,21%,4,Below Average,-1,103,73%,19%,3,Average,66%,7%,2018
110437,16,8,8,2.7,108,88%,56%,3,Average,-0.1,105,81%,31%,3,Average,0.7,106,88%,25%,3,Average,75%,13%,2018
116320,20,9,11,2.9,109,80%,40%,2,Above Average,1,110,90%,50%,3,Average,2.8,108,90%,30%,2,Above Average,70%,15%,2018
142671,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
115547,14,7,7,-0.2,105,79%,14%,3,Average,1.6,109,86%,64%,3,Average,-0.8,103,86%,29%,3,Average,79%,7%,2018
120614,15,4,11,1.8,107,80%,27%,3,Average,3,111,87%,67%,1,Well Above Average,0.1,104,87%,13%,3,Average,80%,7%,2018
138036,44,19,25,-1.2,105,82%,32%,3,Average,1,111,95%,64%,3,Average,0.3,106,91%,27%,3,Average,77%,9%,2018
131331,40,26,14,1.8,104,70%,28%,3,Average,2.1,103,78%,15%,2,Above Average,1.7,104,85%,10%,3,Average,70%,5%,2018
110303,64,27,37,0.4,108,89%,41%,3,Average,-1.6,109,92%,48%,4,Below Average,0,107,94%,39%,3,Average,80%,16%,2018
140167,59,32,27,0.2,104,80%,22%,3,Average,-0.1,105,73%,31%,3,Average,1.2,105,75%,31%,3,Average,66%,14%,2018
139777,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
135783,30,12,18,-3.8,100,57%,17%,5,Well Below Average,-3.6,101,60%,17%,5,Well Below Average,-7.3,96,27%,3%,5,Well Below Average,27%,0%,2018
144272,29,15,14,2.4,106,83%,21%,2,Above Average,3.5,108,90%,41%,1,Well Above Average,4.1,106,90%,21%,1,Well Above Average,83%,3%,2018
109034,58,26,32,-0.4,106,72%,34%,3,Average,0.7,106,76%,38%,3,Average,-2.8,102,60%,19%,4,Below Average,55%,16%,2018
106335,60,30,30,1.8,109,92%,50%,2,Above Average,1.2,111,90%,62%,3,Average,2.8,109,90%,53%,2,Above Average,87%,23%,2018
137607,61,36,25,-0.2,106,80%,33%,3,Average,-1,106,72%,38%,3,Average,-2.2,103,61%,26%,4,Below Average,54%,18%,2018
125649,8,5,3,-3.7,105,63%,38%,3,Average,-6.5,106,75%,25%,5,Well Below Average,-4,104,50%,38%,3,Average,38%,13%,2018
114071,29,13,16,-7.5,98,31%,7%,5,Well Below Average,-4,98,48%,3%,5,Well Below Average,-7.8,96,24%,0%,5,Well Below Average,17%,0%,2018
100244,59,30,29,1.8,108,85%,32%,2,Above Average,0.9,108,81%,34%,3,Average,0.4,106,83%,15%,3,Average,78%,10%,2018
141616,30,18,12,3.2,109,93%,43%,1,Well Above Average,0.6,110,87%,50%,3,Average,1.4,106,87%,20%,3,Average,77%,10%,2018
109209,12,9,3,-4.6,100,58%,8%,5,Well Below Average,-0.6,101,58%,17%,3,Average,-2.5,101,75%,17%,3,Average,58%,0%,2018
139887,31,14,17,-0.1,105,77%,35%,3,Average,0.9,106,74%,39%,3,Average,0.9,105,77%,29%,3,Average,58%,23%,2018
123170,13,6,7,1.9,107,77%,38%,3,Average,0.4,106,77%,38%,3,Average,1.6,106,85%,15%,3,Average,77%,0%,2018
120541,16,5,11,1.2,107,81%,50%,3,Average,-3.7,105,69%,38%,5,Well Below Average,-0.9,105,69%,38%,3,Average,69%,25%,2018
113331,14,9,5,-0.2,103,71%,21%,3,Average,1.6,101,64%,21%,3,Average,-0.1,103,79%,21%,3,Average,64%,7%,2018
140343,14,6,8,-2.2,102,57%,21%,3,Average,0.5,105,79%,36%,3,Average,-1.8,101,71%,7%,3,Average,57%,0%,2018
118631,6,3,3,,98,50%,0%,,NOT AVAIL,,97,17%,0%,,NOT AVAIL,,95,17%,0%,,NOT AVAIL,17%,0%,2018
115657,15,7,8,3.6,108,87%,40%,1,Well Above Average,-0.7,109,93%,53%,3,Average,2.5,106,87%,27%,3,Average,67%,13%,2018
144114,11,6,5,1.3,107,82%,18%,3,Average,-1.9,105,73%,18%,3,Average,0.4,103,73%,18%,3,Average,64%,18%,2018
134942,31,24,7,-6.5,99,48%,3%,5,Well Below Average,-5.4,99,55%,10%,5,Well Below Average,-4.7,101,55%,3%,5,Well Below Average,42%,0%,2018
131341,32,13,19,6.4,109,88%,44%,1,Well Above Average,0.7,110,94%,53%,3,Average,4.7,107,91%,47%,1,Well Above Average,66%,13%,2018
104448,34,16,18,-1.9,105,68%,21%,3,Average,-4.1,106,76%,24%,5,Well Below Average,-0.3,106,76%,24%,3,Average,62%,0%,2018
121505,6,4,2,,110,100%,50%,,NOT AVAIL,,108,100%,33%,,NOT AVAIL,,107,100%,33%,,NOT AVAIL,83%,17%,2018
121629,6,3,3,-2.3,104,67%,17%,3,Average,4.2,104,83%,17%,3,Average,-3.2,102,50%,17%,3,Average,50%,0%,2018
121570,6,2,4,1.7,106,83%,17%,3,Average,-2.8,106,67%,50%,3,Average,-0.6,103,50%,17%,3,Average,50%,17%,2018
112180,27,12,15,-1,103,56%,26%,3,Average,1.6,105,70%,30%,3,Average,1.1,104,78%,19%,3,Average,48%,11%,2018
133296,25,14,11,3.2,108,92%,44%,1,Well Above Average,-0.2,106,92%,24%,3,Average,-0.8,103,76%,20%,3,Average,76%,8%,2018
112181,10,6,4,-3.7,101,40%,20%,3,Average,-4.8,98,20%,10%,5,Well Below Average,-7,97,30%,0%,5,Well Below Average,30%,0%,2018
143301,56,30,26,0.6,104,73%,16%,3,Average,2,106,88%,27%,2,Above Average,2.9,106,82%,30%,2,Above Average,68%,4%,2018
140445,22,7,15,-2.1,104,73%,32%,3,Average,-0.5,106,77%,23%,3,Average,-0.8,105,73%,18%,3,Average,64%,9%,2018
121303,35,22,13,0.7,106,83%,23%,3,Average,1.8,106,69%,37%,3,Average,-0.5,105,71%,20%,3,Average,63%,17%,2018
120623,12,6,6,1.5,107,92%,33%,3,Average,-1.3,105,75%,17%,3,Average,-0.5,104,83%,17%,3,Average,83%,0%,2018
132176,30,16,14,3.7,103,77%,23%,1,Well Above Average,1.5,106,77%,43%,3,Average,5,106,83%,27%,1,Well Above Average,60%,7%,2018
119145,27,10,17,-0.3,104,81%,11%,3,Average,0.6,105,78%,15%,3,Average,-0.4,103,70%,26%,3,Average,70%,11%,2018
119550,21,12,9,-0.3,104,81%,10%,3,Average,2.6,108,95%,29%,2,Above Average,2.3,106,81%,24%,3,Average,71%,5%,2018
107683,43,18,25,2,107,84%,44%,2,Above Average,-0.2,107,81%,42%,3,Average,0.8,105,81%,30%,3,Average,77%,9%,2018
119361,20,8,12,2.7,110,95%,60%,2,Above Average,0.2,111,90%,70%,3,Average,2.8,110,85%,60%,2,Above Average,80%,25%,2018
111565,21,11,10,1.2,110,95%,48%,3,Average,-0.5,111,90%,62%,3,Average,0,108,90%,43%,3,Average,86%,24%,2018
122653,9,4,5,-2.4,106,78%,22%,3,Average,-5.1,103,67%,11%,5,Well Below Average,-2.2,105,67%,22%,3,Average,67%,0%,2018
112253,11,8,3,2.9,106,82%,36%,3,Average,1.6,103,73%,9%,3,Average,1.4,103,91%,0%,3,Average,73%,0%,2018
108043,29,13,16,-5.5,100,48%,24%,5,Well Below Average,-1.9,101,59%,21%,3,Average,-3.7,102,66%,14%,5,Well Below Average,45%,14%,2018
107887,29,14,15,3.3,108,90%,31%,1,Well Above Average,1.9,111,90%,66%,3,Average,2,106,90%,31%,3,Average,90%,14%,2018
145403,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
118014,7,3,4,-1.7,103,57%,14%,3,Average,2.4,103,71%,14%,3,Average,0.1,101,71%,14%,3,Average,43%,0%,2018
123187,13,8,5,0.9,106,85%,23%,3,Average,-1.2,105,85%,31%,3,Average,-0.9,103,77%,23%,3,Average,54%,8%,2018
117739,34,25,9,-5.8,100,53%,15%,5,Well Below Average,-6.1,104,65%,26%,5,Well Below Average,-3.9,102,62%,9%,5,Well Below Average,53%,3%,2018
120415,60,26,34,4.7,106,83%,38%,1,Well Above Average,5.9,107,92%,38%,1,Well Above Average,6.2,107,95%,28%,1,Well Above Average,83%,13%,2018
121980,25,11,14,-1.1,105,88%,24%,3,Average,-2.3,107,88%,44%,3,Average,-0.5,106,80%,32%,3,Average,64%,16%,2018
103339,30,13,17,-0.9,104,77%,17%,3,Average,-0.3,104,80%,10%,3,Average,-2.4,102,77%,0%,4,Below Average,67%,0%,2018
106885,59,28,31,-1.3,104,75%,22%,3,Average,0.9,105,83%,22%,3,Average,0.5,105,90%,22%,3,Average,64%,8%,2018
126248,19,8,11,-1,104,79%,21%,3,Average,1.1,105,74%,32%,3,Average,-1.1,104,68%,21%,3,Average,58%,16%,2018
125000,83,39,44,0,108,86%,45%,3,Average,-1.1,109,88%,52%,3,Average,-2.6,105,80%,30%,4,Below Average,73%,19%,2018
133106,43,22,21,-2.1,103,70%,23%,4,Below Average,0.4,104,77%,21%,3,Average,-3.8,101,56%,7%,5,Well Below Average,37%,7%,2018
112348,31,20,11,1.8,106,84%,29%,3,Average,0.7,106,81%,32%,3,Average,1.1,105,77%,29%,3,Average,74%,3%,2018
143216,60,32,28,-1.3,104,77%,22%,3,Average,0.6,105,72%,30%,3,Average,-0.1,105,75%,22%,3,Average,63%,10%,2018
112271,16,6,10,1.3,107,81%,31%,3,Average,-1.3,103,69%,13%,3,Average,-3.7,99,50%,0%,5,Well Below Average,44%,0%,2018
112296,12,7,5,2.3,105,83%,42%,3,Average,-4.9,107,83%,58%,5,Well Below Average,-1.9,106,75%,17%,3,Average,58%,0%,2018
141815,59,28,31,1.3,104,78%,17%,3,Average,0.5,107,75%,36%,3,Average,1.3,104,68%,25%,3,Average,63%,10%,2018
104474,22,14,8,3.3,105,77%,23%,1,Well Above Average,-1.5,107,95%,45%,3,Average,4.9,106,86%,27%,1,Well Above Average,68%,0%,2018
105523,31,15,16,0.2,107,87%,32%,3,Average,-1.8,107,87%,42%,3,Average,-2.4,104,74%,13%,4,Below Average,65%,3%,2018
113483,49,28,21,-0.7,104,78%,16%,3,Average,0.6,106,86%,22%,3,Average,0.4,104,82%,14%,3,Average,67%,8%,2018
136269,16,9,7,-0.3,106,88%,31%,3,Average,-2.2,106,75%,38%,3,Average,-3,103,56%,19%,4,Below Average,50%,6%,2018
115705,23,8,15,-0.1,107,87%,43%,3,Average,-2,107,87%,35%,3,Average,-3.1,103,65%,4%,4,Below Average,48%,4%,2018
106464,30,14,16,2.6,106,83%,33%,2,Above Average,5.5,110,90%,57%,1,Well Above Average,7.5,110,90%,70%,1,Well Above Average,77%,23%,2018
102424,29,16,13,-2.3,104,69%,24%,3,Average,-1.6,105,79%,24%,3,Average,-1.8,103,72%,21%,3,Average,48%,14%,2018
117389,16,7,9,0.1,108,94%,25%,3,Average,0.7,109,100%,38%,3,Average,-0.6,107,94%,25%,3,Average,94%,6%,2018
103433,31,19,12,3.4,108,97%,29%,1,Well Above Average,1.9,108,90%,42%,3,Average,4.5,107,87%,35%,1,Well Above Average,74%,10%,2018
138288,32,14,18,0.8,107,88%,34%,3,Average,-3.7,110,100%,47%,5,Well Below Average,2.2,108,100%,34%,2,Above Average,72%,6%,2018
112305,15,6,9,-2.1,102,73%,13%,3,Average,-2.6,104,73%,27%,3,Average,-4.5,99,73%,7%,5,Well Below Average,67%,0%,2018
126040,27,15,12,0.2,102,70%,11%,3,Average,-1.6,105,78%,22%,3,Average,-2.5,99,41%,4%,4,Below Average,37%,0%,2018
106507,30,9,21,5.2,110,100%,50%,1,Well Above Average,4.2,108,90%,33%,1,Well Above Average,5.8,110,93%,60%,1,Well Above Average,90%,30%,2018
138619,31,13,18,-0.5,106,71%,32%,3,Average,2.6,109,90%,52%,2,Above Average,1.9,107,97%,32%,3,Average,71%,19%,2018
140756,26,13,13,-1.2,107,88%,31%,3,Average,-1.8,109,85%,54%,3,Average,-3.1,104,85%,27%,4,Below Average,73%,15%,2018
140588,58,26,32,-0.3,104,72%,19%,3,Average,2,109,84%,47%,2,Above Average,0.1,104,83%,16%,3,Average,67%,3%,2018
117410,43,21,22,0.1,107,81%,40%,3,Average,0.3,108,81%,44%,3,Average,0.1,106,84%,37%,3,Average,77%,16%,2018
135051,58,31,27,-1,104,79%,22%,3,Average,-1.9,104,78%,24%,4,Below Average,1.9,106,84%,36%,2,Above Average,71%,5%,2018
113463,28,14,14,-3.9,101,54%,7%,5,Well Below Average,2.1,105,75%,21%,3,Average,-0.7,103,89%,18%,3,Average,54%,4%,2018
132785,30,17,13,1.1,109,87%,43%,3,Average,-0.8,109,90%,43%,3,Average,1.1,108,90%,47%,3,Average,73%,23%,2018
142804,30,16,14,-0.1,103,70%,20%,3,Average,-1.2,104,70%,27%,3,Average,-0.3,102,70%,13%,3,Average,53%,3%,2018
