URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
100003,273,47.71,A-,2016
100001,152,48.93,A,2016
100052,195,23.64,D+,2016
100049,214,21.71,D+,2016
100059,250,29.02,C,2016
100055,89,26.04,C-,2016
100053,215,28.58,C,2016
100050,230,30.41,C,2016
100051,113,21.3,D,2016
100076,164,46.33,A-,2016
137181,137,28.98,C,2016
100065,305,48.85,A,2016
100056,246,24.62,D+,2016
130421,2688,22.16,D+,2016
130403,44,,,2016
100054,439,40.37,B,2016
137333,197,34.43,C+,2016
100084,151,35.37,B-,2016
132838,941,28.35,C,2016
100202,168,42.3,B+,2016
137473,220,23.32,D+,2016
100182,167,23.74,D+,2016
138245,,,,2016
138449,171,27.3,C-,2016
142608,,,,2016
100192,241,25.67,C-,2016
100183,296,24.91,D+,2016
134402,9,,,2016
100200,22,,,2016
134827,152,38,B-,2016
100171,,,,2016
138966,1017,25.18,C-,2016
141309,292,25.98,C-,2016
100190,496,31.85,C+,2016
100756,66,37.39,B-,2016
139786,182,16.19,D-,2016
141163,270,31.3,C,2016
135835,146,33.39,C+,2016
137442,209,31.82,C+,2016
139595,,,,2016
100277,100,24.42,D+,2016
138143,21,29.35,C,2016
134693,274,38.74,B,2016
140210,,,,2016
100282,133,29.52,C,2016
131062,292,33.21,C+,2016
100293,163,,,2016
136137,54,,,2016
100279,328,31.51,C,2016
100300,11,24.25,D+,2016
100284,88,24.32,D+,2016
131609,176,27.8,C-,2016
133608,1332,21.35,D,2016
100285,170,29.94,C,2016
134735,158,28.79,C,2016
130408,2097,17.98,D-,2016
141135,,,,2016
139364,38,,,2016
100369,231,49.73,A,2016
136172,142,23.66,D+,2016
131752,241,30.13,C,2016
138607,186,36.72,B-,2016
100370,351,49.66,A,2016
137157,347,40.18,B,2016
143129,,,,2016
100359,150,17.3,D-,2016
137935,141,33.53,C+,2016
100527,68,43.39,B+,2016
100366,221,54.44,A+,2016
142873,,,,2016
136750,,,,2016
133545,798,25.47,C-,2016
100458,191,29.18,C,2016
135587,96,24.65,D+,2016
100455,100,31.56,C,2016
139793,218,20.69,D,2016
100452,194,23.8,D+,2016
141250,45,31.03,C,2016
100459,217,21.53,D,2016
134314,131,31.79,C+,2016
136138,702,26.55,C-,2016
135531,203,30.68,C,2016
100539,147,35.07,B-,2016
100544,208,32.92,C+,2016
100526,262,33.36,C+,2016
140134,183,40.41,B,2016
100537,212,41.8,B+,2016
140212,,,,2016
130410,381,,,2016
100547,601,44.75,B+,2016
100540,575,39.44,B,2016
100521,45,35.3,B-,2016
100511,87,42.1,B+,2016
130411,1115,23.98,D+,2016
140603,24,35.44,B-,2016
141931,346,43.18,B+,2016
137954,,,,2016
100529,388,37.93,B-,2016
137093,203,33.01,C+,2016
136288,,,,2016
129649,165,26.04,C-,2016
100640,82,22.61,D+,2016
135389,93,27.05,C-,2016
140564,129,49.67,A,2016
100637,199,30.86,C,2016
134815,163,25.35,C-,2016
130413,1489,,,2016
100625,184,29.58,C,2016
100642,75,24.18,D+,2016
100624,116,24.74,D+,2016
137966,148,27.18,C-,2016
142905,,,,2016
100638,306,33.79,C+,2016
100648,75,40.76,B,2016
140966,,,,2016
100590,,,,2016
130416,2675,22.43,D+,2016
100745,247,28.39,C,2016
135073,297,27.08,C-,2016
135070,122,22.24,D+,2016
130415,1703,23.33,D+,2016
135901,,28.64,C,2016
100750,290,29.18,C,2016
100754,143,39.26,B,2016
100748,99,21.27,D,2016
100743,287,20.23,D,2016
100757,64,39.15,B,2016
100741,260,31.08,C,2016
132942,507,29.81,C,2016
136298,309,37.21,B-,2016
134222,278,27.16,C-,2016
139587,,,,2016
100864,303,48.41,A,2016
100861,474,45.47,A-,2016
131747,30,23.21,D+,2016
134225,163,24.08,D+,2016
139718,,,,2016
135584,62,31.82,C+,2016
135315,104,20.83,D,2016
100863,198,50.75,A,2016
136309,195,34.68,C+,2016
135401,182,29.58,C,2016
138960,180,35.97,B-,2016
138961,161,29,C,2016
100849,156,34.01,C+,2016
100857,62,,,2016
141562,72,,,2016
100975,294,28.2,C-,2016
131745,26,27.39,C-,2016
141095,134,34.5,C+,2016
100974,151,28.92,C,2016
100966,87,24.68,D+,2016
100982,37,,,2016
100967,302,28.75,C,2016
100968,356,30.39,C,2016
100972,214,30.47,C,2016
100979,151,24.81,D+,2016
137789,137,28.81,C,2016
100970,123,31.37,C,2016
100977,508,29.34,C,2016
100978,228,25.01,C-,2016
100969,96,27.76,C-,2016
100973,242,32,C+,2016
130418,1481,21.76,D+,2016
100965,53,28.42,C,2016
142879,,,,2016
136883,178,30.29,C,2016
101071,235,38.25,B-,2016
101053,362,21.76,D+,2016
137005,688,34.64,C+,2016
140985,201,32.59,C+,2016
138267,,,,2016
138681,95,27.5,C-,2016
135316,225,34.58,C+,2016
101064,141,43.27,B+,2016
143175,,,,2016
101072,161,46.51,A-,2016
141808,190,31.52,C,2016
130422,1396,24.14,D+,2016
135762,73,20.04,D,2016
130420,2110,23.18,D+,2016
138682,577,30.26,C,2016
139842,380,28.02,C-,2016
130423,2722,18.58,D,2016
101161,81,39.93,B,2016
101158,116,45.43,A-,2016
138313,279,36.22,B-,2016
140939,369,39.19,B,2016
135242,78,26.76,C-,2016
100536,185,30.86,C,2016
138312,126,28.79,C,2016
101162,380,52.78,A+,2016
140884,,,,2016
101181,49,21.83,D+,2016
130912,317,31.93,C+,2016
135676,178,35.51,B-,2016
100541,83,36.72,B-,2016
101157,65,43.11,B+,2016
137646,330,24.46,D+,2016
101154,193,25.2,C-,2016
139369,154,29.72,C,2016
137353,317,36.54,B-,2016
131262,194,,,2016
101247,212,30.76,C,2016
136028,120,27.66,C-,2016
101243,117,22.69,D+,2016
101244,180,28.75,C,2016
140945,96,17.71,D-,2016
140962,,,,2016
142908,,,,2016
133561,162,29.55,C,2016
101241,591,27.11,C-,2016
130424,2889,23.81,D+,2016
139791,,,,2016
101245,349,31.74,C+,2016
141683,173,31.97,C+,2016
141178,178,28.26,C-,2016
141332,635,29.75,C,2016
137388,217,25.28,C-,2016
136418,113,,,2016
138685,163,29.47,C,2016
101391,65,,,2016
136658,289,33.03,C+,2016
101362,298,29.42,C,2016
137539,268,40,B,2016
137645,225,28.12,C-,2016
138051,254,50.59,A,2016
136308,375,33.79,C+,2016
135747,181,35.27,B-,2016
101369,106,36.78,B-,2016
134798,391,21.69,D+,2016
131261,3,27.57,C-,2016
101387,22,32.04,C+,2016
142627,,,,2016
137386,406,32.9,C+,2016
101367,240,40.31,B,2016
130425,3045,24.01,D+,2016
137131,200,30.85,C,2016
136290,290,50.31,A,2016
139410,,,,2016
101364,213,30.25,C,2016
101374,72,29.25,C,2016
101360,6,,,2016
101361,289,40.24,B,2016
101388,25,33.96,C+,2016
101365,203,29.39,C,2016
137374,20,8.48,E,2016
131288,52,32.15,C+,2016
137361,120,23.3,D+,2016
130427,1319,35.25,B-,2016
135507,197,32.63,C+,2016
101393,240,43.22,B+,2016
137423,397,35.28,B-,2016
138686,148,21.47,D,2016
136330,230,25.18,C-,2016
135951,78,,,2016
136334,432,31.73,C+,2016
136369,449,35.88,B-,2016
137138,200,22.57,D+,2016
137965,350,25.57,C-,2016
137769,452,37.29,B-,2016
136538,171,22.17,D+,2016
136720,184,25.29,C-,2016
133769,137,14.78,E+,2016
136656,291,27.8,C-,2016
130429,1094,14.4,E+,2016
137994,152,25.12,C-,2016
135973,192,19.71,D,2016
138610,275,26.83,C-,2016
135600,99,,,2016
141019,76,23.71,D+,2016
133724,534,40.99,B,2016
101564,204,17.27,D-,2016
139319,287,32.06,C+,2016
138609,217,27.44,C-,2016
101563,221,27.66,C-,2016
101578,49,37.2,B-,2016
138457,288,34.76,C+,2016
134226,209,22.66,D+,2016
137685,361,28.16,C-,2016
133448,34,42.4,B+,2016
140862,,,,2016
136545,208,25.23,C-,2016
136467,198,27.94,C-,2016
136464,294,27.4,C-,2016
136355,423,30.34,C,2016
101695,31,20.95,D,2016
101693,212,43.92,B+,2016
101685,104,28.76,C,2016
143427,,,,2016
136644,514,32.69,C+,2016
136281,151,16,D-,2016
138384,108,31.19,C,2016
136586,619,33.91,C+,2016
137006,503,28.08,C-,2016
130430,2636,8.45,E,2016
101680,4,,,2016
136551,225,43.52,B+,2016
138114,164,20.18,D,2016
136517,300,30.82,C,2016
136540,364,28.28,C-,2016
101676,455,47.92,A-,2016
101683,24,33.23,C+,2016
136466,232,28.15,C-,2016
134175,1,,,2016
101692,101,43.07,B+,2016
136709,428,31.51,C,2016
101823,292,36.97,B-,2016
130433,901,23.68,D+,2016
130432,1346,19.57,D,2016
101845,96,39.83,B,2016
137567,53,41.05,B,2016
142040,85,25.66,C-,2016
101811,249,24.92,D+,2016
139906,2,,,2016
135416,1890,28.66,C,2016
140952,,,,2016
130434,735,20.82,D,2016
139074,,,,2016
101821,97,25.64,C-,2016
101842,278,44.24,B+,2016
131280,172,18.48,D,2016
101837,340,44.41,B+,2016
138187,130,29.28,C,2016
101849,842,29.7,C,2016
133528,141,40.38,B,2016
137754,163,26.67,C-,2016
135654,1,22.5,D+,2016
135968,150,20.6,D,2016
101846,86,42.03,B+,2016
136203,67,32.5,C+,2016
138178,308,29.56,C,2016
101835,185,38.61,B,2016
101813,,23.14,D+,2016
138221,297,24.49,D+,2016
101814,59,27.48,C-,2016
137772,115,30.37,C,2016
131982,97,28.73,C,2016
101932,182,27.05,C-,2016
101946,61,40.19,B,2016
101947,216,39.31,B,2016
137546,536,39.27,B,2016
101928,148,25.96,C-,2016
139725,,,,2016
101939,256,28.34,C,2016
134369,228,17.04,D-,2016
101934,384,31.12,C,2016
101930,158,28.96,C,2016
137221,378,29.9,C,2016
142654,,,,2016
133444,94,29.77,C,2016
101941,296,29.35,C,2016
131310,182,33.41,C+,2016
137729,366,30.43,C,2016
101940,614,32.92,C+,2016
101957,36,43.64,B+,2016
135155,5,,,2016
101943,129,22.89,D+,2016
101954,151,47.8,A-,2016
102049,228,27.18,C-,2016
102043,221,28.38,C,2016
102048,199,28.61,C,2016
137094,219,28.02,C-,2016
139815,,,,2016
139599,,,,2016
132256,293,27.61,C-,2016
136327,250,29.55,C,2016
102055,442,44.38,B+,2016
102050,175,27.29,C-,2016
136147,285,24.04,D+,2016
136157,9,16.67,D-,2016
134311,123,27.19,C-,2016
135958,213,24.72,D+,2016
102053,144,27.91,C-,2016
102058,216,28.15,C-,2016
102065,74,35.52,B-,2016
102047,297,31.1,C,2016
102052,110,21.84,D+,2016
102067,15,,,2016
102045,403,25.28,C-,2016
102056,85,25.77,C-,2016
130438,685,,,2016
102162,125,47.56,A-,2016
130439,1885,27.56,C-,2016
102156,418,38.59,B,2016
133386,234,26.71,C-,2016
139363,557,27.26,C-,2016
140935,,,,2016
102163,299,45.52,A-,2016
102154,209,32.05,C+,2016
102153,178,29.04,C,2016
139362,186,23.2,D+,2016
140968,74,7.62,E-,2016
137531,390,32.93,C+,2016
131864,1913,19.49,D,2016
137177,119,25.06,C-,2016
102245,339,46.23,A-,2016
137204,325,27.16,C-,2016
102247,197,38.13,B-,2016
135334,7,,,2016
138227,,,,2016
102257,238,50.99,A,2016
137028,387,32.61,C+,2016
137075,196,27.85,C-,2016
142864,,,,2016
134891,97,30.75,C,2016
137198,210,25.84,C-,2016
130443,1216,36.55,B-,2016
137178,146,30.09,C,2016
138458,2,,,2016
130440,1258,20.68,D,2016
102239,321,30.73,C,2016
137199,195,25.29,C-,2016
135469,1899,29,C,2016
130444,2218,28.64,C,2016
130445,2696,24.12,D+,2016
137233,184,31.4,C,2016
137145,212,27.51,C-,2016
137040,326,30.8,C,2016
136600,466,34.44,C+,2016
136090,110,25.41,C-,2016
138326,168,28.86,C,2016
141035,31,27.59,C-,2016
137925,156,25.17,C-,2016
102449,106,30.48,C,2016
136329,114,26.97,C-,2016
135004,189,27.11,C-,2016
102451,185,27.32,C-,2016
136519,499,28.81,C,2016
140941,156,14.55,E+,2016
137078,34,21.23,D,2016
102462,81,,,2016
137844,224,21.42,D,2016
102452,109,37.72,B-,2016
137829,35,30,C,2016
138368,14,,,2016
102464,31,,,2016
136711,268,32.18,C+,2016
137077,58,21.64,D,2016
140748,130,29.73,C,2016
102453,166,43.64,B+,2016
134797,140,25.28,C-,2016
137407,336,31.71,C+,2016
136631,247,30.78,C,2016
137633,367,28.89,C,2016
130446,4020,25.01,C-,2016
136768,192,26,C-,2016
137635,233,32.32,C+,2016
137907,230,31.98,C+,2016
136522,406,25.39,C-,2016
101964,3,,,2016
137618,101,28.37,C,2016
139989,104,30.35,C,2016
137928,170,31.34,C,2016
102545,260,30.25,C,2016
102539,484,29.81,C,2016
138924,258,29.58,C,2016
102551,115,34.73,C+,2016
137940,153,29.66,C,2016
139276,160,26.84,C-,2016
136341,351,31.07,C,2016
142781,,,,2016
139720,,,,2016
138266,,,,2016
137009,115,32.25,C+,2016
137995,260,37.02,B-,2016
142126,26,,,2016
130447,1909,24.51,D+,2016
139095,147,26.54,C-,2016
102599,19,27.05,C-,2016
137859,64,12.73,E+,2016
137848,272,29.29,C,2016
137678,168,27.07,C-,2016
138459,210,31.96,C+,2016
141862,,,,2016
130448,2611,20.35,D,2016
102619,228,45.73,A-,2016
137299,222,32.86,C+,2016
137917,191,29.43,C,2016
102611,236,42.92,B+,2016
136615,306,48.55,A,2016
136910,394,44.49,B+,2016
137060,246,27.73,C-,2016
102684,395,48.78,A,2016
102674,247,26.93,C-,2016
102673,116,34.32,C+,2016
102679,112,33.66,C+,2016
134003,93,16.9,D-,2016
102683,329,36.37,B-,2016
102681,254,27.48,C-,2016
102692,150,46.77,A-,2016
136509,228,33.94,C+,2016
139703,332,30.34,C,2016
139834,,,,2016
138403,420,42.6,B+,2016
142903,,,,2016
130451,1769,14.44,E+,2016
130452,2455,24.93,D+,2016
102786,419,28.63,C,2016
102787,236,28.77,C,2016
138196,,,,2016
136669,348,40.22,B,2016
136267,303,28.61,C,2016
137692,163,21.2,D,2016
138518,,,,2016
102850,339,34.99,C+,2016
102861,185,29.31,C,2016
142896,,,,2016
140475,494,27.48,C-,2016
102858,324,24.99,D+,2016
102875,240,47.85,A-,2016
133405,394,29.17,C,2016
137088,152,29.45,C,2016
140575,504,31.35,C,2016
130453,1249,,,2016
102856,485,35.39,B-,2016
102860,441,31.17,C,2016
137418,163,30.41,C,2016
102857,375,30.35,C,2016
102851,326,29.83,C,2016
102854,317,31.74,C+,2016
102852,312,38.72,B,2016
102849,278,21.87,D+,2016
102929,88,31.02,C,2016
138825,141,33.5,C+,2016
136103,72,23.7,D+,2016
133443,9,,,2016
102946,412,46.17,A-,2016
102950,167,42.8,B+,2016
102932,162,49.11,A,2016
138651,196,32.18,C+,2016
137018,95,30.5,C,2016
131095,27,,,2016
136208,70,27.3,C-,2016
130454,2380,21.54,D,2016
102947,77,29.06,C,2016
102936,34,41.77,B+,2016
102942,389,51.61,A,2016
139121,,,,2016
138460,140,30.61,C,2016
141963,,,,2016
136104,25,15.85,D-,2016
138461,223,40.48,B,2016
136785,504,30.47,C,2016
134887,37,29.5,C,2016
136914,293,31.8,C+,2016
136800,406,32.28,C+,2016
103009,230,31.83,C+,2016
136795,356,43.52,B+,2016
136756,225,27.97,C-,2016
103013,279,35.21,B-,2016
103003,186,25.72,C-,2016
136787,254,45,A-,2016
103022,59,38.37,B,2016
136798,349,42.6,B+,2016
136789,382,43.08,B+,2016
136621,294,47.92,A-,2016
136799,216,28.71,C,2016
130455,1019,,,2016
136797,178,30.73,C,2016
138691,282,31.02,C,2016
140957,,,,2016
103110,281,42.61,B+,2016
103097,255,25.23,C-,2016
137558,405,25.14,C-,2016
103106,239,29.23,C,2016
103105,22,,,2016
133287,29,,,2016
130457,2241,26.63,C-,2016
103098,28,,,2016
138859,46,2.31,U,2016
141030,233,,,2016
130458,2061,22.89,D+,2016
130456,1345,,,2016
132727,118,32.33,C+,2016
103080,1,,,2016
103513,37,9.42,E,2016
103563,73,23.63,D+,2016
103494,32,,,2016
141969,,,,2016
103567,112,41.34,B,2016
134908,67,27.47,C-,2016
136908,212,24.91,D+,2016
103625,26,,,2016
137346,64,27.95,C-,2016
103509,159,19.76,D,2016
137034,242,27.27,C-,2016
134571,16,,,2016
103522,138,24.16,D+,2016
130468,1897,29.22,C,2016
137043,247,35.53,B-,2016
137045,249,44.92,B+,2016
137044,305,43.87,B+,2016
137046,386,40.17,B,2016
137047,261,37.68,B-,2016
103585,163,46.5,A-,2016
136152,192,30.87,C,2016
103584,214,,,2016
141943,,,,2016
103562,92,21.47,D,2016
136590,156,31.42,C,2016
136882,151,24.58,D+,2016
138222,241,17.89,D-,2016
140382,16,,,2016
139157,1,,,2016
136592,269,29.41,C,2016
103587,172,39.82,B,2016
103519,136,27.04,C-,2016
136406,,,,2016
138586,31,22,D+,2016
136032,113,20.18,D,2016
139738,54,17.17,D-,2016
138200,78,30.5,C,2016
139797,,,,2016
141003,,,,2016
141752,,,,2016
137053,235,26.72,C-,2016
103566,22,23.73,D+,2016
103616,80,,,2016
103537,126,25.06,C-,2016
103564,53,24.68,D+,2016
103534,30,17.38,D-,2016
103531,172,32.03,C+,2016
141835,153,30.17,C,2016
103613,103,,,2016
135911,166,19.07,D,2016
103548,155,19.62,D,2016
130461,3106,29.17,C,2016
130466,7217,22.84,D+,2016
136944,740,20.28,D,2016
103560,260,32.21,C+,2016
137988,366,42.15,B+,2016
140524,238,30.14,C,2016
136778,209,41.98,B+,2016
103514,257,28.52,C,2016
103500,,,,2016
140863,182,,,2016
135238,,,,2016
139888,130,25.14,C-,2016
142219,77,23.54,D+,2016
139788,49,,,2016
103493,329,27.79,C-,2016
103595,18,,,2016
130459,2300,21.16,D,2016
141318,71,28.56,C,2016
139841,164,26.4,C-,2016
130469,905,23.27,D+,2016
138695,64,23.31,D+,2016
103550,235,24.23,D+,2016
135688,3,,,2016
139048,83,23.22,D+,2016
103541,143,26.13,C-,2016
135406,33,,,2016
139746,175,24.8,D+,2016
103549,241,33.3,C+,2016
138937,184,17.11,D-,2016
136213,64,20.42,D,2016
137578,,,,2016
135970,92,28.8,C,2016
135907,116,25.23,C-,2016
103576,28,27.9,C-,2016
138136,499,26.66,C-,2016
130473,1877,21.58,D,2016
138023,257,27.84,C-,2016
140958,,,,2016
140366,60,26.31,C-,2016
141939,,,,2016
136963,319,30.42,C,2016
103732,116,24.21,D+,2016
135335,86,18.35,D,2016
130472,1259,41.82,B+,2016
130474,113,,,2016
103750,201,39.91,B,2016
103733,106,19.44,D,2016
103751,236,40.25,B,2016
103727,130,22.54,D+,2016
103747,7,,,2016
140248,188,28.87,C,2016
136126,247,31.33,C,2016
103728,164,26.56,C-,2016
103742,97,33.07,C+,2016
137209,150,27.93,C-,2016
137272,316,29.92,C,2016
137225,41,24.96,D+,2016
136840,81,20.42,D,2016
140961,189,22.85,D+,2016
137165,89,25.05,C-,2016
139292,316,30.42,C,2016
103743,197,28.23,C-,2016
141992,205,38.02,B-,2016
130475,3723,26.38,C-,2016
141570,79,28.25,C-,2016
103876,19,,,2016
130476,3490,25.45,C-,2016
130478,1997,35.79,B-,2016
103870,251,30.7,C,2016
140126,176,24.51,D+,2016
136618,304,27.05,C-,2016
135234,275,27.73,C-,2016
141813,73,,,2016
104018,114,23.34,D+,2016
139328,114,15.33,D-,2016
136091,225,29.12,C,2016
135449,148,23.55,D+,2016
141698,,,,2016
135599,126,,,2016
134993,333,33.17,C+,2016
130479,3463,24.43,D+,2016
135170,252,22.07,D+,2016
104020,154,28.84,C,2016
132233,33,,,2016
136616,210,27.88,C-,2016
139043,44,26.7,C-,2016
137701,102,23.02,D+,2016
137673,277,25.15,C-,2016
135979,53,14.21,E+,2016
104012,82,24.59,D+,2016
135684,244,,,2016
129342,103,21.83,D+,2016
136333,363,32.86,C+,2016
136909,214,30.66,C,2016
136347,137,28.39,C,2016
135971,127,26.28,C-,2016
