URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
104123,56,39.17,B,2016
104119,267,31.51,C,2016
130482,2246,27.33,C-,2016
104118,90,14.87,E+,2016
130481,3521,21.82,D+,2016
104124,359,43.57,B+,2016
136310,255,34.47,C+,2016
142900,,,,2016
136994,67,,,2016
135956,88,15.98,D-,2016
137830,257,26.8,C-,2016
104272,42,,,2016
136885,184,27.11,C-,2016
135769,132,22.61,D+,2016
104251,140,25.57,C-,2016
136773,317,38.64,B,2016
136777,177,30.47,C,2016
104255,189,23.37,D+,2016
104259,284,24.41,D+,2016
136620,236,26.56,C-,2016
137707,148,31.8,C+,2016
133697,308,32.24,C+,2016
130483,3149,,,2016
139789,133,,,2016
137274,24,20,D,2016
138606,116,22.35,D+,2016
138374,84,21.49,D,2016
137706,164,14.36,E+,2016
104248,43,16.91,D-,2016
137974,180,30.15,C,2016
130484,1698,24.51,D+,2016
104395,176,26.35,C-,2016
104390,117,25.32,C-,2016
137730,214,29.81,C,2016
104386,283,30.7,C,2016
131547,127,24.15,D+,2016
104397,127,25.91,C-,2016
138098,93,25.79,C-,2016
136182,279,18.85,D,2016
141802,113,20.9,D,2016
104405,92,30.51,C,2016
139891,101,24.14,D+,2016
138852,233,27.2,C-,2016
104387,1,,,2016
140586,197,26.19,C-,2016
135983,131,24.52,D+,2016
104407,58,28.48,C,2016
141245,138,26.92,C-,2016
140160,38,,,2016
140798,246,38.95,B,2016
104411,183,36.28,B-,2016
142080,,,,2016
139138,123,26.58,C-,2016
140604,307,28.77,C,2016
135479,80,10.43,E,2016
139614,84,20.31,D,2016
130486,1019,10.57,E,2016
138787,133,24.76,D+,2016
130487,3432,20.02,D,2016
104693,385,23.19,D+,2016
136409,58,16.48,D-,2016
136119,224,26.1,C-,2016
104692,139,19.79,D,2016
104700,135,20.47,D,2016
104717,266,30.22,C,2016
104705,239,25.49,C-,2016
104688,89,21.13,D,2016
104703,145,27.98,C-,2016
137675,,,,2016
101857,152,17.28,D-,2016
139686,222,32.41,C+,2016
104722,9,,,2016
139588,326,28.3,C-,2016
104706,164,27.39,C-,2016
136735,266,30.51,C,2016
138183,163,22.27,D+,2016
138463,160,25.25,C-,2016
104721,157,26.84,C-,2016
104715,164,28.82,C,2016
135174,218,31.64,C,2016
104712,155,25.63,C-,2016
138850,270,25.43,C-,2016
142128,,,,2016
139589,139,29.89,C,2016
138696,140,21.64,D,2016
137916,372,40.44,B,2016
104696,184,,,2016
104713,224,27.51,C-,2016
104698,203,28.67,C,2016
104714,154,28.01,C-,2016
131065,200,20.38,D,2016
104829,323,27.17,C-,2016
136421,76,15.06,D-,2016
104826,204,29.41,C,2016
104830,241,28.96,C,2016
130488,1847,15.2,D-,2016
136141,147,14.43,E+,2016
130489,1823,32.25,C+,2016
137514,175,26.2,C-,2016
104964,259,28.02,C-,2016
137533,197,28,C-,2016
137436,209,33.05,C+,2016
104962,157,27.9,C-,2016
130490,1690,17.8,D-,2016
130492,642,30.74,C,2016
137520,224,23.52,D+,2016
104960,218,26.36,C-,2016
104973,153,39.18,B,2016
104974,148,41.7,B+,2016
137612,252,31.2,C,2016
104961,251,23.34,D+,2016
104972,86,34.37,C+,2016
141338,73,22.42,D+,2016
104959,1,,,2016
135387,436,25.88,C-,2016
130491,1263,,,2016
138355,166,22.94,D+,2016
141131,19,16.88,D-,2016
105103,154,18.25,D-,2016
136895,103,17.99,D-,2016
105101,112,23.05,D+,2016
105106,108,26.17,C-,2016
136780,213,29.09,C,2016
139031,308,28.63,C,2016
105110,250,23.94,D+,2016
135877,167,29.48,C,2016
105123,106,44.58,B+,2016
130494,1204,29.72,C,2016
105107,137,21.45,D,2016
137929,231,35.54,B-,2016
137815,334,28.95,C,2016
137243,321,37.66,B-,2016
137476,276,33.32,C+,2016
137171,301,40.24,B,2016
130493,1806,,,2016
139144,408,33.52,C+,2016
140959,,,,2016
136135,58,7.02,E-,2016
105269,4,,,2016
133285,24,32,C+,2016
105261,274,27.62,C-,2016
105264,293,28.36,C,2016
105253,321,28.64,C,2016
130495,1999,15.45,D-,2016
135981,109,17.27,D-,2016
105271,218,40.96,B,2016
105272,210,41.1,B,2016
131867,1446,28.55,C,2016
141941,110,,,2016
141081,85,,,2016
130285,64,,,2016
105267,325,33.56,C+,2016
105372,93,34.62,C+,2016
130499,2085,29.37,C,2016
105366,90,,,2016
130498,4334,22.68,D+,2016
105373,94,39.1,B,2016
105374,113,36.18,B-,2016
105588,133,45.2,A-,2016
139730,327,22.35,D+,2016
136174,35,,,2016
137309,242,39.77,B,2016
130503,3300,32.73,C+,2016
135524,5174,22,D+,2016
136105,2,,,2016
142762,,,,2016
135905,1,,,2016
141107,31,,,2016
135874,61,,,2016
105591,344,45.41,A-,2016
135875,40,,,2016
105592,164,47.27,A-,2016
141392,47,,,2016
105556,336,29.75,C,2016
142893,,,,2016
105594,136,37.93,B-,2016
105601,155,39.41,B,2016
137801,3,,,2016
141264,196,28.04,C-,2016
135296,182,25.29,C-,2016
105595,140,49.17,A,2016
130504,2258,30.91,C,2016
137294,239,28.56,C,2016
140542,39,8.21,E-,2016
141248,204,28.47,C,2016
130505,2309,16.67,D-,2016
105745,151,38.73,B,2016
130506,2231,29.05,C,2016
137133,388,33.78,C+,2016
130507,2662,,,2016
135659,1408,31.23,C,2016
135313,104,20.22,D,2016
105844,157,27.44,C-,2016
105976,28,12.11,E+,2016
138130,38,,,2016
105989,27,,,2016
135071,43,26.79,C-,2016
130509,4739,27.09,C-,2016
142010,138,,,2016
105992,32,28.04,C-,2016
130515,1548,26.11,C-,2016
137843,191,37.48,B-,2016
106157,269,40.84,B,2016
134493,23,23.48,D+,2016
130514,2093,31.8,C+,2016
137923,71,28.11,C-,2016
134064,31,,,2016
135262,85,20.66,D,2016
130512,1398,13.26,E+,2016
106156,241,42.13,B+,2016
139735,25,22.12,D+,2016
106268,14,20.53,D,2016
130518,2037,28.8,C,2016
136273,117,26.08,C-,2016
135508,107,24.24,D+,2016
130516,2199,20.47,D,2016
138614,114,22.36,D+,2016
136458,352,39.72,B,2016
137289,341,45.01,A-,2016
138123,153,29.06,C,2016
138464,256,40.4,B,2016
130943,18,,,2016
106380,32,21.43,D,2016
138134,212,36.57,B-,2016
136498,336,38.1,B-,2016
106368,129,32.41,C+,2016
130519,2390,22.18,D+,2016
136297,285,34.35,C+,2016
106376,126,29.34,C,2016
136378,38,10.4,E,2016
136377,180,27.45,C-,2016
106534,178,26.61,C-,2016
138233,57,22.92,D+,2016
131530,70,,,2016
130523,1379,30.23,C,2016
106538,341,31.68,C+,2016
130521,2391,12.5,E+,2016
138229,65,4.55,U,2016
130522,2052,35.38,B-,2016
131749,24,18.47,D,2016
130524,4075,24.98,D+,2016
106653,241,30.05,C,2016
137524,298,28.62,C,2016
135942,72,32.35,C+,2016
137472,164,21.87,D+,2016
130526,2418,,,2016
137842,509,30.73,C,2016
136672,235,31.93,C+,2016
138314,77,11,E,2016
106812,86,34.83,C+,2016
137066,88,16,D-,2016
140177,185,25.94,C-,2016
140865,310,28.79,C,2016
141354,62,22.07,D+,2016
135963,155,22.67,D+,2016
137603,235,31,C,2016
136675,77,24.94,D+,2016
139301,148,22.5,D+,2016
135007,158,28.15,C-,2016
140964,,,,2016
138116,76,16.64,D-,2016
130529,907,,,2016
141730,171,23.44,D+,2016
134466,19,34.24,C+,2016
136718,224,32.52,C+,2016
136042,198,29.3,C,2016
130527,2991,,,2016
106959,106,24.44,D+,2016
130530,1577,28.28,C-,2016
136331,320,32.46,C+,2016
106954,391,31.13,C,2016
140646,477,27.29,C-,2016
136301,195,30.31,C,2016
140940,134,30.05,C,2016
138337,311,27.33,C-,2016
138545,211,28.99,C,2016
138361,383,32.53,C+,2016
130531,5380,19.78,D,2016
107166,194,38.97,B,2016
131895,156,27.7,C-,2016
131896,27,,,2016
139167,358,36.04,B-,2016
